Entry Date,Entry Price,Exit Date,Exit Price,Signal,Holding Period,Actual Rise/Fall wrt Entry,Return,Signal Open Price
2014-11-23,28.61,2014-12-21,35.68,Buy,19 days,Rise by 92.830000%,24.71,
2016-12-25,23.52,2017-01-29,24.91,Sell,24 days,Fall by -3.490000%,-5.91,
2017-04-16,25.4,2017-06-25,26.72,Buy,49 days,Rise by 24.130000%,5.2,
2017-12-10,30.49,2018-01-14,32.91,Sell,24 days,Fall by 2.360000%,-7.94,
2018-06-10,29.59,2018-07-15,26.19,Sell,24 days,Fall by 11.590000%,11.49,
2018-06-24,27.63,2018-07-22,26.14,Sell,19 days,Fall by 11.470000%,5.39,
2019-01-27,23.88,2019-03-10,26.9,Buy,29 days,Rise by 28.940000%,12.65,
2019-08-11,25.91,2019-09-08,28.39,Sell,19 days,Fall by -6.450000%,-9.57,
2019-09-15,28.88,2020-07-19,33.1,Buy,219 days,Rise by 0.420000%,14.61,
2019-11-10,29.0,2020-07-19,33.1,Buy,179 days,Rise by 5.550000%,14.14,
2019-12-15,28.67,2020-07-19,33.1,Buy,154 days,Rise by -14.020000%,15.45,
2020-01-12,30.27,2020-08-02,33.76,Buy,144 days,Rise by -18.570000%,11.53,
2020-03-01,28.57,2020-07-19,33.1,Buy,99 days,Rise by 20.550000%,15.86,
2020-07-12,34.44,2020-11-01,35.81,Buy,79 days,Rise by 3.890000%,3.98,
2021-01-10,42.64,2024-11-10,27.93,Buy,999 days,Rise by -10.670000%,-34.5,
2021-01-17,42.14,2024-11-10,27.93,Buy,994 days,Rise by -0.050000%,-33.72,
2021-02-14,45.67,2024-11-10,27.93,Buy,974 days,Rise by -14.410000%,-38.84,
2021-08-01,37.66,2021-12-12,40.32,Sell,94 days,Fall by -1.430000%,-7.06,
2021-12-12,40.32,2024-11-10,27.93,Buy,759 days,Rise by -10.790000%,-30.73,
2022-01-16,37.45,2022-02-27,36.62,Sell,29 days,Fall by 10.680000%,2.22,
2023-01-15,30.85,2024-11-10,27.93,Buy,474 days,Rise by -11.600000%,-9.47,
2023-01-22,31.4,2024-11-10,27.93,Buy,469 days,Rise by -10.190000%,-11.05,
2023-01-29,32.01,2024-11-10,27.93,Buy,464 days,Rise by -10.530000%,-12.75,
2023-04-16,29.8,2024-11-10,27.93,Buy,409 days,Rise by -10.440000%,-6.28,
2024-01-14,22.61,2024-02-11,22.94,Sell,19 days,Fall by -4.330000%,-1.46,
2024-02-25,24.02,2024-05-26,24.56,Buy,64 days,Rise by 5.950000%,2.25,
2024-03-03,24.29,2024-05-26,24.56,Buy,59 days,Rise by 4.780000%,1.11,
2024-04-28,24.52,2024-05-26,24.56,Buy,19 days,Rise by 33.850000%,0.16,
2024-07-21,24.31,2024-10-27,27.81,Buy,69 days,Rise by 35.010000%,14.4,
2024-09-15,22.46,2024-09-29,27.33,Sell,9 days,Fall by -18.570000%,-21.68,
2024-09-29,27.33,2025-07-27,29.03,Buy,214 days,Rise by 2.120000%,6.22,
2024-10-06,32.82,2024-10-06,32.82,Buy,0 days,Rise by -18.860000%,0.0,
2025-04-20,25.53,2025-05-18,26.98,Buy,19 days,Rise by 29.380000%,5.68,
