Entry Date,Entry Price,Exit Date,Exit Price,Signal,Holding Period,Actual Rise/Fall wrt Entry,Return
2020-04-17,40.55,2020-05-25,42.48,Buy,25 days,Rise by 9.320000%,4.76
2020-12-21,44.87,2021-01-06,43.2,Sell,11 days,Fall by 16.890000%,3.72
2021-04-26,41.62,2021-05-14,43.45,Sell,13 days,Fall by -4.710000%,-4.4
2021-05-10,42.7,2021-05-20,44.96,Buy,7 days,Rise by 6.630000%,5.29
2021-05-17,43.7,2021-06-07,45.0,Buy,14 days,Rise by 4.190000%,2.97
2021-06-24,43.76,2021-06-30,46.12,Sell,3 days,Fall by -10.420000%,-5.39
2022-01-20,50.13,2022-01-31,51.27,Sell,6 days,Fall by 7.500000%,-2.27
2022-02-02,53.51,2022-03-31,56.32,Buy,40 days,Rise by -13.040000%,5.25
2022-02-07,53.92,2022-03-31,56.32,Buy,37 days,Rise by -10.480000%,4.45
2022-02-09,55.1,2022-04-05,56.79,Buy,38 days,Rise by -10.220000%,3.07
2022-03-08,46.37,2022-03-09,48.75,Sell,0 days,Fall by -17.880000%,-5.13
2022-04-08,57.42,2022-08-17,59.6,Buy,92 days,Rise by 1.690000%,3.8
2022-05-18,54.66,2022-05-27,57.03,Sell,6 days,Fall by 3.620000%,-4.34
2022-09-21,56.29,2022-10-04,57.79,Sell,8 days,Fall by -6.770000%,-2.66
2022-12-23,59.73,2023-01-06,61.87,Sell,9 days,Fall by 0.840000%,-3.58
2023-01-27,59.67,2023-02-09,61.59,Sell,8 days,Fall by -2.130000%,-3.22
2023-02-02,59.23,2023-02-09,61.59,Sell,4 days,Fall by -2.890000%,-3.98
2023-03-10,62.9,2023-03-22,63.48,Sell,7 days,Fall by -5.790000%,-0.92
2023-04-11,67.93,2023-08-16,68.6,Buy,90 days,Rise by 0.090000%,0.99
2023-07-07,65.26,2023-08-10,68.91,Sell,23 days,Fall by -0.840000%,-5.59
2023-07-31,66.76,2023-08-10,68.91,Sell,7 days,Fall by -3.330000%,-3.22
2023-08-09,67.61,2023-08-15,68.49,Buy,3 days,Rise by 9.170000%,1.3
2023-08-25,71.29,2023-09-14,73.81,Buy,13 days,Rise by 3.530000%,3.53
2023-09-12,72.14,2023-10-16,74.01,Buy,23 days,Rise by 3.520000%,2.59
2023-10-05,72.02,2023-10-16,74.01,Buy,6 days,Rise by 11.120000%,2.76
2023-11-29,76.23,2023-12-27,77.4,Sell,19 days,Fall by 2.560000%,-1.53
2023-12-15,74.28,2023-12-27,77.4,Sell,7 days,Fall by -5.950000%,-4.2
2023-12-21,74.72,2023-12-29,78.03,Sell,5 days,Fall by -5.330000%,-4.43
2024-01-16,78.81,2024-01-23,81.45,Buy,4 days,Rise by 9.470000%,3.35
2024-02-06,79.19,2024-02-14,84.29,Sell,5 days,Fall by 6.330000%,-6.44
2024-03-11,82.53,2024-03-25,77.77,Sell,9 days,Fall by 10.120000%,5.77
2024-05-01,75.76,2024-05-23,79.37,Sell,15 days,Fall by -0.180000%,-4.77
2024-05-17,75.41,2024-05-23,79.37,Sell,3 days,Fall by -0.650000%,-5.25
2024-05-23,79.37,2024-07-15,81.56,Buy,36 days,Rise by 7.230000%,2.76
2024-07-10,81.66,2024-07-26,82.62,Buy,11 days,Rise by 4.220000%,1.18
2024-08-12,80.6,2024-08-16,83.57,Buy,3 days,Rise by -10.330000%,3.68
2024-08-14,82.55,2024-11-20,77.2,Buy,69 days,Rise by -10.120000%,-6.48
2024-08-23,78.27,2024-09-05,75.41,Sell,8 days,Fall by 7.670000%,3.65
2024-08-29,77.76,2024-09-05,75.41,Sell,4 days,Fall by 7.060000%,3.02
2025-04-03,73.02,2025-07-23,76.27,Buy,78 days,Rise by 0.370000%,4.45
2025-04-22,73.29,2025-07-23,76.27,Buy,65 days,Rise by 1.410000%,4.07
2025-05-13,69.01,2025-05-27,72.75,Sell,9 days,Fall by 1.990000%,-5.42
2025-05-28,72.96,2025-07-23,76.27,Buy,39 days,Rise by 5.280000%,4.54
2025-10-08,72.72,2025-10-08,72.72,Sell,0 days,Fall by 1.980000%,0.0
2025-10-15,73.4,2025-10-15,73.4,Buy,0 days,Rise by -2.890000%,0.0
