Entry Date,Entry Price,Exit Date,Exit Price,Signal,Holding Period,Actual Rise/Fall wrt Entry,Return
2003-07-31,1.42,2003-12-31,2.08,Buy,108 days,Rise by 54.700000%,47.05
2004-09-30,2.52,2005-03-31,3.33,Buy,129 days,Rise by 73.230000%,32.23
2004-12-31,2.93,2005-04-30,3.58,Buy,85 days,Rise by 48.870000%,22.16
2006-07-31,3.92,2007-10-31,3.42,Sell,326 days,Fall by 10.790000%,12.87
2007-03-31,4.08,2007-09-30,3.4,Sell,129 days,Fall by 11.020000%,16.69
2007-06-30,3.71,2008-01-31,2.88,Sell,152 days,Fall by 17.840000%,22.28
2009-08-31,3.13,2010-11-30,4.32,Buy,325 days,Rise by 45.180000%,37.93
2010-08-31,3.76,2011-02-28,4.33,Buy,128 days,Rise by 37.530000%,15.22
2012-02-29,5.06,2012-04-30,7.1,Sell,42 days,Fall by -223.730000%,-40.4
2014-04-30,16.24,2014-12-31,25.12,Buy,174 days,Rise by 59.740000%,54.63
2014-10-31,19.62,2015-03-31,25.95,Buy,106 days,Rise by 32.230000%,32.23
2014-12-31,25.12,2015-12-31,30.82,Buy,260 days,Rise by 23.790000%,22.67
2017-07-31,30.26,2018-07-31,30.03,Sell,260 days,Fall by 9.770000%,0.74
2017-12-31,33.01,2019-05-31,41.54,Buy,368 days,Rise by -17.290000%,25.84
2018-04-30,28.15,2018-11-30,34.95,Sell,153 days,Fall by -40.890000%,-24.16
2019-02-28,37.2,2019-07-31,40.58,Buy,108 days,Rise by 12.970000%,9.07
2021-02-28,38.63,2021-06-30,46.12,Sell,86 days,Fall by -82.910000%,-19.39
2022-04-30,57.19,2023-02-28,64.01,Buy,215 days,Rise by 7.150000%,11.93
2023-03-31,67.95,2023-12-31,78.03,Buy,195 days,Rise by 23.870000%,14.83
2023-04-30,67.62,2023-12-31,78.03,Buy,174 days,Rise by 24.480000%,15.39
2023-12-31,78.03,2023-12-31,78.03,Buy,0 days,Rise by 9.070000%,0.0
2024-09-30,74.77,2025-05-31,71.15,Sell,174 days,Fall by 5.080000%,4.84
2025-03-31,70.97,2025-03-31,70.97,Sell,0 days,Fall by -0.440000%,0.0
2025-06-30,67.69,2025-06-30,67.69,Sell,0 days,Fall by -5.300000%,0.0
