Entry Date,Entry Price,Exit Date,Exit Price,Signal,Holding Period,Actual Rise/Fall wrt Entry,Return,Signal Open Price
2013-04-28,0.68,2013-09-15,0.73,Buy,99 days,Rise by -10.290000%,7.35,
2013-10-20,0.67,2013-11-17,0.76,Sell,19 days,Fall by -11.940000%,-13.43,
2014-01-12,0.92,2015-08-30,0.73,Buy,424 days,Rise by -13.040000%,-20.65,
2014-05-11,0.75,2014-07-20,0.65,Sell,49 days,Fall by 10.670000%,13.33,
2015-07-05,0.75,2015-12-06,1.14,Buy,109 days,Rise by 4.000000%,52.0,
2015-11-15,0.88,2015-12-20,1.43,Buy,24 days,Rise by 126.140000%,62.5,
2016-11-06,1.85,2016-11-13,2.09,Sell,4 days,Fall by -12.430000%,-12.97,
2017-01-22,2.27,2017-03-05,2.4,Buy,29 days,Rise by 55.950000%,5.73,
2017-02-12,2.54,2017-04-16,3.22,Buy,44 days,Rise by 39.370000%,26.77,
2017-03-26,2.83,2017-04-30,3.38,Buy,24 days,Rise by 25.090000%,19.43,
2017-04-09,3.15,2017-05-21,3.53,Buy,29 days,Rise by 28.250000%,12.06,
2017-04-16,3.22,2017-05-28,3.43,Buy,29 days,Rise by 25.470000%,6.52,
2017-05-07,3.47,2017-07-16,4.01,Buy,49 days,Rise by 16.430000%,15.56,
2017-06-25,4.04,2017-08-27,5.74,Buy,44 days,Rise by 112.870000%,42.08,
2017-08-13,4.84,2017-09-17,5.75,Buy,24 days,Rise by 77.610000%,18.75,
2018-09-02,12.62,2019-03-24,13.81,Buy,144 days,Rise by -18.300000%,9.43,
2019-01-20,12.65,2019-03-24,13.81,Buy,44 days,Rise by 16.360000%,9.17,
2019-09-22,13.52,2019-11-17,12.77,Sell,39 days,Fall by 8.360000%,5.55,
2020-01-26,16.01,2020-05-03,19.2,Buy,69 days,Rise by 23.740000%,19.93,
2020-02-23,16.38,2020-05-03,19.2,Buy,49 days,Rise by 20.940000%,17.22,
2020-09-06,18.27,2020-10-25,15.37,Sell,34 days,Fall by 15.870000%,15.87,
2021-01-17,11.01,2021-03-28,8.75,Sell,49 days,Fall by 14.260000%,20.53,
2021-10-03,6.6,2022-10-09,6.27,Buy,264 days,Rise by -12.730000%,-5.0,
2022-06-19,4.57,2022-07-10,5.11,Sell,14 days,Fall by -28.010000%,-11.82,
2024-02-04,5.35,2024-03-17,6.2,Buy,29 days,Rise by 26.730000%,15.89,
2024-10-13,7.17,2025-03-16,9.45,Buy,109 days,Rise by -11.300000%,31.8,
2025-01-26,6.51,2025-03-16,9.45,Buy,34 days,Rise by 45.160000%,45.16,
2025-03-02,8.84,2025-09-21,9.6,Buy,144 days,Rise by 3.390000%,8.6,
