Entry Date,Entry Price,Exit Date,Exit Price,Signal,Holding Period,Actual Rise/Fall wrt Entry,Return,Signal Open Price
2020-05-14,26.46,2020-05-19,28.63,Sell,2 days,Fall by -4.160000%,-8.2,
2020-06-11,27.56,2020-06-15,28.97,Sell,1 days,Fall by -3.410000%,-5.12,
2020-07-24,29.0,2020-08-05,32.25,Sell,7 days,Fall by -25.550000%,-11.21,
2020-12-15,38.35,2020-12-22,37.62,Sell,4 days,Fall by 2.660000%,1.9,
2021-05-19,39.26,2021-06-04,38.54,Sell,11 days,Fall by 7.000000%,1.83,
2021-06-16,38.0,2021-06-23,37.5,Sell,4 days,Fall by 12.760000%,1.32,
2021-07-13,33.15,2021-07-21,34.46,Sell,5 days,Fall by 0.450000%,-3.95,
2021-08-19,34.84,2021-09-24,36.12,Buy,25 days,Rise by 4.160000%,3.67,
2021-10-05,35.46,2021-10-15,35.97,Buy,7 days,Rise by -11.590000%,1.44,
2021-11-05,35.72,2022-04-26,30.0,Buy,121 days,Rise by -10.640000%,-16.01,
2022-02-04,31.06,2022-08-17,32.4,Buy,137 days,Rise by -10.720000%,4.31,
2022-02-09,31.29,2022-08-18,33.0,Buy,135 days,Rise by -11.380000%,5.47,
2022-07-08,30.0,2022-08-11,31.45,Buy,23 days,Rise by 10.000000%,4.83,
2022-08-15,32.15,2023-01-26,31.3,Buy,117 days,Rise by 1.090000%,-2.64,
2022-08-31,30.93,2022-09-09,30.7,Sell,6 days,Fall by 8.990000%,0.74,
2022-09-30,28.15,2022-10-03,29.63,Sell,0 days,Fall by -0.430000%,-5.26,
2022-11-11,31.14,2023-02-06,31.78,Buy,60 days,Rise by -11.050000%,2.06,
2022-12-16,25.86,2022-12-23,24.73,Sell,4 days,Fall by -17.830000%,4.37,
2023-01-20,31.75,2023-07-27,31.3,Buy,133 days,Rise by 1.700000%,-1.42,
2023-02-22,30.38,2023-03-17,29.12,Sell,16 days,Fall by 7.440000%,4.15,
2023-03-09,30.9,2023-03-16,29.62,Sell,4 days,Fall by 9.000000%,4.14,
2023-07-31,32.1,2023-08-10,34.79,Buy,7 days,Rise by 12.150000%,8.38,
2023-08-08,34.16,2023-08-31,35.49,Buy,16 days,Rise by 5.390000%,3.89,
2023-08-09,34.74,2023-09-07,35.19,Buy,20 days,Rise by 3.630000%,1.3,
2023-09-11,34.79,2023-10-05,34.7,Sell,17 days,Fall by 5.150000%,0.26,
2023-10-31,36.73,2023-11-08,39.16,Buy,5 days,Rise by 11.630000%,6.62,
2024-01-08,40.98,2024-01-15,43.94,Buy,4 days,Rise by 17.130000%,7.22,
2024-01-10,42.41,2024-01-19,46.32,Buy,6 days,Rise by 13.180000%,9.22,
2024-01-19,46.32,2024-01-30,47.08,Buy,6 days,Rise by 3.000000%,1.64,
2024-03-21,49.06,2024-03-27,51.25,Buy,3 days,Rise by -10.070000%,4.46,
2024-03-25,50.25,2024-10-24,40.7,Buy,152 days,Rise by -10.550000%,-19.0,
2024-04-18,46.35,2024-05-06,45.38,Sell,11 days,Fall by 10.420000%,2.09,
2024-04-29,46.79,2024-05-03,43.3,Sell,3 days,Fall by 10.110000%,7.46,
2024-05-13,43.13,2024-05-23,41.52,Sell,7 days,Fall by 6.750000%,3.73,
2024-09-18,37.57,2024-09-24,38.13,Buy,3 days,Rise by 9.690000%,1.49,
2024-09-19,38.7,2024-10-15,41.0,Buy,17 days,Rise by 6.490000%,5.94,
2024-10-09,40.23,2024-10-21,41.21,Buy,7 days,Rise by -10.170000%,2.44,
2024-11-01,36.14,2024-11-06,39.16,Sell,2 days,Fall by -3.790000%,-8.36,
2025-01-16,36.29,2025-01-21,37.78,Sell,2 days,Fall by -6.920000%,-4.11,
2025-01-22,38.61,2025-01-28,39.88,Buy,3 days,Rise by 6.320000%,3.29,
2025-02-05,40.57,2025-05-13,44.47,Buy,68 days,Rise by 1.180000%,9.61,
2025-02-06,40.76,2025-05-13,44.47,Buy,67 days,Rise by 0.710000%,9.1,
2025-03-04,39.48,2025-03-20,40.5,Buy,11 days,Rise by -10.180000%,2.58,
2025-04-02,39.49,2025-05-08,42.57,Buy,25 days,Rise by 15.500000%,7.8,
2025-04-04,35.59,2025-04-09,37.87,Sell,2 days,Fall by -46.920000%,-6.41,
2025-05-01,39.38,2025-05-08,42.57,Buy,4 days,Rise by 17.320000%,8.1,
2025-05-08,42.57,2025-05-15,45.46,Buy,4 days,Rise by 8.530000%,6.79,
2025-07-03,49.22,2025-07-14,50.98,Buy,6 days,Rise by 10.830000%,3.58,
2025-10-29,72.71,2025-10-29,72.71,Buy,0 days,Rise by 1.210000%,0.0,
