Entry Date,Entry Price,Exit Date,Exit Price,Signal,Holding Period,Actual Rise/Fall wrt Entry,Return
2003-07-31,0.76,2003-12-31,1.97,Buy,108 days,Rise by 347.370000%,159.64
2004-11-30,5.25,2006-06-30,5.7,Buy,412 days,Rise by 23.870000%,8.57
2007-05-31,5.62,2008-03-31,6.42,Buy,216 days,Rise by 28.660000%,14.24
2007-12-31,7.23,2010-07-31,4.67,Buy,674 days,Rise by 8.860000%,-35.42
2008-10-31,5.18,2009-05-31,4.51,Sell,150 days,Fall by 19.610000%,13.05
2010-10-31,5.69,2011-03-31,6.83,Buy,107 days,Rise by 58.560000%,20.16
2011-01-31,6.93,2012-04-30,9.02,Buy,324 days,Rise by -11.450000%,30.17
2012-01-31,7.4,2012-10-31,9.71,Buy,195 days,Rise by 461.490000%,31.22
2012-10-31,9.71,2013-05-31,16.5,Buy,151 days,Rise by 327.910000%,69.89
2013-02-28,11.67,2013-07-31,16.36,Buy,108 days,Rise by 256.140000%,40.2
2013-03-31,13.46,2013-08-31,19.47,Buy,109 days,Rise by 208.620000%,44.59
2016-09-30,28.35,2017-03-31,34.95,Buy,129 days,Rise by 23.280000%,23.28
2018-06-30,31.67,2019-05-31,47.81,Buy,238 days,Rise by 50.960000%,50.96
2018-12-31,32.25,2019-05-31,47.81,Buy,108 days,Rise by 48.250000%,48.25
2019-01-31,34.96,2019-06-30,47.78,Buy,106 days,Rise by -10.180000%,36.67
2019-03-31,40.62,2019-08-31,42.19,Buy,109 days,Rise by -10.560000%,3.87
2020-03-31,22.77,2020-04-30,30.25,Sell,21 days,Fall by -63.940000%,-32.85
2021-03-31,42.87,2022-12-31,26.66,Buy,457 days,Rise by -19.570000%,-37.81
2023-08-31,35.49,2024-02-29,46.56,Buy,129 days,Rise by 41.450000%,31.19
2025-02-28,38.8,2025-09-30,61.38,Buy,151 days,Rise by 89.660000%,58.2
2025-07-31,52.29,2025-07-31,52.29,Buy,0 days,Rise by 40.730000%,0.0
2025-10-31,73.59,2025-10-31,73.59,Buy,0 days,Rise by 0.000000%,0.0
