Entry Date,Entry Price,Exit Date,Exit Price,Signal,Holding Period,Actual Rise/Fall wrt Entry,Return
2020-02-14,32.36,2020-06-12,25.03,Buy,84 days,Rise by -16.720000%,-22.66
2020-06-03,25.42,2020-06-10,26.5,Buy,4 days,Rise by -0.150000%,4.24
2020-07-21,25.23,2020-07-28,24.54,Sell,4 days,Fall by 8.420000%,2.76
2020-08-27,24.56,2020-11-12,25.5,Buy,54 days,Rise by 2.870000%,3.84
2020-08-28,24.6,2020-11-12,25.5,Buy,53 days,Rise by 2.690000%,3.66
2020-09-16,24.09,2020-10-08,25.27,Buy,15 days,Rise by 4.900000%,4.9
2020-09-28,24.13,2020-10-08,25.27,Buy,7 days,Rise by -10.360000%,4.71
2020-10-02,24.29,2020-11-12,25.5,Buy,28 days,Rise by -10.560000%,4.99
2020-11-16,28.06,2020-11-23,28.89,Buy,4 days,Rise by 7.240000%,2.96
2021-04-30,30.2,2021-05-14,31.57,Sell,9 days,Fall by -7.120000%,-4.55
2021-05-27,32.74,2021-06-25,34.58,Buy,20 days,Rise by 6.720000%,5.63
2021-06-16,33.13,2021-06-29,34.93,Buy,8 days,Rise by 16.760000%,5.45
2021-07-19,32.9,2021-07-21,34.52,Sell,1 days,Fall by -9.860000%,-4.93
2021-08-04,37.27,2021-08-11,38.68,Buy,4 days,Rise by 3.930000%,3.79
2021-09-10,37.66,2021-09-22,38.26,Sell,7 days,Fall by -1.760000%,-1.6
2021-09-29,36.7,2021-10-14,38.76,Sell,10 days,Fall by -4.420000%,-5.59
2021-10-15,39.18,2021-10-26,40.91,Buy,6 days,Rise by 5.390000%,4.42
2021-12-01,38.32,2021-12-07,40.17,Sell,3 days,Fall by 6.270000%,-4.81
2021-12-23,41.38,2022-08-19,36.17,Buy,170 days,Rise by -10.420000%,-12.59
2022-01-06,39.47,2022-01-19,37.07,Sell,8 days,Fall by 8.990000%,6.08
2022-01-10,38.71,2022-01-21,36.22,Sell,8 days,Fall by 7.210000%,6.45
2022-01-13,39.32,2022-01-19,37.07,Sell,3 days,Fall by 8.650000%,5.73
2022-04-12,36.67,2022-04-28,35.62,Sell,11 days,Fall by 11.430000%,2.87
2022-05-30,35.12,2022-08-15,36.96,Buy,54 days,Rise by -10.530000%,5.23
2022-06-10,32.49,2022-06-16,30.09,Sell,3 days,Fall by 6.010000%,7.37
2022-08-09,34.87,2022-08-15,36.96,Buy,3 days,Rise by 3.010000%,5.98
2022-08-11,36.86,2023-07-28,30.62,Buy,250 days,Rise by -2.540000%,-16.94
2022-09-23,32.1,2022-09-30,30.46,Sell,4 days,Fall by 10.070000%,5.14
2023-03-13,26.61,2023-03-29,28.22,Sell,11 days,Fall by -2.610000%,-6.06
2023-04-26,28.17,2023-05-09,28.71,Sell,8 days,Fall by 3.600000%,-1.92
2023-05-08,28.39,2023-06-16,29.52,Buy,28 days,Rise by 0.680000%,3.99
2023-06-13,29.01,2023-07-18,30.78,Buy,24 days,Rise by 2.500000%,6.11
2023-06-23,27.55,2023-06-30,29.73,Sell,4 days,Fall by -4.960000%,-7.94
2023-06-28,28.63,2023-07-17,30.09,Buy,12 days,Rise by 9.690000%,5.1
2023-07-19,31.41,2023-09-19,31.5,Buy,43 days,Rise by 3.540000%,0.3
2023-09-08,31.07,2023-09-19,31.5,Buy,6 days,Rise by -11.590000%,1.37
2023-09-27,28.33,2023-10-05,27.41,Sell,5 days,Fall by 5.220000%,3.25
2023-10-19,28.53,2023-10-30,26.85,Sell,6 days,Fall by -19.210000%,5.91
2023-11-03,30.29,2023-11-17,30.97,Buy,9 days,Rise by 18.470000%,2.25
2023-11-07,29.36,2023-11-14,31.4,Sell,4 days,Fall by -15.850000%,-6.95
2023-11-15,31.41,2023-12-04,32.63,Buy,12 days,Rise by 14.240000%,3.88
2023-12-11,32.83,2023-12-19,34.97,Buy,5 days,Rise by 9.300000%,6.54
2023-12-13,34.4,2023-12-27,35.88,Buy,9 days,Rise by 6.820000%,4.3
2024-01-03,34.01,2024-01-22,36.14,Sell,12 days,Fall by -2.290000%,-6.25
2024-02-01,34.98,2024-02-09,36.63,Sell,5 days,Fall by -5.790000%,-4.71
2024-06-07,38.09,2024-06-18,37.83,Sell,6 days,Fall by -3.260000%,0.7
2024-07-30,44.16,2024-09-18,45.36,Buy,35 days,Rise by 2.360000%,2.72
2024-09-27,48.11,2024-10-17,50.92,Buy,13 days,Rise by 7.940000%,5.85
2024-10-10,48.62,2024-10-17,50.92,Buy,4 days,Rise by 12.220000%,4.73
2024-12-19,53.25,2025-01-08,55.99,Sell,13 days,Fall by 1.040000%,-5.13
2025-02-20,56.69,2025-02-27,54.73,Sell,4 days,Fall by 11.550000%,3.47
2025-02-24,55.06,2025-03-07,49.91,Sell,8 days,Fall by 12.020000%,9.35
2025-04-01,51.31,2025-05-14,55.43,Buy,30 days,Rise by -10.580000%,8.02
2025-06-27,56.27,2025-07-08,57.3,Buy,6 days,Rise by 10.970000%,1.82
2025-08-19,59.61,2025-09-11,63.39,Sell,16 days,Fall by -1.150000%,-6.34
2025-10-01,63.11,2025-10-14,63.64,Sell,8 days,Fall by -2.340000%,-0.83
2025-10-07,62.99,2025-10-14,63.64,Sell,4 days,Fall by -2.530000%,-1.03
2025-10-30,64.03,2025-10-30,64.03,Sell,0 days,Fall by -0.870000%,0.0
