Entry Date,Entry Price,Exit Date,Exit Price,Signal,Holding Period,Actual Rise/Fall wrt Entry,Return
2012-09-30,0.57,2013-02-28,1.15,Buy,107 days,Rise by 151.600000%,99.7
2013-10-31,1.64,2014-10-31,2.11,Buy,260 days,Rise by 42.290000%,28.4
2014-07-31,2.17,2015-10-31,2.09,Buy,326 days,Rise by -40.060000%,-3.84
2015-01-31,1.21,2015-03-31,1.7,Sell,40 days,Fall by -11.320000%,-41.15
2016-04-30,1.94,2017-10-31,2.9,Buy,390 days,Rise by -10.720000%,49.4
2016-08-31,2.32,2018-01-31,3.15,Buy,369 days,Rise by -20.610000%,35.53
2018-06-30,2.07,2019-12-31,1.65,Sell,390 days,Fall by 6.680000%,20.27
2019-09-30,1.65,2020-05-31,1.88,Sell,174 days,Fall by -317.650000%,-14.01
2020-01-31,1.73,2020-08-31,3.44,Buy,150 days,Rise by 482.510000%,98.75
2020-07-31,3.15,2020-12-31,8.8,Buy,108 days,Rise by 220.700000%,179.36
2020-11-30,7.78,2021-09-30,10.39,Buy,217 days,Rise by -11.190000%,33.68
2021-06-30,10.01,2022-11-30,8.54,Buy,369 days,Rise by 31.580000%,-14.75
2022-10-31,7.54,2023-01-31,10.58,Sell,65 days,Fall by 0.660000%,-40.42
2023-07-31,11.89,2025-06-30,15.63,Buy,499 days,Rise by -22.540000%,31.46
2024-10-31,12.12,2025-06-30,15.63,Buy,171 days,Rise by 39.280000%,28.93
2025-03-31,16.89,2025-03-31,16.89,Buy,0 days,Rise by -23.380000%,0.0
