Entry Date,Entry Price,Exit Date,Exit Price,Signal,Holding Period,Actual Rise/Fall wrt Entry,Return
2011-09-25,0.52,2011-10-16,0.64,Sell,14 days,Fall by -33.010000%,-21.58
2012-04-29,0.87,2012-06-03,0.66,Sell,24 days,Fall by 26.670000%,24.37
2012-05-13,0.75,2012-06-10,0.65,Sell,19 days,Fall by 13.770000%,13.33
2012-09-02,0.59,2012-11-11,0.83,Buy,49 days,Rise by 131.740000%,41.08
2012-09-16,0.72,2012-12-09,0.83,Buy,59 days,Rise by 90.220000%,15.57
2012-10-21,0.65,2012-12-02,0.84,Buy,29 days,Rise by 108.680000%,27.81
2013-01-20,1.14,2013-03-10,1.18,Buy,34 days,Rise by -11.950000%,3.21
2014-01-26,1.5,2014-02-16,1.78,Sell,14 days,Fall by -5.780000%,-18.78
2014-09-07,2.44,2015-07-05,1.85,Buy,214 days,Rise by -13.460000%,-24.26
2014-12-14,1.64,2015-01-11,1.27,Sell,19 days,Fall by 26.420000%,22.26
2015-04-12,2.06,2016-08-14,2.24,Buy,349 days,Rise by -10.280000%,8.83
2016-01-17,1.49,2016-03-06,1.84,Sell,34 days,Fall by -16.580000%,-23.85
2016-04-24,1.88,2016-07-31,2.12,Buy,69 days,Rise by 25.200000%,13.13
2016-06-05,1.95,2016-08-07,2.13,Buy,44 days,Rise by 20.710000%,9.24
2017-09-24,2.93,2018-12-30,2.13,Buy,329 days,Rise by 9.320000%,-27.5
2018-06-24,2.07,2018-08-05,1.78,Sell,29 days,Fall by 9.170000%,14.08
2018-10-21,2.06,2018-12-02,2.5,Sell,29 days,Fall by 8.730000%,-21.26
2019-04-21,2.41,2020-03-22,1.51,Buy,239 days,Rise by -15.640000%,-37.23
2019-06-02,1.93,2019-09-08,1.74,Sell,69 days,Fall by 15.260000%,9.83
2019-07-28,2.15,2020-07-05,2.58,Buy,244 days,Rise by -15.880000%,19.75
2019-08-25,1.64,2020-01-19,2.05,Sell,104 days,Fall by 4.780000%,-25.33
2019-09-29,1.64,2020-01-19,2.05,Sell,79 days,Fall by 5.070000%,-24.95
2020-03-01,2.03,2020-07-05,2.58,Buy,89 days,Rise by -10.430000%,27.04
2020-05-10,2.02,2020-07-05,2.58,Buy,39 days,Rise by 321.730000%,27.67
2020-11-08,8.51,2021-01-31,10.1,Buy,59 days,Rise by 33.950000%,18.62
2021-08-08,11.62,2021-11-14,12.86,Buy,69 days,Rise by -11.500000%,10.66
2022-05-22,11.1,2022-06-26,13.15,Buy,24 days,Rise by 23.900000%,18.5
2022-08-28,11.24,2022-10-02,8.19,Sell,24 days,Fall by 28.000000%,27.15
2023-12-03,8.82,2024-02-11,7.84,Sell,49 days,Fall by 16.440000%,11.11
2024-05-05,9.69,2024-09-29,11.81,Buy,104 days,Rise by 8.430000%,21.82
2024-10-06,12.96,2025-03-09,15.06,Buy,109 days,Rise by -14.150000%,16.17
2025-08-10,14.23,2025-11-02,12.94,Sell,59 days,Fall by 9.070000%,9.07
