Entry Date,Entry Price,Exit Date,Exit Price,Signal,Holding Period,Actual Rise/Fall wrt Entry,Return,Signal Open Price
2012-04-29,42.2,2012-07-29,44.2,Buy,64 days,Rise by 8.470000%,4.75,
2012-11-18,42.53,2013-01-13,46.38,Sell,39 days,Fall by -14.650000%,-9.05,
2013-10-13,54.74,2013-11-24,59.44,Buy,29 days,Rise by 10.790000%,8.57,
2014-06-22,68.28,2014-07-27,74.02,Buy,24 days,Rise by 19.000000%,8.41,
2014-07-13,70.46,2014-08-17,74.17,Buy,24 days,Rise by 15.310000%,5.27,
2014-07-27,74.02,2014-09-14,80.56,Buy,34 days,Rise by 9.770000%,8.84,
2014-11-02,79.46,2015-02-22,87.7,Buy,79 days,Rise by 10.370000%,10.37,
2015-05-10,78.78,2015-06-14,73.01,Sell,24 days,Fall by 7.770000%,7.32,
2015-05-24,74.41,2015-07-26,78.96,Sell,44 days,Fall by 4.850000%,-6.11,
2015-08-02,81.59,2016-05-22,76.46,Buy,209 days,Rise by -0.210000%,-6.29,
2015-12-13,72.47,2015-12-27,78.78,Sell,9 days,Fall by -2.220000%,-8.71,
2016-01-10,72.62,2016-02-14,76.54,Sell,24 days,Fall by -2.010000%,-5.4,
2016-01-17,72.42,2016-02-14,76.54,Sell,19 days,Fall by -2.290000%,-5.69,
2016-03-20,80.84,2016-09-04,85.09,Buy,119 days,Rise by 9.190000%,5.26,
2016-05-08,76.65,2016-07-17,80.58,Sell,49 days,Fall by 3.350000%,-5.13,
2016-06-19,75.12,2016-07-17,80.58,Sell,19 days,Fall by -8.010000%,-7.27,
2016-06-26,74.08,2016-07-17,80.58,Sell,14 days,Fall by -9.530000%,-8.77,
2016-08-28,84.64,2016-12-11,91.64,Buy,74 days,Rise by 8.270000%,8.27,
2016-10-09,88.27,2017-01-15,93.19,Buy,69 days,Rise by 3.820000%,5.57,
2016-11-20,87.0,2016-12-25,91.52,Buy,24 days,Rise by 23.640000%,5.2,
2017-06-11,106.55,2018-08-05,114.68,Buy,299 days,Rise by -2.190000%,7.63,
2017-11-19,101.85,2018-02-18,95.64,Sell,64 days,Fall by 7.150000%,6.1,
2018-08-19,116.33,2019-04-28,127.37,Buy,179 days,Rise by 0.850000%,9.49,
2018-09-16,113.64,2019-01-06,100.77,Sell,79 days,Fall by 13.690000%,11.33,
2019-06-16,122.57,2020-03-08,115.52,Buy,189 days,Rise by 2.060000%,-5.75,
2019-07-21,119.69,2019-11-10,125.1,Sell,79 days,Fall by 5.560000%,-4.52,
2020-05-31,118.6,2020-08-02,130.84,Buy,44 days,Rise by 17.600000%,10.32,
2020-08-16,135.9,2020-10-25,137.98,Buy,49 days,Rise by 8.480000%,1.53,
2020-08-23,139.47,2021-04-04,147.79,Buy,159 days,Rise by 5.700000%,5.97,
2021-01-31,129.52,2021-02-14,140.49,Sell,9 days,Fall by 2.870000%,-8.47,
2021-05-02,132.33,2021-05-30,136.0,Sell,19 days,Fall by -15.660000%,-2.77,
2021-05-23,125.8,2021-05-30,136.0,Sell,4 days,Fall by -21.660000%,-8.11,
2021-06-20,129.91,2021-09-05,159.01,Sell,54 days,Fall by -17.810000%,-22.4,
2021-09-19,150.32,2021-10-24,167.5,Sell,24 days,Fall by -1.820000%,-11.43,
2022-01-23,154.54,2022-03-27,169.73,Sell,44 days,Fall by 9.110000%,-9.83,
2022-03-27,169.73,2023-01-15,165.64,Buy,209 days,Rise by -15.800000%,-2.41,
2022-05-15,142.92,2022-07-31,162.23,Sell,54 days,Fall by -3.970000%,-13.51,
2022-11-27,169.17,2024-03-03,176.69,Buy,329 days,Rise by -1.560000%,4.45,
2023-04-09,159.84,2024-01-14,169.22,Buy,199 days,Rise by 12.160000%,5.87,
2023-04-23,166.53,2024-03-03,176.69,Buy,224 days,Rise by -11.640000%,6.1,
2023-05-28,155.16,2023-10-22,145.93,Sell,104 days,Fall by 6.520000%,5.95,
2023-08-27,152.98,2023-10-22,145.93,Sell,39 days,Fall by 5.180000%,4.61,
2023-10-08,146.35,2023-11-19,158.14,Sell,29 days,Fall by -15.460000%,-8.06,
2023-11-12,154.14,2023-12-31,166.55,Buy,34 days,Rise by 16.310000%,8.05,
2023-12-17,161.01,2024-01-14,169.22,Buy,19 days,Rise by 11.350000%,5.1,
2024-01-14,169.22,2024-03-03,176.69,Buy,34 days,Rise by 5.940000%,4.41,
2024-02-11,173.01,2024-02-11,173.01,Buy,0 days,Rise by -12.020000%,0.0,
2024-06-23,160.11,2024-11-17,153.35,Sell,104 days,Fall by 4.930000%,4.22,
2025-03-16,140.3,2025-05-18,150.99,Sell,44 days,Fall by 9.240000%,-7.62,
2025-03-23,138.4,2025-05-18,150.99,Sell,39 days,Fall by 8.000000%,-9.1,
