Entry Date,Entry Price,Exit Date,Exit Price,Signal,Holding Period,Actual Rise/Fall wrt Entry,Return
2013-12-31,1.44,2014-03-31,1.72,Sell,63 days,Fall by -77.780000%,-19.1
2017-09-30,3.92,2018-04-30,4.04,Sell,149 days,Fall by 4.590000%,-3.19
2018-06-30,4.18,2018-11-30,4.79,Buy,108 days,Rise by 43.300000%,14.59
2019-03-31,5.9,2020-07-31,7.46,Buy,348 days,Rise by -14.580000%,26.44
2019-04-30,5.99,2020-07-31,7.46,Buy,327 days,Rise by -15.690000%,24.54
2019-11-30,5.9,2020-07-31,7.46,Buy,173 days,Rise by 28.810000%,26.44
2022-08-31,8.02,2023-07-31,8.6,Buy,237 days,Rise by 7.800000%,7.3
2023-10-31,7.18,2024-07-31,7.9,Sell,195 days,Fall by -0.350000%,-10.1
2024-04-30,7.2,2024-08-31,8.54,Sell,88 days,Fall by -10.280000%,-18.61
2024-09-30,8.72,2024-09-30,8.72,Buy,0 days,Rise by 7.340000%,0.0
