Entry Date,Entry Price,Exit Date,Exit Price,Signal,Holding Period,Actual Rise/Fall wrt Entry,Return
2022-05-08,103.74,2022-06-05,66.69,Sell,19 days,Fall by 39.550000%,35.71
2022-05-22,66.15,2022-07-10,60.29,Sell,34 days,Fall by 18.680000%,8.86
2022-11-13,57.46,2022-12-18,36.6,Sell,24 days,Fall by 38.410000%,36.3
2023-07-09,78.72,2023-08-13,81.01,Buy,24 days,Rise by -10.090000%,2.91
2023-10-29,70.78,2023-11-12,92.92,Sell,9 days,Fall by -76.250000%,-31.28
2023-12-17,147.9,2024-03-17,242.36,Buy,64 days,Rise by -12.630000%,63.87
2024-03-10,256.62,2024-12-08,343.62,Buy,194 days,Rise by -13.000000%,33.9
2024-06-16,244.5,2024-12-08,343.62,Buy,124 days,Rise by -16.380000%,40.54
2024-11-24,304.64,2025-07-27,391.66,Buy,174 days,Rise by -15.050000%,28.56
2025-04-06,160.55,2025-04-27,209.64,Sell,14 days,Fall by -86.280000%,-30.58
2025-05-25,263.16,2025-07-20,419.78,Buy,39 days,Rise by 59.520000%,59.52
2025-06-29,353.43,2025-06-29,353.43,Buy,0 days,Rise by -10.150000%,0.0
