Entry Date,Entry Price,Exit Date,Exit Price,Signal,Holding Period,Actual Rise/Fall wrt Entry,Return
2005-02-28,17.42,2005-12-31,17.12,Sell,219 days,Fall by 1.720000%,1.72
2006-09-30,22.98,2007-02-28,25.94,Buy,106 days,Rise by 44.170000%,12.88
2006-11-30,26.91,2007-10-31,33.06,Buy,238 days,Rise by 23.110000%,22.85
2008-10-31,17.77,2009-03-31,16.77,Sell,106 days,Fall by -12.490000%,5.63
2008-11-30,16.54,2009-03-31,16.77,Sell,85 days,Fall by -20.860000%,-1.39
2010-03-31,26.03,2012-08-31,19.08,Buy,631 days,Rise by -23.200000%,-26.7
2010-06-30,21.31,2011-06-30,15.61,Sell,260 days,Fall by 10.090000%,26.75
2011-03-31,17.15,2011-09-30,15.5,Sell,130 days,Fall by 9.620000%,9.62
2016-08-31,31.44,2017-09-30,33.63,Buy,282 days,Rise by 8.720000%,6.97
2016-11-30,29.82,2017-02-28,34.18,Sell,63 days,Fall by -41.820000%,-14.62
2017-06-30,31.3,2017-11-30,37.3,Sell,108 days,Fall by -35.110000%,-19.17
2017-11-30,37.3,2018-04-30,44.29,Buy,106 days,Rise by 30.430000%,18.74
2017-12-31,38.3,2018-06-30,43.03,Buy,129 days,Rise by 27.020000%,12.35
2018-01-31,41.54,2019-05-31,52.03,Buy,346 days,Rise by 17.120000%,25.25
2019-04-30,55.95,2022-04-30,48.98,Buy,783 days,Rise by -11.690000%,-12.46
2019-11-30,45.31,2020-05-31,47.82,Sell,129 days,Fall by 13.070000%,-5.54
2020-02-29,39.93,2020-05-31,47.82,Sell,64 days,Fall by 10.090000%,-19.76
2020-03-31,39.31,2020-05-31,47.82,Sell,43 days,Fall by 8.670000%,-21.65
2020-09-30,39.39,2020-11-30,43.02,Sell,42 days,Fall by -8.250000%,-9.22
2022-05-31,45.05,2022-11-30,49.72,Sell,130 days,Fall by -4.880000%,-10.37
2024-05-31,46.5,2024-10-31,54.77,Sell,108 days,Fall by -24.150000%,-17.78
