Entry Date,Entry Price,Exit Date,Exit Price,Signal,Holding Period,Actual Rise/Fall wrt Entry,Return
1980-03-31,1.64,1980-09-30,2.36,Sell,130 days,Fall by -43.810000%,-43.81
1982-12-31,4.42,1986-03-31,7.84,Buy,845 days,Rise by 35.690000%,77.39
1983-06-30,5.75,1986-12-31,6.75,Buy,913 days,Rise by -23.370000%,17.39
1987-06-30,9.17,1989-12-31,11.16,Buy,653 days,Rise by -11.580000%,21.63
1992-12-31,13.28,1998-12-31,27.5,Buy,1564 days,Rise by -17.180000%,107.06
1993-12-31,10.16,1995-06-30,8.56,Sell,389 days,Fall by 12.310000%,15.69
1994-03-31,9.53,1995-06-30,8.56,Sell,325 days,Fall by 19.020000%,10.16
1996-06-30,10.12,1998-03-31,18.88,Buy,455 days,Rise by 171.600000%,86.42
1997-09-30,14.22,1998-12-31,27.5,Buy,326 days,Rise by 93.410000%,93.41
2002-12-31,12.48,2003-12-31,18.06,Sell,260 days,Fall by -132.840000%,-44.65
2007-06-30,36.45,2010-12-31,34.77,Buy,913 days,Rise by 11.140000%,-4.61
2008-03-31,40.51,2010-12-31,34.77,Buy,718 days,Rise by -29.050000%,-14.17
2008-12-31,28.74,2011-03-31,34.32,Sell,585 days,Fall by -2.020000%,-19.42
2014-03-31,74.86,2015-09-30,96.48,Buy,391 days,Rise by 40.100000%,28.88
2018-03-31,62.21,2019-12-31,74.29,Sell,455 days,Fall by 13.310000%,-19.42
2021-03-31,75.23,2022-06-30,92.66,Buy,325 days,Rise by 37.130000%,23.17
