Entry Date,Entry Price,Exit Date,Exit Price,Signal,Holding Period,Actual Rise/Fall wrt Entry,Return
2012-03-25,43.65,2012-06-24,47.47,Buy,64 days,Rise by 21.350000%,8.75
2012-11-04,49.86,2013-01-06,52.19,Sell,44 days,Fall by -25.810000%,-4.67
2012-11-18,47.42,2013-01-06,52.19,Sell,34 days,Fall by -32.290000%,-10.06
2013-08-18,62.17,2013-09-15,66.69,Sell,19 days,Fall by -23.870000%,-7.27
2014-10-19,83.83,2014-11-02,91.38,Sell,9 days,Fall by -8.510000%,-9.01
2015-02-15,104.17,2015-04-26,109.53,Buy,49 days,Rise by 6.100000%,5.15
2015-08-16,107.16,2015-09-20,102.84,Sell,24 days,Fall by 12.370000%,4.03
2015-12-20,107.72,2016-01-31,95.82,Sell,29 days,Fall by 12.830000%,11.05
2016-02-14,91.15,2016-03-20,99.2,Sell,24 days,Fall by -5.010000%,-8.83
2016-05-22,99.78,2016-08-21,96.39,Sell,64 days,Fall by 7.380000%,3.4
2016-11-20,98.24,2016-12-25,105.15,Buy,24 days,Rise by 17.670000%,7.03
2017-03-19,111.76,2017-04-30,115.6,Buy,29 days,Rise by -1.610000%,3.44
2017-06-25,104.36,2017-09-10,97.07,Sell,54 days,Fall by 6.990000%,6.99
2017-08-13,101.99,2017-10-08,100.07,Sell,39 days,Fall by 3.380000%,1.88
2018-07-29,112.62,2019-05-05,134.33,Buy,199 days,Rise by 5.580000%,19.28
2018-09-30,116.94,2019-05-12,134.04,Buy,159 days,Rise by -10.880000%,14.62
2018-11-11,118.0,2019-05-12,134.04,Buy,129 days,Rise by -2.330000%,13.59
2019-09-29,129.96,2019-11-17,144.67,Sell,34 days,Fall by 11.300000%,-11.32
2020-03-08,115.27,2020-03-29,96.4,Sell,14 days,Fall by 12.210000%,16.37
2020-08-16,130.53,2020-12-06,154.14,Buy,79 days,Rise by 38.800000%,18.09
2020-10-04,122.55,2020-11-15,138.36,Sell,29 days,Fall by -37.230000%,-12.9
2021-09-12,184.12,2024-04-28,112.73,Buy,684 days,Rise by -13.300000%,-38.77
2021-11-21,154.0,2022-02-13,149.47,Sell,59 days,Fall by 10.790000%,2.94
2022-05-15,107.33,2022-07-10,95.86,Sell,39 days,Fall by 10.430000%,10.69
2023-01-22,103.48,2024-03-10,110.32,Buy,294 days,Rise by -0.950000%,6.61
2023-02-05,110.71,2024-04-14,114.01,Buy,309 days,Rise by -15.020000%,2.98
2023-05-21,91.35,2023-07-16,88.62,Sell,39 days,Fall by 10.630000%,2.99
2023-09-03,81.64,2023-11-12,88.27,Sell,49 days,Fall by 2.830000%,-8.12
2023-10-15,84.35,2023-12-10,92.82,Buy,39 days,Rise by 45.060000%,10.04
2023-10-29,79.33,2023-11-12,88.27,Sell,9 days,Fall by -8.670000%,-11.27
2023-11-19,94.15,2024-02-25,107.74,Buy,69 days,Rise by 29.960000%,14.43
2024-01-28,95.36,2024-03-03,111.95,Buy,24 days,Rise by 28.310000%,17.4
2024-07-07,97.99,2024-08-18,89.3,Sell,29 days,Fall by 10.260000%,8.87
2025-03-16,98.64,2025-05-04,92.49,Sell,34 days,Fall by -13.980000%,6.23
2025-09-21,113.76,2025-09-21,113.76,Sell,0 days,Fall by 1.000000%,0.0
