Entry Date,Entry Price,Exit Date,Exit Price,Signal,Holding Period,Actual Rise/Fall wrt Entry,Return,Signal Open Price
2020-05-29,46.68,2020-06-05,47.68,Buy,4 days,Rise by 6.260000%,2.14,
2020-06-02,49.24,2020-08-21,52.86,Buy,57 days,Rise by 0.730000%,7.35,
2020-08-20,53.11,2020-12-09,55.0,Buy,78 days,Rise by -1.050000%,3.56,
2020-09-08,48.77,2020-09-24,50.49,Sell,11 days,Fall by 5.930000%,-3.53,
2020-10-22,50.39,2020-10-29,46.43,Sell,4 days,Fall by -2.960000%,7.86,
2020-10-23,49.7,2020-10-29,46.43,Sell,3 days,Fall by -4.390000%,6.58,
2020-10-26,48.77,2020-11-02,46.05,Sell,4 days,Fall by -6.380000%,5.58,
2020-10-27,48.0,2020-11-02,46.05,Sell,3 days,Fall by -8.080000%,4.06,
2020-11-27,52.73,2020-12-07,53.39,Buy,5 days,Rise by 2.430000%,1.25,
2021-01-15,51.37,2021-01-25,52.54,Sell,5 days,Fall by 2.690000%,-2.28,
2021-01-21,50.8,2021-01-25,52.54,Sell,1 days,Fall by 7.190000%,-3.43,
2021-02-17,47.85,2021-03-01,48.98,Sell,7 days,Fall by -10.720000%,-2.36,
2021-03-25,51.6,2021-03-31,55.52,Sell,3 days,Fall by -2.670000%,-7.6,
2021-04-19,57.75,2021-07-28,58.9,Buy,71 days,Rise by -6.100000%,1.99,
2021-08-18,58.6,2021-08-25,58.77,Buy,4 days,Rise by -1.190000%,0.29,
2021-08-27,57.81,2021-09-14,56.12,Sell,11 days,Fall by 4.200000%,2.92,
2021-09-01,57.53,2021-09-14,56.12,Sell,8 days,Fall by 6.210000%,2.45,
2021-09-07,56.78,2021-09-15,55.73,Sell,5 days,Fall by 4.970000%,1.85,
2021-09-10,55.41,2021-09-22,57.65,Sell,7 days,Fall by 2.620000%,-4.04,
2021-10-22,56.13,2021-11-04,57.46,Sell,8 days,Fall by 3.240000%,-2.37,
2022-01-20,61.78,2022-01-28,64.39,Sell,5 days,Fall by -3.120000%,-4.22,
2022-02-09,68.25,2022-03-21,68.82,Buy,27 days,Rise by 3.470000%,0.84,
2022-03-16,70.62,2022-04-05,74.64,Buy,13 days,Rise by 7.430000%,5.69,
2022-04-06,75.0,2022-07-14,76.65,Buy,70 days,Rise by -12.110000%,2.2,
2022-04-19,75.14,2022-07-19,76.08,Buy,64 days,Rise by -12.270000%,1.25,
2022-05-18,65.92,2022-05-20,68.3,Sell,1 days,Fall by -15.310000%,-3.61,
2022-06-03,70.12,2022-06-08,73.49,Sell,2 days,Fall by -8.400000%,-4.81,
2022-06-08,73.49,2022-06-28,75.01,Buy,13 days,Rise by 6.530000%,2.07,
2022-09-13,77.14,2022-09-19,78.62,Sell,3 days,Fall by -2.400000%,-1.92,
2022-11-09,78.34,2022-11-10,81.32,Sell,0 days,Fall by -1.090000%,-3.8,
2022-11-14,76.99,2022-11-21,79.36,Sell,4 days,Fall by -2.860000%,-3.08,
2022-12-01,82.85,2023-04-21,84.77,Buy,100 days,Rise by 2.810000%,2.32,
2022-12-13,79.75,2023-01-06,82.92,Sell,17 days,Fall by 0.700000%,-3.97,
2023-03-14,75.59,2023-03-20,78.45,Sell,3 days,Fall by -8.880000%,-3.78,
2023-05-17,83.27,2023-06-12,84.72,Sell,17 days,Fall by -2.790000%,-1.74,
2023-05-24,81.97,2023-06-12,84.72,Sell,12 days,Fall by -4.420000%,-3.35,
2023-05-26,83.74,2023-06-16,87.15,Buy,14 days,Rise by 7.140000%,4.07,
2023-06-07,82.93,2023-06-14,85.87,Sell,4 days,Fall by -3.210000%,-3.55,
2023-06-16,87.15,2023-07-06,89.19,Buy,13 days,Rise by 2.950000%,2.34,
2023-07-13,86.6,2023-07-19,88.06,Buy,3 days,Rise by 0.320000%,1.69,
2023-07-28,87.15,2023-08-04,85.54,Sell,4 days,Fall by 2.240000%,1.85,
2023-09-07,87.52,2023-09-13,94.66,Sell,3 days,Fall by -6.090000%,-8.16,
2024-03-13,104.99,2024-04-10,111.64,Buy,19 days,Rise by 9.060000%,6.33,
2024-03-22,101.32,2024-03-27,104.65,Sell,2 days,Fall by -18.970000%,-3.29,
2024-04-05,114.5,2024-04-30,114.84,Buy,16 days,Rise by 12.660000%,0.3,
2024-05-21,123.77,2024-06-06,126.72,Buy,11 days,Rise by 5.130000%,2.38,
2024-05-31,129.0,2024-07-31,129.43,Buy,42 days,Rise by 0.870000%,0.33,
2024-08-27,137.07,2024-10-11,144.03,Buy,32 days,Rise by 5.600000%,5.08,
2024-09-06,128.27,2024-09-11,135.53,Sell,2 days,Fall by -7.870000%,-5.66,
2024-09-09,128.24,2024-09-11,135.53,Sell,1 days,Fall by -7.900000%,-5.68,
2024-09-26,137.05,2024-10-11,144.03,Buy,10 days,Rise by 5.610000%,5.09,
2024-10-29,144.6,2024-11-07,149.39,Buy,6 days,Rise by -1.870000%,3.31,
2024-10-31,144.89,2024-11-07,149.39,Buy,4 days,Rise by -2.060000%,3.11,
2024-11-04,150.0,2025-03-05,150.78,Buy,86 days,Rise by -5.400000%,0.52,
2024-12-18,138.37,2025-01-16,132.89,Sell,20 days,Fall by 3.960000%,3.96,
2025-01-16,132.89,2025-01-21,137.96,Sell,2 days,Fall by -11.220000%,-3.82,
2025-01-24,141.55,2025-02-25,147.58,Buy,21 days,Rise by 9.520000%,4.26,
2025-02-19,143.58,2025-02-28,150.83,Buy,6 days,Rise by 7.970000%,5.05,
2025-02-20,143.77,2025-02-28,150.83,Buy,5 days,Rise by 7.830000%,4.91,
2025-02-25,147.58,2025-03-04,148.92,Buy,4 days,Rise by 16.810000%,0.91,
2025-04-01,154.01,2025-04-16,169.59,Buy,10 days,Rise by 11.930000%,10.12,
2025-04-11,161.74,2025-04-17,167.8,Buy,3 days,Rise by 6.580000%,3.75,
2025-05-28,176.26,2025-06-16,192.14,Buy,12 days,Rise by 10.350000%,9.01,
2025-08-06,194.0,2025-08-06,194.0,Buy,0 days,Rise by 1.560000%,0.0,
2025-08-19,196.9,2025-08-19,196.9,Buy,0 days,Rise by -3.160000%,0.0,
2025-08-27,185.07,2025-10-06,178.57,Sell,27 days,Fall by 5.510000%,3.51,
