Entry Date,Entry Price,Exit Date,Exit Price,Signal,Holding Period,Actual Rise/Fall wrt Entry,Return
2003-09-30,2.87,2004-04-30,3.09,Buy,152 days,Rise by 7.880000%,7.58
2004-09-30,3.74,2006-01-31,4.0,Buy,347 days,Rise by 11.630000%,6.98
2005-01-31,4.04,2006-07-31,4.52,Buy,389 days,Rise by 3.220000%,11.83
2005-03-31,3.52,2006-01-31,4.0,Sell,217 days,Fall by -24.690000%,-13.58
2007-07-31,4.24,2008-03-31,4.26,Sell,173 days,Fall by 1.640000%,-0.41
2010-03-31,5.66,2010-12-31,6.37,Buy,196 days,Rise by 16.740000%,12.44
2010-07-31,5.57,2010-12-31,6.37,Buy,108 days,Rise by 18.750000%,14.37
2010-09-30,6.0,2011-02-28,6.44,Buy,106 days,Rise by 10.150000%,7.25
2010-11-30,6.54,2012-10-31,7.13,Buy,500 days,Rise by -11.040000%,9.04
2013-04-30,8.44,2013-09-30,10.12,Buy,108 days,Rise by 19.950000%,19.95
2013-05-31,9.39,2015-07-31,10.9,Buy,564 days,Rise by 9.110000%,16.03
2013-07-31,10.05,2015-07-31,10.9,Buy,521 days,Rise by 1.990000%,8.46
2014-09-30,9.25,2015-09-30,12.46,Sell,260 days,Fall by -75.240000%,-34.7
2015-03-31,10.7,2015-12-31,13.75,Buy,196 days,Rise by 35.510000%,28.5
2015-10-31,13.65,2016-06-30,16.36,Buy,172 days,Rise by 26.010000%,19.85
2018-08-31,21.14,2019-09-30,25.0,Buy,280 days,Rise by 18.260000%,18.26
2019-06-30,23.15,2020-12-31,28.7,Buy,392 days,Rise by 23.970000%,23.97
2020-04-30,22.2,2020-12-31,28.7,Sell,174 days,Fall by -68.920000%,-29.28
2020-06-30,21.61,2020-12-31,28.7,Sell,131 days,Fall by -103.150000%,-32.81
2021-04-30,29.75,2021-08-31,35.94,Buy,86 days,Rise by 38.490000%,20.81
2024-03-31,34.25,2025-07-31,40.9,Sell,347 days,Fall by -6.860000%,-19.42
2025-09-30,29.78,2025-09-30,29.78,Sell,0 days,Fall by 2.960000%,0.0
