Entry Date,Entry Price,Exit Date,Exit Price,Signal,Holding Period,Actual Rise/Fall wrt Entry,Return
2020-04-22,54.75,2020-04-27,55.94,Sell,2 days,Fall by -10.480000%,-2.17
2020-09-04,64.52,2020-09-09,64.92,Sell,2 days,Fall by 2.560000%,-0.62
2020-09-22,63.46,2020-09-28,64.03,Sell,3 days,Fall by 3.260000%,-0.9
2020-12-31,72.96,2021-01-06,74.95,Sell,3 days,Fall by 0.780000%,-2.73
2021-01-19,74.94,2021-02-01,73.25,Sell,8 days,Fall by 1.240000%,2.26
2021-02-26,74.01,2021-03-01,75.4,Sell,0 days,Fall by -1.420000%,-1.88
2021-03-15,76.34,2021-04-08,77.75,Buy,17 days,Rise by 3.860000%,1.85
2021-04-09,77.99,2021-04-19,79.15,Buy,5 days,Rise by 3.100000%,1.49
2021-04-16,79.29,2021-05-25,80.54,Buy,26 days,Rise by 1.410000%,1.58
2021-06-17,80.18,2021-06-23,79.05,Sell,3 days,Fall by 4.090000%,1.41
2021-09-29,78.32,2021-10-07,77.99,Sell,5 days,Fall by 2.450000%,0.42
2021-12-27,79.12,2022-11-21,64.66,Buy,234 days,Rise by 0.680000%,-18.28
2022-03-04,69.03,2022-03-09,70.24,Sell,2 days,Fall by 5.580000%,-1.75
2022-04-22,70.47,2022-04-28,69.45,Sell,3 days,Fall by 7.510000%,1.45
2022-09-21,58.8,2022-09-28,56.88,Sell,4 days,Fall by 5.260000%,3.27
2022-09-23,56.76,2022-09-28,56.88,Sell,2 days,Fall by 1.850000%,-0.21
2022-11-11,65.46,2022-11-29,65.95,Buy,11 days,Rise by 3.530000%,0.75
2023-03-30,71.16,2023-04-05,71.6,Buy,3 days,Rise by 3.740000%,0.62
2023-05-24,71.54,2023-06-02,72.65,Sell,6 days,Fall by 0.810000%,-1.55
2023-07-20,73.83,2023-08-07,72.77,Sell,11 days,Fall by 5.510000%,1.44
2023-08-02,72.16,2023-08-17,69.84,Sell,10 days,Fall by 3.330000%,3.22
2024-01-19,73.93,2024-01-29,75.49,Buy,5 days,Rise by 7.550000%,2.11
2024-04-15,77.01,2024-04-19,76.12,Sell,3 days,Fall by -3.540000%,1.16
2024-04-17,76.3,2024-04-23,77.85,Sell,3 days,Fall by -4.510000%,-2.03
2024-05-15,81.8,2024-08-28,82.54,Buy,74 days,Rise by 0.440000%,0.9
2024-07-19,79.53,2024-07-31,80.36,Sell,7 days,Fall by 5.290000%,-1.04
2024-08-02,77.0,2024-08-08,77.08,Sell,3 days,Fall by -3.640000%,-0.1
2024-12-02,79.19,2024-12-06,80.08,Buy,3 days,Rise by 4.210000%,1.12
2024-12-31,75.61,2025-01-15,76.08,Sell,10 days,Fall by 3.500000%,-0.62
2025-01-24,79.23,2025-02-10,80.15,Buy,10 days,Rise by 4.150000%,1.16
2025-07-29,89.11,2025-08-04,88.45,Sell,3 days,Fall by -1.650000%,0.74
2025-07-31,87.52,2025-08-06,89.02,Sell,3 days,Fall by -3.500000%,-1.71
2025-09-25,91.92,2025-10-01,94.14,Sell,3 days,Fall by -0.350000%,-2.42
