Entry Date,Entry Price,Exit Date,Exit Price,Signal,Holding Period,Actual Rise/Fall wrt Entry,Return
2019-09-01,171.63,2019-12-22,132.37,Sell,79 days,Fall by 16.780000%,22.87
2020-08-09,391.12,2020-12-06,601.91,Buy,84 days,Rise by 394.890000%,53.89
2021-01-10,1262.25,2021-02-28,1416.05,Buy,34 days,Rise by 211.260000%,12.18
2021-10-31,4288.07,2023-05-14,1800.5,Buy,399 days,Rise by -10.690000%,-58.01
2022-10-30,1590.78,2023-04-16,2120.01,Buy,119 days,Rise by -25.530000%,33.27
2022-11-20,1142.47,2023-01-15,1552.48,Sell,39 days,Fall by -50.600000%,-35.89
2023-06-18,1720.58,2023-10-29,1795.55,Sell,94 days,Fall by 9.440000%,-4.36
2023-10-29,1795.55,2023-12-03,2193.69,Buy,24 days,Rise by 116.160000%,22.17
2023-11-05,1894.16,2023-12-10,2352.46,Buy,24 days,Rise by 104.900000%,24.2
2024-03-03,3490.99,2025-01-19,3208.96,Buy,229 days,Rise by -10.130000%,-8.08
2024-08-04,2686.4,2024-11-10,3191.33,Sell,69 days,Fall by 24.970000%,-18.8
2024-08-11,2553.25,2024-11-10,3191.33,Sell,64 days,Fall by 21.060000%,-24.99
2025-07-20,3759.47,2025-09-07,4305.35,Buy,34 days,Rise by 2.730000%,14.52
