Entry Date,Entry Price,Exit Date,Exit Price,Signal,Holding Period,Actual Rise/Fall wrt Entry,Return
2012-03-18,2.41,2012-12-09,2.61,Buy,189 days,Rise by -1.240000%,8.3
2014-04-13,4.12,2014-06-01,4.6,Sell,34 days,Fall by -58.740000%,-11.65
2014-12-14,6.12,2015-03-08,6.75,Buy,59 days,Rise by 11.930000%,10.29
2015-02-01,6.21,2015-03-08,6.75,Buy,24 days,Rise by 11.590000%,8.7
2015-05-17,6.3,2015-06-07,6.96,Sell,14 days,Fall by -10.630000%,-10.48
2015-10-11,6.97,2015-10-25,7.69,Sell,9 days,Fall by -31.280000%,-10.33
2015-11-01,7.78,2015-12-06,8.41,Buy,24 days,Rise by 14.400000%,8.1
2015-12-06,8.41,2016-03-13,9.15,Buy,69 days,Rise by 17.950000%,8.8
2016-03-27,9.68,2016-06-19,10.35,Buy,59 days,Rise by 9.500000%,6.92
2016-08-28,9.6,2016-11-20,8.8,Sell,59 days,Fall by 13.850000%,8.33
2016-11-27,8.27,2017-03-05,9.26,Sell,69 days,Fall by -59.730000%,-11.97
2017-03-12,9.58,2017-05-28,10.61,Buy,54 days,Rise by 19.680000%,10.75
2018-06-03,13.48,2018-07-08,15.29,Buy,24 days,Rise by 21.590000%,13.43
2018-06-17,15.05,2019-05-19,16.19,Buy,239 days,Rise by 8.900000%,7.57
2018-11-25,13.06,2018-12-30,13.0,Sell,24 days,Fall by -15.310000%,0.46
2019-02-03,12.66,2019-02-24,14.41,Sell,14 days,Fall by -18.960000%,-13.82
2019-03-03,15.06,2019-05-19,16.19,Buy,54 days,Rise by 10.690000%,7.5
2019-09-08,17.64,2019-11-17,20.76,Buy,49 days,Rise by 73.190000%,17.69
2020-09-20,32.25,2020-10-25,35.86,Sell,24 days,Fall by -0.160000%,-11.19
2021-01-10,32.55,2021-01-24,35.1,Sell,9 days,Fall by 10.140000%,-7.83
2021-02-14,32.25,2021-03-28,32.5,Sell,29 days,Fall by 10.080000%,-0.78
2021-10-17,30.0,2021-12-26,32.85,Sell,49 days,Fall by 18.630000%,-9.5
2022-01-16,31.48,2022-02-20,28.81,Sell,24 days,Fall by 11.530000%,8.48
2022-01-30,28.0,2022-04-17,22.8,Sell,54 days,Fall by 12.820000%,18.57
2022-02-27,27.63,2022-04-24,22.29,Sell,39 days,Fall by 17.480000%,19.33
2022-09-25,19.1,2022-11-20,20.5,Sell,39 days,Fall by -31.200000%,-7.33
2023-06-04,23.96,2023-09-10,21.45,Sell,69 days,Fall by 10.480000%,10.48
2023-08-06,24.26,2023-09-03,22.5,Sell,19 days,Fall by 11.050000%,7.25
2023-08-20,22.38,2023-10-08,22.23,Sell,34 days,Fall by 8.620000%,0.67
2024-06-09,30.0,2024-08-11,32.5,Buy,44 days,Rise by 28.330000%,8.33
2024-08-04,32.75,2024-09-22,36.56,Buy,34 days,Rise by 17.710000%,11.63
2024-08-25,35.4,2024-12-01,38.05,Buy,69 days,Rise by 8.900000%,7.49
2024-09-08,37.4,2024-09-08,37.4,Buy,0 days,Rise by 3.070000%,0.0
2025-08-03,36.0,2025-08-03,36.0,Sell,0 days,Fall by -3.060000%,0.0
2025-10-19,35.45,2025-10-19,35.45,Sell,0 days,Fall by -4.650000%,0.0
