Entry Date,Entry Price,Exit Date,Exit Price,Signal,Holding Period,Actual Rise/Fall wrt Entry,Return
2011-12-25,3.67,2012-03-18,3.9,Buy,59 days,Rise by 6.270000%,6.27
2012-03-04,3.88,2012-09-16,4.1,Buy,139 days,Rise by 7.730000%,5.67
2012-06-10,3.75,2012-09-02,4.0,Sell,59 days,Fall by -12.800000%,-6.67
2013-08-04,4.06,2013-11-03,4.4,Sell,64 days,Fall by -12.070000%,-8.37
2014-03-09,4.93,2014-06-22,5.02,Buy,74 days,Rise by 3.650000%,1.83
2014-04-27,4.95,2014-06-22,5.02,Buy,39 days,Rise by 3.230000%,1.41
2015-06-21,5.98,2015-07-26,5.96,Sell,24 days,Fall by 10.870000%,0.33
2016-04-24,6.65,2016-09-18,6.69,Buy,104 days,Rise by 3.760000%,0.6
2016-05-29,6.89,2017-03-12,7.2,Buy,204 days,Rise by 2.180000%,4.5
2016-07-10,6.54,2016-08-14,6.74,Buy,24 days,Rise by 7.650000%,3.06
2016-10-23,6.42,2016-12-11,6.93,Sell,34 days,Fall by -18.220000%,-7.94
2016-11-06,6.34,2016-12-11,6.93,Sell,24 days,Fall by -17.190000%,-9.31
2018-06-24,7.8,2018-09-09,7.66,Sell,54 days,Fall by 3.210000%,1.79
2018-08-12,7.8,2018-09-09,7.66,Sell,19 days,Fall by 12.180000%,1.79
2018-08-26,7.55,2018-11-18,7.09,Sell,59 days,Fall by 9.270000%,6.09
2018-10-14,7.53,2018-11-18,7.09,Sell,24 days,Fall by -7.440000%,5.84
2018-10-28,7.13,2019-02-03,7.63,Sell,69 days,Fall by -13.460000%,-7.01
2018-11-25,6.85,2019-02-03,7.63,Sell,49 days,Fall by -18.100000%,-11.39
2019-03-17,7.95,2019-04-28,8.6,Buy,29 days,Rise by 9.690000%,8.18
2019-04-07,8.67,2020-01-26,8.69,Buy,209 days,Rise by -1.380000%,0.23
2019-12-22,8.63,2020-12-06,9.69,Buy,249 days,Rise by -15.990000%,12.28
2020-03-22,5.7,2020-04-19,6.93,Sell,19 days,Fall by -18.420000%,-21.58
2020-11-22,9.14,2020-12-20,9.9,Buy,19 days,Rise by 20.350000%,8.32
2021-01-31,11.0,2021-05-30,11.54,Buy,84 days,Rise by 17.450000%,4.91
2022-01-30,12.1,2022-06-05,10.7,Sell,89 days,Fall by 10.740000%,11.57
2022-02-27,12.05,2022-06-05,10.7,Sell,69 days,Fall by 10.370000%,11.2
2022-06-26,9.21,2022-07-24,10.14,Sell,19 days,Fall by -4.130000%,-10.1
2023-09-24,8.76,2024-09-15,9.7,Buy,254 days,Rise by -10.960000%,10.73
2024-03-03,8.49,2024-08-18,9.22,Buy,119 days,Rise by -10.950000%,8.6
2024-07-21,8.7,2024-09-15,9.7,Buy,39 days,Rise by 11.490000%,11.49
2024-07-28,8.99,2024-11-03,10.5,Buy,69 days,Rise by 7.900000%,16.8
2024-08-04,9.09,2024-11-03,10.5,Buy,64 days,Rise by 16.610000%,15.51
2025-08-24,12.1,2025-10-19,13.15,Buy,39 days,Rise by 21.650000%,8.68
