Entry Date,Entry Price,Exit Date,Exit Price,Signal,Holding Period,Actual Rise/Fall wrt Entry,Return
2012-01-22,38.67,2013-01-13,41.09,Buy,254 days,Rise by -14.660000%,6.26
2012-05-20,33.0,2012-10-07,35.37,Sell,99 days,Fall by -14.270000%,-7.18
2013-03-03,38.6,2013-04-14,36.0,Sell,29 days,Fall by 11.970000%,6.74
2013-06-23,32.74,2013-08-04,34.97,Sell,29 days,Fall by -11.270000%,-6.81
2013-09-15,38.2,2014-08-24,40.89,Buy,244 days,Rise by 5.100000%,7.04
2014-06-08,37.24,2014-08-10,40.49,Buy,44 days,Rise by 14.180000%,8.73
2014-08-03,40.72,2015-01-25,43.75,Buy,124 days,Rise by 3.090000%,7.44
2015-04-12,50.79,2016-10-09,38.49,Buy,389 days,Rise by -15.810000%,-24.22
2015-07-19,42.84,2015-08-23,36.56,Sell,24 days,Fall by 21.620000%,14.66
2016-01-17,29.8,2016-03-06,32.99,Sell,34 days,Fall by -4.830000%,-10.7
2016-03-13,32.86,2016-07-31,35.43,Buy,99 days,Rise by 17.130000%,7.82
2016-07-10,34.18,2016-08-07,35.94,Buy,19 days,Rise by 12.610000%,5.15
2016-07-24,35.66,2016-09-04,38.08,Buy,29 days,Rise by 7.940000%,6.79
2016-12-25,33.97,2017-01-29,36.82,Sell,24 days,Fall by -11.190000%,-8.39
2017-02-05,36.63,2017-03-05,37.87,Buy,19 days,Rise by 7.150000%,3.39
2017-03-12,37.65,2017-07-16,41.89,Sell,89 days,Fall by -0.320000%,-11.26
2017-07-23,42.04,2017-09-17,44.34,Buy,39 days,Rise by 14.030000%,5.47
2018-01-14,49.79,2019-05-05,44.91,Buy,339 days,Rise by -3.170000%,-9.8
2018-01-21,51.92,2019-05-05,44.91,Buy,334 days,Rise by -11.460000%,-13.5
2018-01-28,54.0,2019-05-05,44.91,Buy,329 days,Rise by -14.870000%,-16.83
2018-07-01,42.97,2018-11-04,41.08,Sell,89 days,Fall by 9.290000%,4.4
2019-02-03,42.74,2019-04-07,45.85,Buy,44 days,Rise by 7.280000%,7.28
2019-08-11,38.74,2019-09-15,41.9,Sell,24 days,Fall by -5.680000%,-8.16
2019-09-29,39.45,2019-12-22,43.08,Sell,59 days,Fall by -3.780000%,-9.2
2019-11-10,42.74,2020-01-19,45.11,Buy,49 days,Rise by 5.550000%,5.55
2021-05-09,46.05,2021-08-01,40.54,Sell,59 days,Fall by 11.970000%,11.97
2021-06-20,45.56,2021-08-01,40.54,Sell,29 days,Fall by 11.280000%,11.02
2021-12-05,37.47,2022-03-20,33.17,Sell,74 days,Fall by 12.010000%,11.48
2022-02-27,35.22,2022-03-20,33.17,Sell,14 days,Fall by 10.160000%,5.82
2023-01-15,32.09,2024-06-16,26.17,Buy,369 days,Rise by -14.710000%,-18.45
2023-05-07,28.67,2024-06-16,26.17,Buy,289 days,Rise by 4.920000%,-8.72
2023-06-11,27.82,2024-06-16,26.17,Buy,264 days,Rise by 8.120000%,-5.93
2023-09-03,28.04,2024-06-16,26.17,Buy,204 days,Rise by -10.730000%,-6.67
2023-11-05,26.35,2024-06-02,26.63,Buy,149 days,Rise by -12.520000%,1.06
2023-12-10,23.7,2024-01-28,22.6,Sell,34 days,Fall by 9.660000%,4.64
2024-05-05,27.33,2024-10-20,32.17,Buy,119 days,Rise by 30.660000%,17.71
2024-09-22,27.15,2024-10-20,32.17,Buy,19 days,Rise by 38.710000%,18.49
2024-10-06,35.71,2025-07-20,38.06,Buy,204 days,Rise by -16.860000%,6.58
2025-07-27,38.65,2025-10-05,41.42,Buy,49 days,Rise by 2.740000%,7.17
2025-08-17,38.34,2025-10-05,41.42,Buy,34 days,Rise by 3.570000%,8.03
