Entry Date,Entry Price,Exit Date,Exit Price,Signal,Holding Period,Actual Rise/Fall wrt Entry,Return
2006-05-31,1.87,2007-02-28,1.96,Buy,194 days,Rise by 5.070000%,4.94
2008-09-30,1.78,2009-02-28,1.43,Sell,108 days,Fall by 19.910000%,19.91
2010-01-31,1.6,2010-06-30,1.49,Sell,106 days,Fall by 3.430000%,6.51
2012-03-31,1.6,2013-05-31,1.52,Buy,303 days,Rise by 6.740000%,-4.57
2013-08-31,1.55,2014-01-31,1.65,Buy,108 days,Rise by 9.850000%,6.39
2013-12-31,1.65,2014-07-31,1.69,Buy,151 days,Rise by 3.270000%,2.52
2016-02-29,1.39,2016-09-30,1.3,Sell,153 days,Fall by 11.870000%,6.49
2016-07-31,1.32,2017-01-31,1.25,Sell,130 days,Fall by 0.340000%,5.03
2016-09-30,1.3,2017-01-31,1.25,Sell,86 days,Fall by 2.080000%,3.57
2019-02-28,1.33,2020-04-30,1.25,Buy,304 days,Rise by -1.540000%,-6.36
2020-12-31,1.36,2021-06-30,1.38,Buy,128 days,Rise by 4.030000%,1.56
2021-01-31,1.37,2023-11-30,1.27,Buy,737 days,Rise by -11.610000%,-7.5
2021-02-28,1.4,2023-11-30,1.27,Buy,717 days,Rise by -11.020000%,-9.37
2022-04-30,1.25,2022-10-31,1.16,Sell,129 days,Fall by 10.390000%,6.96
2023-09-30,1.22,2024-06-30,1.26,Sell,194 days,Fall by -2.910000%,-3.61
2024-04-30,1.26,2025-03-31,1.29,Sell,238 days,Fall by 1.080000%,-3.01
2024-08-31,1.32,2024-08-31,1.32,Buy,0 days,Rise by 4.210000%,0.0
2024-09-30,1.34,2024-09-30,1.34,Buy,0 days,Rise by 2.520000%,0.0
2024-11-30,1.27,2025-04-30,1.34,Sell,106 days,Fall by -3.600000%,-5.62
2024-12-31,1.25,2025-04-30,1.34,Sell,85 days,Fall by -4.820000%,-6.87
2025-01-31,1.24,2025-04-30,1.34,Sell,62 days,Fall by -5.880000%,-7.94
2025-03-31,1.29,2025-08-31,1.35,Buy,109 days,Rise by 1.670000%,4.43
