Entry Date,Entry Price,Exit Date,Exit Price,Signal,Holding Period,Actual Rise/Fall wrt Entry,Return,Signal Open Price
2020-07-20,170.94,2020-07-24,178.7,Buy,3 days,Rise by 13.430000%,4.54,
2020-07-23,177.18,2020-07-29,185.13,Buy,3 days,Rise by 9.430000%,4.49,
2020-09-03,181.14,2020-09-24,175.44,Sell,14 days,Fall by 3.510000%,3.15,
2020-09-22,178.65,2020-09-28,176.7,Sell,3 days,Fall by 2.100000%,1.09,
2020-10-21,180.6,2021-06-07,177.87,Buy,162 days,Rise by 1.430000%,-1.51,
2021-01-21,175.28,2021-05-27,177.71,Buy,89 days,Rise by -10.150000%,1.39,
2021-05-07,171.59,2021-05-19,175.16,Buy,7 days,Rise by 4.180000%,2.08,
2021-08-09,161.72,2021-08-23,168.73,Sell,9 days,Fall by 0.250000%,-4.33,
2021-08-27,170.19,2021-11-15,174.18,Buy,55 days,Rise by -0.740000%,2.34,
2021-09-08,167.29,2021-09-21,166.04,Sell,8 days,Fall by 3.570000%,0.75,
2021-09-14,168.82,2021-11-11,174.12,Buy,41 days,Rise by 0.070000%,3.14,
2021-09-16,164.03,2021-10-25,168.93,Sell,26 days,Fall by -1.060000%,-2.99,
2021-11-05,169.84,2021-11-11,174.12,Buy,3 days,Rise by 0.660000%,2.52,
2021-11-08,170.45,2021-11-15,174.18,Buy,4 days,Rise by 0.300000%,2.19,
2021-11-30,165.5,2022-01-25,172.58,Sell,39 days,Fall by -0.900000%,-4.28,
2021-12-16,168.16,2022-01-14,169.67,Buy,20 days,Rise by 1.670000%,0.9,
2022-02-14,174.74,2022-02-23,178.29,Buy,6 days,Rise by 9.600000%,2.03,
2022-02-18,177.12,2022-03-04,183.68,Buy,9 days,Rise by 8.120000%,3.7,
2022-05-10,171.42,2022-05-18,169.42,Sell,5 days,Fall by 1.660000%,1.17,
2022-07-06,162.14,2022-07-19,159.54,Sell,8 days,Fall by 2.530000%,1.6,
2022-08-31,159.27,2022-09-19,155.96,Sell,12 days,Fall by 5.050000%,2.08,
2022-10-04,160.7,2022-11-15,165.5,Buy,29 days,Rise by 2.990000%,2.99,
2022-10-27,154.74,2022-11-10,163.48,Buy,9 days,Rise by 6.950000%,5.65,
2023-09-27,174.1,2023-10-04,169.14,Sell,4 days,Fall by -3.110000%,2.85,
2023-12-11,183.59,2023-12-26,191.72,Sell,10 days,Fall by -1.230000%,-4.43,
2024-01-17,185.84,2024-03-01,192.89,Sell,31 days,Fall by 0.760000%,-3.79,
2024-03-04,196.01,2024-03-08,201.63,Buy,3 days,Rise by 12.860000%,2.87,
2024-07-05,220.93,2024-07-16,228.29,Buy,6 days,Rise by 5.640000%,3.33,
2024-09-13,238.68,2024-09-25,245.73,Buy,7 days,Rise by 7.890000%,2.95,
2025-04-10,292.35,2025-04-16,307.47,Buy,3 days,Rise by 7.910000%,5.17,
2025-06-12,312.2,2025-09-03,328.14,Buy,58 days,Rise by 1.250000%,5.11,
2025-09-29,352.46,2025-10-08,372.3,Buy,6 days,Rise by 14.380000%,5.63,
2025-10-06,364.38,2025-10-15,387.39,Buy,6 days,Rise by 10.640000%,6.31,
