Entry Date,Entry Price,Exit Date,Exit Price,Signal,Holding Period,Actual Rise/Fall wrt Entry,Return,Signal Open Price
2007-10-31,78.62,2008-04-30,86.65,Buy,129 days,Rise by 17.820000%,10.21,
2009-10-31,102.53,2010-06-30,121.68,Buy,171 days,Rise by 35.300000%,18.68,
2010-10-31,132.62,2011-06-30,146.0,Buy,172 days,Rise by 14.890000%,10.09,
2010-11-30,135.42,2011-07-31,158.29,Buy,173 days,Rise by 12.520000%,16.89,
2011-04-30,152.37,2011-11-30,170.13,Buy,151 days,Rise by 12.810000%,11.66,
2011-08-31,177.72,2013-02-28,153.0,Buy,390 days,Rise by -14.690000%,-13.91,
2012-06-30,155.19,2013-07-31,127.96,Sell,281 days,Fall by 13.710000%,17.55,
2012-09-30,171.89,2016-11-30,111.75,Buy,1086 days,Rise by -10.990000%,-34.99,
2013-01-31,161.2,2013-06-30,119.11,Sell,106 days,Fall by 26.110000%,26.11,
2013-02-28,153.0,2013-08-31,134.62,Sell,131 days,Fall by 16.370000%,12.01,
2014-08-31,123.86,2014-12-31,113.58,Sell,86 days,Fall by 15.280000%,8.3,
2014-10-31,112.66,2015-09-30,106.86,Sell,237 days,Fall by 6.860000%,5.15,
2014-11-30,112.11,2015-09-30,106.86,Sell,216 days,Fall by 6.400000%,4.68,
2016-02-29,118.64,2017-11-30,121.1,Buy,457 days,Rise by 8.720000%,2.07,
2017-08-31,125.82,2019-10-31,142.43,Buy,564 days,Rise by 1.450000%,13.2,
2018-08-31,113.51,2019-06-30,133.2,Sell,215 days,Fall by -46.830000%,-17.35,
2019-01-31,124.75,2019-10-31,142.43,Buy,194 days,Rise by 15.230000%,14.17,
2019-07-31,133.21,2019-12-31,142.9,Buy,108 days,Rise by 12.100000%,7.27,
2021-03-31,159.96,2021-05-31,178.38,Sell,42 days,Fall by -2.660000%,-11.52,
2022-03-31,180.65,2023-09-30,171.45,Buy,391 days,Rise by -11.840000%,-5.09,
2022-09-30,154.67,2022-12-31,169.64,Sell,65 days,Fall by -10.850000%,-9.68,
2024-04-30,211.87,2024-10-31,253.51,Buy,131 days,Rise by 19.650000%,19.65,
2024-05-31,215.3,2024-11-30,245.59,Buy,130 days,Rise by 17.750000%,14.07,
