Entry Date,Entry Price,Exit Date,Exit Price,Signal,Holding Period,Actual Rise/Fall wrt Entry,Return,Signal Open Price
2012-08-19,16.87,2012-10-07,19.12,Buy,34 days,Rise by 13.370000%,13.37,
2013-03-10,20.71,2013-06-02,21.7,Buy,59 days,Rise by 9.340000%,4.77,
2013-05-19,22.64,2013-11-17,25.74,Buy,129 days,Rise by 1.520000%,13.68,
2013-10-27,25.29,2013-12-15,26.42,Buy,34 days,Rise by 19.750000%,4.49,
2014-04-13,26.46,2014-06-29,28.78,Sell,54 days,Fall by 3.660000%,-8.79,
2014-10-19,25.49,2015-02-15,27.38,Sell,84 days,Fall by 2.930000%,-7.4,
2015-02-08,26.48,2015-07-19,33.65,Sell,114 days,Fall by 1.310000%,-27.08,
2015-04-05,26.7,2015-07-19,33.65,Sell,74 days,Fall by 2.000000%,-26.0,
2016-03-13,36.34,2016-04-17,37.95,Buy,24 days,Rise by 7.760000%,4.43,
2016-05-01,34.65,2016-07-31,38.44,Sell,64 days,Fall by 2.570000%,-10.93,
2016-06-19,34.59,2016-07-31,38.44,Sell,29 days,Fall by -8.500000%,-11.14,
2016-06-26,33.76,2016-07-31,38.44,Sell,24 days,Fall by -11.150000%,-13.86,
2016-07-31,38.44,2016-10-23,39.97,Buy,59 days,Rise by 3.980000%,3.98,
2016-11-06,38.1,2017-03-12,42.16,Sell,89 days,Fall by -19.250000%,-10.66,
2017-01-15,40.39,2017-03-12,42.16,Buy,39 days,Rise by 5.480000%,4.38,
2017-04-30,45.3,2017-06-04,48.78,Buy,24 days,Rise by 29.790000%,7.69,
2017-05-07,46.36,2017-10-29,50.96,Buy,124 days,Rise by 26.830000%,9.94,
2017-09-17,46.01,2017-10-29,50.96,Sell,29 days,Fall by -12.770000%,-10.76,
2018-10-14,55.5,2018-11-25,51.19,Sell,29 days,Fall by 11.760000%,7.77,
2018-10-28,53.57,2019-01-20,54.91,Sell,59 days,Fall by 8.580000%,-2.5,
2018-11-04,52.89,2019-01-20,54.91,Sell,54 days,Fall by 7.400000%,-3.83,
2019-10-27,63.26,2019-12-01,65.25,Buy,24 days,Rise by 20.200000%,3.15,
2019-12-08,67.03,2020-02-02,71.71,Buy,39 days,Rise by 13.440000%,6.98,
2020-05-10,69.42,2020-08-02,74.15,Buy,59 days,Rise by 11.050000%,6.81,
2021-01-10,90.36,2021-02-21,105.06,Buy,29 days,Rise by 60.220000%,16.26,
2021-04-18,114.89,2021-06-20,125.57,Buy,44 days,Rise by 26.010000%,9.3,
2021-05-02,120.51,2021-07-04,128.72,Buy,44 days,Rise by 20.140000%,6.82,
2021-06-06,122.59,2021-07-11,129.57,Buy,24 days,Rise by 18.100000%,5.7,
2022-01-09,137.0,2022-03-20,136.8,Sell,49 days,Fall by 12.690000%,0.15,
2022-04-24,119.61,2022-06-05,114.56,Sell,29 days,Fall by 9.820000%,4.22,
2022-05-01,114.97,2022-07-10,120.17,Sell,49 days,Fall by 6.180000%,-4.52,
2022-09-25,99.17,2022-11-13,96.73,Sell,34 days,Fall by 10.530000%,2.46,
2023-02-05,105.22,2023-06-04,125.23,Buy,84 days,Rise by 19.210000%,19.02,
2023-03-26,106.06,2023-06-11,122.87,Buy,54 days,Rise by 18.260000%,15.85,
2025-03-23,166.25,2025-04-27,163.85,Sell,24 days,Fall by -69.520000%,1.44,
2025-04-06,147.74,2025-04-27,163.85,Sell,14 days,Fall by -90.750000%,-10.9,
2025-09-14,241.38,2025-09-14,241.38,Buy,0 days,Rise by 16.750000%,0.0,
