Entry Date,Entry Price,Exit Date,Exit Price,Signal,Holding Period,Actual Rise/Fall wrt Entry,Return,Signal Open Price
2003-06-30,83.75,2004-01-31,99.55,Buy,154 days,Rise by 26.410000%,18.87,
2004-01-31,99.55,2005-03-31,109.99,Buy,302 days,Rise by -11.410000%,10.49,
2005-10-31,126.37,2006-05-31,150.95,Buy,151 days,Rise by 26.840000%,19.45,
2008-03-31,165.39,2009-01-31,80.73,Sell,219 days,Fall by 22.610000%,51.19,
2008-06-30,174.9,2008-12-31,84.39,Sell,131 days,Fall by 54.840000%,51.75,
2008-09-30,128.0,2009-02-28,91.08,Sell,108 days,Fall by 28.840000%,28.84,
2008-10-31,92.5,2009-03-31,106.02,Sell,106 days,Fall by -60.780000%,-14.62,
2010-05-31,144.26,2010-10-31,161.13,Sell,109 days,Fall by 19.440000%,-11.69,
2011-04-30,151.01,2011-09-30,94.55,Sell,108 days,Fall by 37.390000%,37.39,
2013-01-31,147.86,2013-09-30,158.21,Buy,171 days,Rise by 10.940000%,7.0,
2013-02-28,149.76,2013-11-30,168.94,Buy,196 days,Rise by 9.530000%,12.81,
2013-10-31,160.86,2014-10-31,189.99,Buy,260 days,Rise by 20.500000%,18.11,
2014-10-31,189.99,2017-03-31,229.72,Buy,629 days,Rise by 9.900000%,20.91,
2016-01-31,161.56,2016-08-31,169.46,Sell,151 days,Fall by 8.030000%,-4.89,
2016-02-29,149.53,2016-10-31,178.24,Sell,174 days,Fall by -41.280000%,-19.2,
2018-12-31,167.05,2019-01-31,198.01,Sell,22 days,Fall by 7.460000%,-18.53,
2019-07-31,220.13,2021-03-31,327.0,Buy,434 days,Rise by 8.000000%,48.55,
2019-10-31,213.38,2021-03-31,327.0,Buy,368 days,Rise by -27.550000%,53.25,
2020-03-31,154.59,2020-04-30,183.42,Sell,21 days,Fall by -22.280000%,-18.65,
2021-01-31,271.17,2021-05-31,372.02,Buy,84 days,Rise by 52.490000%,37.19,
2023-06-30,322.54,2023-12-31,385.77,Sell,130 days,Fall by -144.740000%,-19.6,
2023-10-31,303.61,2023-12-31,385.77,Sell,43 days,Fall by -159.990000%,-27.06,
2024-01-31,384.01,2024-07-31,509.03,Buy,129 days,Rise by 66.770000%,32.56,
2024-02-29,389.05,2024-08-31,510.25,Buy,131 days,Rise by 64.610000%,31.15,
2025-08-31,745.25,2025-08-31,745.25,Buy,0 days,Rise by 5.920000%,0.0,
