Entry Date,Entry Price,Exit Date,Exit Price,Signal,Holding Period,Actual Rise/Fall wrt Entry,Return
2012-01-29,7.82,2012-03-04,8.56,Buy,24 days,Rise by 10.800000%,9.43
2012-08-05,9.0,2012-10-21,9.22,Buy,54 days,Rise by 7.690000%,2.5
2013-01-20,9.9,2013-04-14,9.62,Sell,59 days,Fall by 8.610000%,2.78
2013-04-28,10.54,2014-06-08,11.83,Buy,289 days,Rise by -10.230000%,12.29
2013-06-23,8.86,2013-08-25,7.52,Sell,44 days,Fall by 11.310000%,15.12
2013-08-11,7.86,2013-09-15,7.98,Sell,24 days,Fall by -4.710000%,-1.49
2013-08-18,7.65,2013-09-15,7.98,Sell,19 days,Fall by -7.650000%,-4.35
2013-11-03,8.99,2014-04-06,10.11,Buy,109 days,Rise by -10.130000%,12.46
2014-01-26,8.08,2014-03-09,9.33,Sell,29 days,Fall by -43.520000%,-15.54
2014-03-09,9.33,2014-04-13,10.28,Buy,24 days,Rise by 33.060000%,10.13
2014-03-16,9.5,2014-04-20,10.19,Buy,24 days,Rise by 30.710000%,7.29
2014-03-23,9.62,2014-04-20,10.19,Buy,19 days,Rise by 29.080000%,5.95
2014-05-18,11.54,2014-09-07,12.77,Buy,79 days,Rise by 7.560000%,10.59
2014-08-10,11.59,2014-09-07,12.77,Sell,19 days,Fall by 0.840000%,-10.14
2015-01-25,15.28,2015-11-08,14.81,Buy,204 days,Rise by 4.530000%,-3.06
2015-05-03,14.16,2015-06-28,15.31,Sell,39 days,Fall by 0.670000%,-8.1
2015-11-15,14.26,2015-12-27,15.12,Sell,29 days,Fall by 7.820000%,-6.05
2016-01-17,14.06,2016-01-31,15.08,Sell,9 days,Fall by -7.890000%,-7.27
2016-01-24,13.71,2016-01-31,15.08,Sell,4 days,Fall by -10.630000%,-9.99
2016-02-14,13.81,2016-03-06,14.29,Sell,14 days,Fall by -26.000000%,-3.48
2016-02-21,13.68,2016-03-06,14.29,Sell,9 days,Fall by -10.930000%,-4.48
2016-07-24,17.36,2016-09-11,18.1,Buy,34 days,Rise by -12.420000%,4.29
2016-11-06,17.3,2016-12-18,15.2,Sell,29 days,Fall by 11.920000%,12.15
2017-12-10,23.9,2018-01-21,26.83,Sell,29 days,Fall by -0.430000%,-12.26
2018-09-16,24.25,2018-10-14,22.37,Sell,19 days,Fall by -2.110000%,7.75
2018-09-23,23.42,2018-11-04,22.81,Sell,29 days,Fall by -5.730000%,2.6
2019-06-02,31.04,2019-06-30,32.51,Buy,19 days,Rise by -11.000000%,4.74
2019-09-01,26.95,2019-09-22,28.04,Sell,14 days,Fall by 11.560000%,-4.06
2019-11-03,30.78,2020-01-05,31.0,Buy,44 days,Rise by 4.600000%,0.71
2020-03-08,25.7,2020-03-29,19.66,Sell,14 days,Fall by 22.280000%,23.52
2020-03-15,23.84,2020-03-29,19.66,Sell,9 days,Fall by 11.680000%,17.54
2020-03-22,17.89,2020-03-29,19.66,Sell,4 days,Fall by -129.960000%,-9.87
2020-10-25,30.18,2020-12-06,33.75,Buy,29 days,Rise by 37.570000%,11.83
2021-07-11,36.76,2021-08-15,38.3,Sell,24 days,Fall by 11.140000%,-4.16
2021-08-22,38.37,2023-01-01,34.2,Buy,354 days,Rise by 1.040000%,-10.85
2022-04-24,27.54,2022-05-29,29.47,Sell,24 days,Fall by -4.280000%,-6.99
2022-11-20,33.94,2025-01-12,29.32,Buy,559 days,Rise by 3.830000%,-13.64
2023-04-23,35.44,2025-01-12,29.32,Buy,449 days,Rise by -0.620000%,-17.29
2023-06-18,33.22,2025-01-12,29.32,Buy,409 days,Rise by -11.410000%,-11.77
2023-08-27,31.36,2023-10-22,28.64,Sell,39 days,Fall by 10.200000%,8.7
2023-12-10,32.27,2024-01-14,32.79,Buy,24 days,Rise by -12.290000%,1.61
2024-01-28,28.3,2024-04-07,29.49,Sell,49 days,Fall by -3.570000%,-4.19
2024-06-30,32.16,2025-05-11,35.24,Buy,224 days,Rise by 2.180000%,9.56
2024-09-22,32.86,2025-05-11,35.24,Buy,164 days,Rise by 2.400000%,7.23
2024-12-08,33.66,2025-05-18,36.51,Buy,114 days,Rise by -13.340000%,8.48
2025-03-30,33.06,2025-05-11,35.24,Buy,29 days,Rise by 17.160000%,6.58
2025-04-20,36.02,2025-06-15,36.97,Buy,39 days,Rise by 7.550000%,2.62
