Entry Date,Entry Price,Exit Date,Exit Price,Signal,Holding Period,Actual Rise/Fall wrt Entry,Return
2020-09-23,4.89,2020-10-05,5.08,Sell,7 days,Fall by -7.360000%,-3.89
2020-10-09,5.22,2020-10-20,5.41,Buy,6 days,Rise by 7.380000%,3.74
2021-03-04,7.24,2021-03-15,7.46,Sell,6 days,Fall by 5.110000%,-3.04
2021-08-10,7.48,2021-08-19,7.49,Sell,6 days,Fall by -9.890000%,-0.13
2021-09-13,7.78,2021-09-17,8.05,Buy,3 days,Rise by 8.040000%,3.54
2021-09-14,7.85,2021-09-22,8.03,Buy,5 days,Rise by 7.010000%,2.29
2022-01-11,8.08,2022-01-27,7.7,Sell,11 days,Fall by 6.250000%,4.7
2022-01-24,7.67,2022-02-09,7.99,Sell,11 days,Fall by -1.690000%,-4.17
2022-04-08,8.38,2022-08-04,9.02,Buy,83 days,Rise by 0.240000%,7.58
2022-04-28,8.35,2022-08-04,9.02,Buy,69 days,Rise by -1.800000%,7.96
2022-05-09,8.15,2022-05-17,7.8,Sell,5 days,Fall by 5.030000%,4.36
2022-07-18,8.09,2022-08-02,8.75,Buy,10 days,Rise by 12.480000%,8.16
2022-11-17,8.65,2022-12-07,8.77,Buy,13 days,Rise by 4.050000%,1.39
2023-02-16,8.8,2023-02-24,8.74,Sell,5 days,Fall by -9.320000%,0.68
2023-02-21,8.65,2023-03-17,8.93,Sell,17 days,Fall by -11.210000%,-3.24
2023-03-17,8.93,2023-04-03,9.05,Buy,10 days,Rise by 5.490000%,1.34
2023-03-24,8.87,2023-04-03,9.05,Buy,5 days,Rise by 6.200000%,2.03
2023-05-26,10.0,2023-07-06,10.19,Buy,28 days,Rise by 4.400000%,1.9
2023-06-06,10.1,2023-07-06,10.19,Buy,21 days,Rise by 3.370000%,0.89
2023-06-19,9.63,2023-06-30,10.15,Sell,8 days,Fall by -0.930000%,-5.4
2023-08-22,9.98,2023-09-07,10.35,Buy,11 days,Rise by 4.660000%,3.76
2023-08-24,10.03,2023-09-11,10.3,Buy,11 days,Rise by 4.090000%,2.69
2023-08-30,10.0,2023-09-08,10.44,Sell,6 days,Fall by -1.000000%,-4.4
2023-09-20,10.1,2023-10-31,9.82,Sell,28 days,Fall by 2.770000%,2.77
2023-10-10,10.15,2023-11-08,10.28,Buy,20 days,Rise by 4.430000%,1.23
2023-10-25,9.9,2023-11-03,10.3,Sell,6 days,Fall by 1.520000%,-4.04
2023-11-17,10.0,2023-12-01,9.8,Sell,9 days,Fall by -1.300000%,2.05
2023-12-12,9.89,2024-01-23,10.45,Sell,29 days,Fall by -2.430000%,-5.66
2023-12-18,9.97,2024-01-23,10.45,Sell,25 days,Fall by -1.600000%,-4.81
2024-02-21,10.13,2024-03-07,10.58,Sell,10 days,Fall by -2.070000%,-4.44
2024-03-20,10.61,2024-04-02,10.95,Buy,8 days,Rise by 4.710000%,3.2
2024-03-25,10.82,2024-05-02,10.98,Buy,27 days,Rise by 2.630000%,1.43
2024-05-06,10.7,2024-05-16,10.81,Sell,7 days,Fall by 1.780000%,-1.03
2024-06-06,11.4,2024-09-11,12.19,Buy,68 days,Rise by 8.770000%,6.93
2024-07-16,10.72,2024-08-16,10.87,Sell,22 days,Fall by 3.220000%,-1.35
2024-08-01,10.7,2024-08-16,10.87,Sell,10 days,Fall by -11.680000%,-1.59
2024-08-16,10.87,2024-09-05,11.9,Buy,13 days,Rise by 14.080000%,9.43
2024-09-02,11.2,2024-09-10,12.05,Buy,5 days,Rise by 10.710000%,7.59
2024-09-04,11.27,2024-09-10,12.05,Buy,3 days,Rise by 10.030000%,6.92
2024-10-24,13.02,2025-05-13,11.6,Buy,142 days,Rise by -0.540000%,-10.91
2024-12-10,12.05,2024-12-20,12.7,Sell,7 days,Fall by 2.990000%,-5.39
2025-01-06,12.24,2025-01-13,11.69,Sell,4 days,Fall by 10.540000%,4.49
2025-01-29,11.03,2025-02-26,10.5,Sell,19 days,Fall by 8.430000%,4.81
2025-02-05,10.91,2025-02-27,10.88,Sell,15 days,Fall by 7.420000%,0.27
2025-03-26,10.8,2025-04-02,10.25,Sell,4 days,Fall by 12.500000%,5.09
2025-03-31,10.38,2025-04-09,9.45,Sell,6 days,Fall by 2.500000%,8.96
2025-07-07,11.08,2025-07-21,11.47,Buy,9 days,Rise by 8.750000%,3.52
2025-07-30,12.0,2025-09-12,12.48,Buy,31 days,Rise by 1.710000%,4.0
2025-08-06,12.05,2025-09-12,12.48,Buy,26 days,Rise by 4.560000%,3.57
2025-08-29,11.36,2025-09-02,11.89,Sell,1 days,Fall by -6.510000%,-4.67
2025-10-09,12.39,2025-10-15,11.91,Sell,3 days,Fall by 0.240000%,3.87
