Entry Date,Entry Price,Exit Date,Exit Price,Signal,Holding Period,Actual Rise/Fall wrt Entry,Return,Signal Open Price
2020-07-13,44.66,2020-07-15,46.8,Sell,1 days,Fall by -7.910000%,-4.79,
2020-10-20,51.69,2020-11-02,50.17,Sell,8 days,Fall by 0.700000%,2.94,
2020-10-29,49.92,2020-11-04,52.01,Sell,3 days,Fall by -2.810000%,-4.17,
2020-11-02,50.17,2020-11-04,52.01,Sell,1 days,Fall by -2.310000%,-3.67,
2020-11-24,51.6,2020-12-04,53.06,Sell,7 days,Fall by -5.420000%,-2.84,
2021-02-26,54.9,2021-03-09,53.77,Sell,6 days,Fall by 2.370000%,2.06,
2021-03-04,53.06,2021-03-15,54.68,Sell,6 days,Fall by -1.020000%,-3.06,
2021-03-29,54.98,2021-04-08,56.16,Buy,7 days,Rise by 9.810000%,2.15,
2021-05-04,58.15,2021-05-13,56.12,Sell,6 days,Fall by 4.080000%,3.49,
2021-05-20,57.2,2021-06-16,57.85,Buy,18 days,Rise by 8.250000%,1.14,
2021-06-02,55.78,2021-06-10,57.6,Sell,5 days,Fall by -8.300000%,-3.27,
2021-08-17,64.69,2021-09-02,66.68,Buy,11 days,Rise by 3.800000%,3.08,
2021-09-02,66.68,2022-01-05,63.35,Buy,88 days,Rise by -1.270000%,-4.99,
2021-09-08,67.15,2022-01-05,63.35,Buy,84 days,Rise by -1.970000%,-5.66,
2021-09-15,65.93,2022-01-05,63.35,Buy,79 days,Rise by -0.150000%,-3.91,
2021-09-27,64.71,2021-10-01,63.02,Sell,3 days,Fall by 4.840000%,2.61,
2021-11-29,63.26,2021-12-06,62.52,Sell,4 days,Fall by 10.840000%,1.17,
2021-11-30,61.78,2021-12-07,63.81,Sell,4 days,Fall by 8.710000%,-3.29,
2021-12-23,65.53,2021-12-31,65.85,Buy,5 days,Rise by -11.670000%,0.49,
2022-01-05,63.35,2022-01-19,60.28,Sell,9 days,Fall by 10.970000%,4.85,
2022-01-07,62.18,2022-01-20,59.84,Sell,8 days,Fall by 9.300000%,3.76,
2022-03-17,59.77,2022-04-01,61.74,Buy,10 days,Rise by 4.070000%,3.3,
2022-04-18,58.79,2022-04-20,61.86,Sell,1 days,Fall by 13.130000%,-5.22,
2022-04-20,61.86,2022-08-19,53.95,Buy,86 days,Rise by -11.480000%,-12.79,
2022-07-20,51.52,2022-07-26,52.7,Buy,3 days,Rise by 7.840000%,2.29,
2022-08-30,50.61,2022-09-08,52.65,Sell,6 days,Fall by 6.990000%,-4.03,
2022-09-08,52.65,2022-12-14,53.95,Buy,68 days,Rise by -10.600000%,2.47,
2022-09-14,52.39,2022-09-21,49.08,Sell,4 days,Fall by 9.730000%,6.32,
2022-10-24,48.65,2022-10-28,50.0,Buy,3 days,Rise by 6.660000%,2.77,
2022-10-26,49.91,2022-11-15,51.86,Buy,13 days,Rise by 3.970000%,3.91,
2022-11-03,48.23,2022-11-10,51.2,Sell,4 days,Fall by -6.570000%,-6.16,
2023-05-25,53.08,2023-06-14,54.85,Sell,13 days,Fall by -3.650000%,-3.33,
2023-06-07,53.4,2023-06-14,54.85,Sell,4 days,Fall by -3.030000%,-2.72,
2023-08-17,51.84,2023-08-29,52.78,Sell,7 days,Fall by 10.510000%,-1.81,
2023-09-01,52.59,2023-09-08,50.64,Sell,4 days,Fall by 11.790000%,3.71,
2023-09-22,48.79,2023-10-05,47.63,Sell,8 days,Fall by 8.120000%,2.38,
2023-10-12,44.83,2023-10-17,46.17,Sell,2 days,Fall by 0.830000%,-2.99,
2023-11-14,47.67,2023-11-20,49.28,Buy,3 days,Rise by 20.410000%,3.38,
2024-04-02,56.95,2024-04-17,54.78,Sell,10 days,Fall by 4.550000%,3.81,
2024-05-16,56.75,2024-08-21,57.64,Buy,68 days,Rise by -0.210000%,1.57,
2024-07-09,55.18,2024-07-22,56.91,Sell,8 days,Fall by 1.450000%,-3.14,
2024-09-25,58.51,2024-10-08,58.23,Sell,8 days,Fall by 0.650000%,0.48,
2024-12-12,60.06,2024-12-18,57.92,Sell,3 days,Fall by -6.240000%,3.56,
2024-12-16,59.42,2024-12-24,59.3,Sell,5 days,Fall by -7.390000%,0.2,
2025-01-22,63.25,2025-01-30,64.55,Buy,5 days,Rise by 2.910000%,2.06,
2025-04-04,55.0,2025-04-09,58.14,Sell,2 days,Fall by -10.380000%,-5.71,
2025-06-09,61.29,2025-06-23,60.62,Sell,9 days,Fall by 2.220000%,1.09,
2025-08-13,61.79,2025-08-25,62.02,Buy,7 days,Rise by -1.880000%,0.37,
2025-09-08,62.53,2025-09-08,62.53,Buy,0 days,Rise by -3.040000%,0.0,
