Entry Date,Entry Price,Exit Date,Exit Price,Signal,Holding Period,Actual Rise/Fall wrt Entry,Return,Signal Open Price
2020-07-21,33.9,2020-08-13,34.11,Buy,16 days,Rise by 6.550000%,0.62,
2020-10-30,35.11,2020-11-03,35.77,Sell,1 days,Fall by -14.810000%,-1.88,
2020-12-02,39.88,2020-12-09,40.62,Buy,4 days,Rise by 11.610000%,1.86,
2021-01-13,44.03,2021-02-05,45.44,Buy,16 days,Rise by 5.180000%,3.2,
2021-04-28,44.25,2021-05-19,45.34,Buy,14 days,Rise by 7.730000%,2.46,
2021-06-02,47.38,2021-08-06,48.02,Buy,46 days,Rise by -0.890000%,1.35,
2021-07-19,45.98,2021-07-23,46.83,Sell,3 days,Fall by -12.400000%,-1.85,
2021-08-04,48.1,2021-08-16,49.27,Buy,7 days,Rise by 9.920000%,2.43,
2021-11-22,50.86,2021-12-01,49.62,Sell,6 days,Fall by 10.340000%,2.44,
2021-12-14,46.4,2021-12-20,45.16,Sell,3 days,Fall by 0.370000%,2.67,
2022-03-04,42.95,2022-03-08,42.23,Sell,1 days,Fall by 3.190000%,1.68,
2022-07-22,42.58,2022-08-02,44.69,Buy,6 days,Rise by 6.650000%,4.96,
2022-07-28,43.61,2022-08-03,44.75,Buy,3 days,Rise by 4.130000%,2.61,
2022-09-06,44.2,2022-09-07,44.93,Sell,0 days,Fall by 5.660000%,-1.65,
2022-09-08,45.07,2022-11-15,45.49,Buy,47 days,Rise by 1.820000%,0.93,
2022-11-11,45.89,2023-05-05,42.82,Buy,124 days,Rise by 1.150000%,-6.69,
2023-02-22,41.24,2023-03-03,42.13,Sell,6 days,Fall by 3.640000%,-2.16,
2023-03-10,40.95,2023-03-16,40.27,Sell,3 days,Fall by -3.300000%,1.66,
2023-06-30,45.04,2023-07-14,45.5,Buy,9 days,Rise by 2.710000%,1.02,
2023-08-03,44.96,2023-08-23,45.47,Sell,13 days,Fall by 0.620000%,-1.13,
2023-08-11,45.11,2023-08-17,44.68,Sell,3 days,Fall by 0.440000%,0.95,
2024-02-29,50.04,2024-03-01,50.97,Sell,0 days,Fall by 0.980000%,-1.86,
2024-03-14,50.03,2024-03-22,49.76,Sell,5 days,Fall by 1.180000%,0.54,
2024-10-22,53.83,2024-10-29,53.68,Sell,4 days,Fall by 4.550000%,0.28,
2024-11-13,51.74,2024-11-22,52.62,Sell,6 days,Fall by 4.210000%,-1.7,
2025-04-21,52.35,2025-05-01,52.89,Buy,7 days,Rise by 3.150000%,1.03,
2025-09-25,51.28,2025-10-13,51.78,Sell,11 days,Fall by -3.320000%,-0.98,
