Entry Date,Entry Price,Exit Date,Exit Price,Signal,Holding Period,Actual Rise/Fall wrt Entry,Return,Signal Open Price
2012-01-22,78.25,2012-02-26,82.64,Buy,24 days,Rise by 6.070000%,5.61,
2012-04-15,79.54,2012-06-10,76.97,Sell,39 days,Fall by 7.190000%,3.23,
2013-07-21,104.31,2013-11-10,109.23,Buy,79 days,Rise by 11.140000%,4.72,
2013-09-22,106.59,2013-11-10,109.23,Buy,34 days,Rise by 8.760000%,2.48,
2013-12-01,113.51,2014-03-16,117.54,Buy,74 days,Rise by 2.130000%,3.55,
2013-12-29,115.16,2014-03-23,118.61,Buy,59 days,Rise by 3.940000%,3.0,
2014-05-18,109.57,2014-06-22,118.25,Sell,24 days,Fall by -1.010000%,-7.92,
2014-09-14,115.37,2014-10-19,107.48,Sell,24 days,Fall by -5.720000%,6.84,
2014-09-21,113.97,2014-10-19,107.48,Sell,19 days,Fall by -7.020000%,5.69,
2014-10-12,104.74,2014-11-02,116.56,Sell,14 days,Fall by -16.450000%,-11.29,
2015-02-15,121.53,2015-04-12,125.62,Buy,39 days,Rise by 5.210000%,3.37,
2015-10-04,110.63,2015-11-08,119.22,Sell,24 days,Fall by 11.380000%,-7.76,
2015-12-13,111.91,2016-01-31,102.96,Sell,34 days,Fall by 12.390000%,8.0,
2016-01-10,103.85,2016-02-14,96.59,Sell,24 days,Fall by -11.450000%,6.99,
2016-01-17,100.12,2016-03-06,107.72,Sell,34 days,Fall by -15.600000%,-7.59,
2016-05-08,110.91,2016-07-17,119.7,Sell,49 days,Fall by -4.350000%,-7.93,
2016-11-20,130.99,2017-01-01,134.85,Buy,29 days,Rise by 6.200000%,2.95,
2017-02-05,136.87,2017-07-02,140.92,Buy,104 days,Rise by 1.600000%,2.96,
2017-08-06,140.21,2017-10-01,148.18,Sell,39 days,Fall by -4.680000%,-5.68,
2017-08-13,136.47,2017-10-01,148.18,Sell,34 days,Fall by -7.550000%,-8.58,
2017-10-08,150.05,2018-01-14,158.16,Buy,69 days,Rise by 6.360000%,5.4,
2017-11-05,148.61,2018-01-14,158.16,Sell,49 days,Fall by 1.240000%,-6.43,
2017-11-12,146.57,2018-01-14,158.16,Sell,44 days,Fall by -0.140000%,-7.91,
2017-12-03,153.02,2018-02-04,153.83,Buy,44 days,Rise by 4.300000%,0.53,
2018-04-01,151.83,2018-06-03,163.84,Sell,44 days,Fall by 2.870000%,-7.91,
2018-10-14,153.6,2019-01-06,137.19,Sell,59 days,Fall by 16.430000%,10.68,
2018-12-16,140.61,2019-01-13,143.68,Sell,19 days,Fall by -3.730000%,-2.18,
2019-05-05,160.53,2020-01-05,165.13,Buy,174 days,Rise by -2.070000%,2.87,
2019-05-19,152.84,2019-07-28,157.2,Sell,49 days,Fall by 4.850000%,-2.85,
2020-03-08,144.4,2020-03-29,112.56,Sell,14 days,Fall by 15.230000%,22.05,
2020-03-22,101.4,2020-03-29,112.56,Sell,4 days,Fall by -44.390000%,-11.01,
2021-07-18,214.95,2021-11-07,241.81,Sell,79 days,Fall by 0.110000%,-12.5,
2021-08-22,215.52,2021-11-07,241.81,Sell,54 days,Fall by 0.380000%,-12.2,
2021-09-19,222.48,2021-11-07,241.81,Sell,34 days,Fall by 3.490000%,-8.69,
2021-11-07,241.81,2024-01-28,195.98,Buy,579 days,Rise by -10.640000%,-18.95,
2021-11-28,222.85,2022-02-06,198.38,Sell,49 days,Fall by 11.600000%,10.98,
2022-08-14,200.36,2024-01-28,195.98,Buy,379 days,Rise by -17.690000%,-2.19,
2023-01-15,187.05,2023-08-13,190.99,Buy,149 days,Rise by 5.010000%,2.11,
2023-02-05,196.99,2024-01-28,195.98,Buy,254 days,Rise by -12.790000%,-0.51,
2023-03-19,171.23,2023-06-11,185.03,Sell,59 days,Fall by 5.270000%,-8.06,
2023-06-11,185.03,2023-08-13,190.99,Buy,44 days,Rise by 6.160000%,3.22,
2023-07-23,194.46,2024-03-17,202.41,Buy,169 days,Rise by -11.040000%,4.09,
2023-11-26,179.33,2023-12-31,200.71,Buy,24 days,Rise by 17.270000%,11.92,
2023-12-24,201.48,2024-06-02,205.77,Buy,114 days,Rise by 4.380000%,2.13,
2024-04-14,198.69,2024-07-14,213.14,Sell,64 days,Fall by -9.130000%,-7.27,
2025-03-02,214.65,2025-04-06,181.19,Sell,24 days,Fall by 13.120000%,15.59,
2025-03-09,205.95,2025-04-27,194.12,Sell,34 days,Fall by -19.560000%,5.74,
