Entry Date,Entry Price,Exit Date,Exit Price,Signal,Holding Period,Actual Rise/Fall wrt Entry,Return
2012-02-05,118.47,2012-08-26,119.97,Buy,144 days,Rise by 0.300000%,1.27
2012-02-19,118.35,2012-06-10,115.08,Sell,79 days,Fall by 1.220000%,2.76
2012-07-22,118.83,2012-09-16,122.31,Buy,39 days,Rise by 2.930000%,2.93
2012-09-16,122.31,2013-05-05,125.22,Buy,164 days,Rise by 1.450000%,2.38
2013-05-05,125.22,2014-03-30,123.81,Buy,234 days,Rise by -2.470000%,-1.13
2013-06-02,121.74,2013-07-07,116.97,Sell,24 days,Fall by 2.980000%,3.92
2013-10-20,121.62,2014-02-02,122.37,Buy,74 days,Rise by 2.440000%,0.62
2014-07-13,124.17,2014-08-17,123.54,Sell,24 days,Fall by 4.610000%,0.51
2014-09-14,121.83,2014-10-26,121.32,Sell,29 days,Fall by 7.340000%,0.42
2014-12-07,117.39,2014-12-21,116.67,Sell,9 days,Fall by 6.160000%,0.61
2015-04-26,118.74,2016-10-02,110.16,Buy,374 days,Rise by -10.740000%,-7.23
2015-12-20,100.77,2016-02-14,96.0,Sell,39 days,Fall by 4.730000%,4.73
2016-05-01,105.9,2016-08-07,108.12,Buy,69 days,Rise by 4.360000%,2.1
2016-11-06,107.46,2016-11-27,108.27,Sell,14 days,Fall by -1.420000%,-0.75
2017-06-11,111.39,2017-12-03,110.25,Sell,124 days,Fall by 0.970000%,1.02
2017-06-18,111.21,2017-12-03,110.25,Sell,119 days,Fall by 0.810000%,0.86
2017-08-20,110.43,2018-02-18,108.96,Sell,129 days,Fall by 0.350000%,1.33
2017-11-05,111.0,2017-12-31,110.16,Sell,39 days,Fall by 1.000000%,0.76
2017-11-12,110.04,2018-02-18,108.96,Sell,69 days,Fall by 2.730000%,0.98
2018-02-11,107.04,2018-02-18,108.96,Sell,4 days,Fall by 0.560000%,-1.79
2018-08-05,107.61,2019-05-05,108.27,Buy,194 days,Rise by 0.500000%,0.61
2019-03-31,107.91,2019-07-21,108.11,Buy,79 days,Rise by 1.190000%,0.19
2019-10-06,107.69,2019-12-29,109.55,Sell,59 days,Fall by 20.010000%,-1.73
2019-11-10,108.2,2020-01-05,109.9,Sell,39 days,Fall by 20.390000%,-1.57
2020-03-08,105.64,2020-03-29,94.38,Sell,14 days,Fall by 2.420000%,10.66
2021-02-28,108.16,2021-06-13,109.49,Sell,74 days,Fall by -0.740000%,-1.23
2021-03-14,108.01,2021-06-13,109.49,Sell,64 days,Fall by -0.880000%,-1.37
2021-04-04,108.64,2021-07-04,109.96,Buy,64 days,Rise by 1.220000%,1.22
2021-10-10,108.45,2021-12-26,108.78,Sell,54 days,Fall by 1.650000%,-0.3
2022-02-13,103.13,2022-03-20,102.7,Sell,24 days,Fall by 11.140000%,0.42
2023-06-11,91.6,2023-12-24,94.81,Buy,139 days,Rise by 0.940000%,3.5
2023-08-20,90.84,2023-10-29,88.61,Sell,49 days,Fall by 3.020000%,2.45
2023-10-08,89.04,2023-11-05,91.24,Sell,19 days,Fall by -4.450000%,-2.47
2023-12-10,92.81,2024-01-14,95.12,Buy,24 days,Rise by 2.580000%,2.49
2023-12-24,94.81,2024-09-08,96.49,Buy,184 days,Rise by 0.410000%,1.77
2024-08-18,96.18,2024-10-06,96.95,Buy,34 days,Rise by 1.230000%,0.8
2024-12-29,95.42,2025-03-02,97.12,Sell,44 days,Fall by 3.180000%,-1.78
2025-04-06,92.45,2025-04-27,95.02,Sell,14 days,Fall by -5.340000%,-2.78
2025-06-22,96.23,2025-08-31,97.51,Buy,49 days,Rise by 1.930000%,1.33
2025-09-21,98.09,2025-09-21,98.09,Buy,0 days,Rise by -0.710000%,0.0
2025-10-26,97.74,2025-10-26,97.74,Buy,0 days,Rise by -0.360000%,0.0
