Entry Date,Entry Price,Exit Date,Exit Price,Signal,Holding Period,Actual Rise/Fall wrt Entry,Return,Signal Open Price
1990-12-31,3.58,1991-03-31,5.79,Sell,64 days,Fall by -280.240000%,-61.63,
1992-06-30,12.38,1994-12-31,11.96,Buy,653 days,Rise by 21.210000%,-3.37,
2002-06-30,33.92,2002-12-31,24.0,Sell,130 days,Fall by 30.100000%,29.25,
2006-03-31,41.64,2007-09-30,45.82,Buy,390 days,Rise by 16.350000%,10.04,
2008-03-31,42.95,2008-09-30,46.7,Sell,130 days,Fall by 26.590000%,-8.73,
2011-09-30,30.12,2012-03-31,45.98,Sell,130 days,Fall by -101.560000%,-52.66,
2013-06-30,52.79,2014-12-31,62.58,Buy,391 days,Rise by 15.000000%,18.55,
2021-06-30,155.54,2024-12-31,239.71,Buy,913 days,Rise by -12.360000%,54.11,
2024-06-30,202.26,2024-06-30,202.26,Buy,0 days,Rise by 53.820000%,0.0,
2025-03-31,245.3,2025-03-31,245.3,Buy,0 days,Rise by 26.830000%,0.0,
