Entry Date,Entry Price,Exit Date,Exit Price,Signal,Holding Period,Actual Rise/Fall wrt Entry,Return,Signal Open Price
2020-05-13,269.16,2020-05-18,289.9,Sell,2 days,Fall by -8.210000%,-7.71,
2020-06-12,297.79,2020-07-01,301.17,Sell,12 days,Fall by 2.840000%,-1.14,
2020-07-08,300.15,2020-07-15,305.72,Sell,4 days,Fall by -9.910000%,-1.86,
2020-08-26,351.02,2020-09-02,360.7,Buy,4 days,Rise by 0.390000%,2.76,
2020-08-28,366.12,2021-01-07,349.86,Buy,93 days,Rise by -10.450000%,-4.44,
2020-10-26,318.06,2020-11-02,289.97,Sell,4 days,Fall by -2.940000%,8.83,
2021-01-15,323.26,2021-02-02,334.37,Sell,11 days,Fall by -3.070000%,-3.44,
2021-03-08,371.33,2021-03-12,382.71,Buy,3 days,Rise by 6.550000%,3.06,
2021-03-31,356.05,2021-04-07,371.08,Sell,4 days,Fall by -0.160000%,-4.22,
2021-04-09,380.08,2021-04-27,389.07,Buy,11 days,Rise by 4.100000%,2.37,
2021-04-28,395.65,2021-08-02,375.26,Buy,67 days,Rise by -5.880000%,-5.15,
2021-05-26,362.65,2021-06-22,378.04,Sell,18 days,Fall by -0.770000%,-4.24,
2021-05-28,360.58,2021-06-22,378.04,Sell,16 days,Fall by -1.350000%,-4.84,
2021-06-11,365.5,2021-06-25,379.61,Sell,9 days,Fall by 0.010000%,-3.86,
2021-06-29,368.0,2021-07-13,383.71,Sell,9 days,Fall by 0.690000%,-4.27,
2021-08-03,367.6,2021-08-17,363.23,Sell,9 days,Fall by 7.450000%,1.19,
2021-08-10,367.84,2021-08-17,363.23,Sell,4 days,Fall by 7.510000%,1.25,
2021-09-24,358.16,2022-01-06,370.0,Buy,73 days,Rise by 1.100000%,3.31,
2021-11-08,349.67,2021-11-16,369.56,Buy,5 days,Rise by -12.410000%,5.69,
2021-12-01,306.28,2021-12-02,320.2,Sell,0 days,Fall by -10.600000%,-4.54,
2021-12-16,352.92,2021-12-29,361.29,Buy,8 days,Rise by 6.370000%,2.37,
2021-12-23,360.58,2022-01-07,369.65,Buy,10 days,Rise by 10.030000%,2.52,
2022-01-04,375.39,2022-02-03,390.07,Buy,21 days,Rise by 5.690000%,3.91,
2022-01-31,386.38,2022-11-21,338.25,Buy,209 days,Rise by -10.840000%,-12.46,
2022-08-04,356.07,2022-11-21,338.25,Buy,76 days,Rise by -4.960000%,-5.0,
2022-08-16,359.25,2022-11-21,338.25,Buy,68 days,Rise by -10.210000%,-5.85,
2022-08-22,345.51,2022-09-01,325.25,Sell,7 days,Fall by 11.870000%,5.86,
2022-09-22,298.36,2022-09-28,290.18,Sell,3 days,Fall by 5.020000%,2.74,
2022-10-24,305.6,2022-10-28,329.47,Buy,3 days,Rise by 18.060000%,7.81,
2022-11-14,339.37,2022-11-29,343.13,Buy,10 days,Rise by 6.310000%,1.11,
2022-11-23,348.64,2023-01-09,370.97,Buy,32 days,Rise by 9.680000%,6.4,
2022-12-01,360.8,2023-01-12,379.81,Buy,29 days,Rise by 5.980000%,5.27,
2023-02-10,366.83,2023-02-23,355.53,Sell,8 days,Fall by 6.030000%,3.08,
2023-04-26,366.76,2023-05-05,384.66,Sell,6 days,Fall by 0.470000%,-4.88,
2023-06-08,367.59,2023-06-29,387.67,Sell,14 days,Fall by -6.100000%,-5.46,
2023-06-30,393.3,2023-07-17,402.2,Buy,10 days,Rise by 2.920000%,2.26,
2023-09-22,402.22,2023-09-29,395.91,Sell,4 days,Fall by 9.480000%,1.57,
2023-09-27,395.48,2023-10-24,386.91,Sell,18 days,Fall by 7.940000%,2.17,
2023-10-27,364.08,2023-11-02,382.69,Sell,3 days,Fall by -15.020000%,-5.11,
2023-11-16,397.1,2023-11-30,413.83,Sell,9 days,Fall by -5.460000%,-4.21,
2024-06-20,452.51,2024-08-14,460.16,Buy,38 days,Rise by -0.300000%,1.69,
2024-06-24,456.96,2024-08-20,469.12,Buy,40 days,Rise by -1.270000%,2.66,
2024-06-28,441.16,2024-07-17,451.16,Sell,12 days,Fall by 2.620000%,-2.27,
2024-07-05,449.49,2024-08-13,459.36,Buy,26 days,Rise by 3.160000%,2.2,
2024-11-12,529.17,2025-01-29,548.8,Buy,55 days,Rise by 0.710000%,3.71,
2024-12-30,525.55,2025-01-08,516.4,Sell,6 days,Fall by 1.090000%,1.74,
2024-12-31,526.57,2025-01-08,516.4,Sell,5 days,Fall by 1.280000%,1.93,
2025-01-03,521.36,2025-01-13,504.91,Sell,5 days,Fall by 0.290000%,3.16,
2025-01-06,511.93,2025-01-21,528.06,Sell,10 days,Fall by -1.540000%,-3.15,
2025-01-28,547.36,2025-02-04,559.11,Buy,4 days,Rise by 3.880000%,2.15,
2025-01-30,566.01,2025-05-15,582.2,Buy,74 days,Rise by 0.460000%,2.86,
2025-03-12,524.64,2025-03-24,543.67,Sell,7 days,Fall by 8.520000%,-3.63,
2025-07-24,563.5,2025-08-14,583.76,Buy,14 days,Rise by 6.290000%,3.6,
2025-08-21,591.92,2025-08-21,591.92,Buy,0 days,Rise by 1.130000%,0.0,
2025-10-02,577.33,2025-10-02,577.33,Buy,0 days,Rise by -4.390000%,0.0,
