Entry Date,Entry Price,Exit Date,Exit Price,Signal,Holding Period,Actual Rise/Fall wrt Entry,Return
2020-10-27,222.97,2020-11-02,212.56,Sell,3 days,Fall by 6.820000%,4.67
2020-11-13,213.28,2020-11-24,219.71,Sell,6 days,Fall by 2.590000%,-3.01
2020-12-18,215.08,2020-12-24,211.39,Sell,3 days,Fall by 3.060000%,1.72
2021-03-16,219.86,2021-03-22,225.07,Buy,3 days,Rise by 7.850000%,2.37
2021-04-06,231.91,2021-04-30,236.08,Buy,17 days,Rise by 2.240000%,1.8
2021-06-18,229.62,2021-07-14,237.13,Sell,17 days,Fall by 0.160000%,-3.27
2021-07-26,243.98,2021-10-12,244.52,Buy,55 days,Rise by -1.230000%,0.22
2021-10-25,237.34,2021-10-28,245.5,Sell,2 days,Fall by -2.880000%,-3.44
2021-11-15,252.94,2021-12-10,264.97,Buy,18 days,Rise by 6.620000%,4.76
2021-11-23,255.65,2021-12-10,264.97,Buy,12 days,Rise by 5.490000%,3.65
2021-12-01,244.18,2021-12-06,255.79,Sell,2 days,Fall by -1.870000%,-4.75
2021-12-07,259.91,2021-12-15,264.52,Buy,5 days,Rise by 3.760000%,1.77
2021-12-22,264.94,2021-12-29,268.49,Buy,4 days,Rise by 1.790000%,1.34
2022-02-14,253.39,2022-03-01,239.63,Sell,10 days,Fall by 11.470000%,5.43
2022-03-08,222.79,2022-03-15,232.57,Sell,4 days,Fall by -2.790000%,-4.39
2022-04-07,254.36,2022-08-01,264.23,Buy,81 days,Rise by -0.850000%,3.88
2022-05-11,244.43,2022-05-23,238.0,Sell,7 days,Fall by 4.110000%,2.63
2022-05-31,252.21,2022-07-22,253.99,Buy,37 days,Rise by 4.770000%,0.71
2022-07-15,255.01,2022-08-02,261.05,Buy,11 days,Rise by 3.620000%,2.37
2022-07-27,258.89,2022-08-03,262.09,Buy,4 days,Rise by 3.060000%,1.24
2022-08-23,260.54,2022-09-01,256.47,Sell,6 days,Fall by 10.030000%,1.56
2022-09-08,260.08,2022-11-01,272.95,Buy,37 days,Rise by -11.280000%,4.95
2022-09-22,247.94,2022-09-29,234.4,Sell,4 days,Fall by -8.030000%,5.46
2022-09-23,245.95,2022-09-30,230.74,Sell,4 days,Fall by -8.900000%,6.18
2022-09-26,243.76,2022-10-03,235.34,Sell,4 days,Fall by -9.880000%,3.45
2022-10-24,255.32,2022-10-31,272.66,Buy,4 days,Rise by 9.040000%,6.79
2023-06-26,289.09,2023-06-30,298.41,Sell,3 days,Fall by 0.720000%,-3.22
2023-07-26,291.75,2023-08-10,287.6,Sell,10 days,Fall by 4.010000%,1.42
2023-08-01,291.07,2023-08-14,288.81,Sell,8 days,Fall by 3.790000%,0.78
2023-08-10,287.6,2023-08-22,280.31,Sell,7 days,Fall by 4.230000%,2.53
2023-10-02,257.75,2023-10-11,250.92,Sell,6 days,Fall by -12.120000%,2.65
2023-11-03,267.87,2023-11-17,275.75,Buy,9 days,Rise by 10.480000%,2.94
2024-03-14,281.73,2024-04-04,270.09,Sell,14 days,Fall by 5.790000%,4.13
2024-06-24,260.38,2024-08-05,268.45,Buy,29 days,Rise by 0.240000%,3.1
2024-07-30,266.44,2024-08-07,269.37,Buy,5 days,Rise by 8.730000%,1.1
2024-11-18,291.1,2024-12-05,299.47,Sell,12 days,Fall by 3.900000%,-2.88
2025-01-08,286.9,2025-01-16,279.74,Sell,5 days,Fall by -3.690000%,2.5
2025-02-11,310.21,2025-04-25,316.74,Buy,52 days,Rise by 3.570000%,2.11
2025-03-13,297.5,2025-03-19,306.92,Sell,3 days,Fall by -0.780000%,-3.17
2025-04-01,313.63,2025-08-28,312.22,Buy,106 days,Rise by 1.920000%,-0.45
2025-08-01,302.89,2025-08-06,307.66,Sell,2 days,Fall by 0.580000%,-1.57
2025-10-29,302.35,2025-10-29,302.35,Sell,0 days,Fall by 1.300000%,0.0
