Entry Date,Entry Price,Exit Date,Exit Price,Signal,Holding Period,Actual Rise/Fall wrt Entry,Return,Signal Open Price
2020-03-09,4.64,2020-03-17,3.95,Sell,5 days,Fall by 18.190000%,14.96,
2020-06-11,4.69,2020-06-17,4.89,Sell,3 days,Fall by 1.920000%,-4.26,
2020-08-12,4.81,2020-08-21,5.18,Buy,6 days,Rise by 12.470000%,7.69,
2020-08-17,4.88,2020-08-21,5.18,Buy,3 days,Rise by 12.910000%,6.15,
2020-11-26,6.05,2020-12-07,6.47,Buy,6 days,Rise by 22.070000%,6.94,
2021-03-26,6.2,2021-03-31,6.5,Sell,2 days,Fall by -1.130000%,-4.84,
2021-03-29,6.2,2021-03-31,6.5,Sell,1 days,Fall by -1.130000%,-4.84,
2021-04-08,6.49,2021-04-15,6.7,Buy,4 days,Rise by 9.240000%,3.24,
2021-05-11,6.72,2021-05-18,6.55,Sell,4 days,Fall by 6.850000%,2.53,
2021-06-11,6.32,2021-06-30,6.67,Sell,12 days,Fall by -2.530000%,-5.54,
2021-07-16,6.55,2021-07-22,6.84,Sell,3 days,Fall by -1.370000%,-4.43,
2021-07-20,6.48,2021-07-22,6.84,Sell,1 days,Fall by -2.470000%,-5.56,
2021-07-28,6.65,2021-08-04,6.95,Sell,4 days,Fall by 0.150000%,-4.51,
2021-08-04,6.95,2022-04-13,5.95,Buy,179 days,Rise by 0.580000%,-14.39,
2021-09-01,6.66,2021-09-17,6.6,Sell,11 days,Fall by 4.130000%,0.9,
2021-09-15,6.38,2021-10-19,6.15,Sell,23 days,Fall by 9.950000%,3.68,
2021-12-01,6.03,2022-01-07,6.36,Buy,26 days,Rise by 5.470000%,5.47,
2022-01-05,6.32,2022-04-13,5.95,Buy,69 days,Rise by -12.180000%,-5.85,
2022-02-16,5.85,2022-02-23,6.0,Buy,4 days,Rise by 0.170000%,2.56,
2022-02-18,5.92,2022-04-08,6.23,Buy,34 days,Rise by -1.010000%,5.24,
2022-02-22,6.07,2022-08-09,6.4,Buy,119 days,Rise by -3.460000%,5.52,
2022-03-30,5.97,2022-04-08,6.23,Buy,6 days,Rise by 1.510000%,4.36,
2022-04-04,5.99,2022-04-08,6.23,Buy,3 days,Rise by 1.170000%,4.01,
2022-04-06,6.12,2022-08-09,6.4,Buy,88 days,Rise by -0.980000%,4.66,
2022-04-20,5.96,2022-08-08,6.42,Buy,77 days,Rise by -2.180000%,7.72,
2022-05-02,6.06,2022-08-09,6.4,Buy,70 days,Rise by -3.800000%,5.69,
2022-05-09,5.65,2022-06-09,5.78,Sell,22 days,Fall by 2.650000%,-2.3,
2022-05-23,5.83,2022-07-27,5.93,Buy,46 days,Rise by 2.920000%,1.72,
2022-06-28,5.8,2022-07-21,6.0,Buy,16 days,Rise by 3.450000%,3.45,
2022-07-06,5.83,2022-07-27,5.93,Buy,14 days,Rise by 12.350000%,1.72,
2022-08-03,6.3,2022-08-11,6.54,Buy,5 days,Rise by -2.220000%,3.73,
2022-09-21,6.1,2023-01-26,5.96,Buy,90 days,Rise by -11.570000%,-2.3,
2022-11-11,5.34,2022-11-18,5.66,Sell,4 days,Fall by 1.780000%,-5.99,
2022-11-21,5.72,2023-01-20,5.9,Buy,43 days,Rise by 0.170000%,3.15,
2022-12-05,5.64,2023-01-18,5.93,Buy,31 days,Rise by 14.910000%,5.24,
2022-12-16,5.73,2023-01-20,5.9,Buy,24 days,Rise by 13.000000%,2.97,
2023-01-13,5.74,2023-01-23,5.9,Buy,5 days,Rise by 12.800000%,2.7,
2023-01-18,5.93,2023-02-07,6.3,Buy,13 days,Rise by 9.190000%,6.16,
2023-05-17,6.34,2023-05-31,6.56,Sell,9 days,Fall by 2.050000%,-3.47,
2023-08-24,6.26,2023-09-06,6.12,Sell,8 days,Fall by 5.200000%,2.16,
2023-08-25,6.27,2023-09-06,6.12,Sell,7 days,Fall by 5.420000%,2.39,
2023-09-01,6.17,2023-09-19,6.28,Sell,11 days,Fall by 8.020000%,-1.86,
2023-10-11,6.16,2023-12-20,6.41,Buy,49 days,Rise by -0.410000%,4.14,
2023-12-28,6.7,2024-02-23,6.99,Buy,40 days,Rise by 2.840000%,4.33,
2024-05-15,6.42,2024-06-06,6.8,Buy,15 days,Rise by 5.920000%,5.92,
2024-05-21,6.55,2024-07-04,6.8,Buy,31 days,Rise by 3.820000%,3.82,
2024-07-19,7.06,2024-10-24,6.7,Buy,68 days,Rise by -10.540000%,-5.24,
2024-07-31,6.88,2024-08-13,6.53,Sell,8 days,Fall by 9.160000%,5.09,
2024-09-30,6.45,2024-10-11,6.7,Buy,8 days,Rise by 7.600000%,3.88,
2024-11-08,6.65,2024-11-26,6.89,Buy,11 days,Rise by 4.210000%,3.61,
2024-11-29,6.62,2024-12-09,6.35,Sell,5 days,Fall by 13.600000%,4.08,
2025-01-15,6.05,2025-02-04,6.33,Buy,13 days,Rise by 9.090000%,4.63,
2025-02-28,5.92,2025-03-17,5.62,Sell,10 days,Fall by 7.090000%,5.07,
2025-03-14,5.69,2025-04-04,5.88,Sell,14 days,Fall by 1.930000%,-3.34,
2025-04-23,5.66,2025-05-02,5.89,Sell,6 days,Fall by 0.000000%,-4.06,
2025-06-23,6.15,2025-08-15,6.26,Buy,38 days,Rise by 1.630000%,1.79,
2025-07-07,6.14,2025-08-08,6.22,Buy,23 days,Rise by 1.870000%,1.3,
2025-07-09,6.25,2025-08-22,6.56,Buy,31 days,Rise by 0.080000%,4.96,
2025-09-11,6.87,2025-09-11,6.87,Buy,0 days,Rise by -1.310000%,0.0,
2025-10-15,6.44,2025-10-15,6.44,Sell,0 days,Fall by -0.620000%,0.0,
