Entry Date,Entry Price,Exit Date,Exit Price,Signal,Holding Period,Actual Rise/Fall wrt Entry,Return,Signal Open Price
2020-02-27,4.7,2020-03-05,4.91,Sell,4 days,Fall by 11.700000%,-4.47,
2020-04-28,4.79,2020-06-10,4.85,Buy,30 days,Rise by 3.650000%,1.25,
2020-07-08,5.26,2020-10-14,5.68,Buy,69 days,Rise by -10.270000%,7.98,
2020-09-21,4.71,2020-09-28,4.96,Sell,4 days,Fall by -12.310000%,-5.2,
2020-09-24,4.67,2020-09-28,4.96,Sell,1 days,Fall by -13.280000%,-6.1,
2020-10-07,5.26,2020-10-14,5.68,Buy,4 days,Rise by 19.770000%,7.98,
2020-12-08,7.0,2020-12-31,7.42,Buy,16 days,Rise by 34.290000%,6.0,
2020-12-09,7.06,2020-12-31,7.42,Buy,15 days,Rise by 33.140000%,5.1,
2020-12-21,6.51,2020-12-23,7.2,Sell,1 days,Fall by 10.750000%,-10.6,
2020-12-24,7.2,2021-01-06,8.53,Buy,8 days,Rise by -13.260000%,18.47,
2020-12-30,7.85,2021-01-11,8.42,Buy,7 days,Rise by -11.210000%,7.26,
2021-02-03,7.14,2021-02-10,6.53,Sell,4 days,Fall by 15.410000%,8.54,
2021-02-04,6.97,2021-02-15,5.67,Sell,6 days,Fall by 16.790000%,18.65,
2021-03-05,5.31,2021-03-10,5.49,Sell,2 days,Fall by 3.860000%,-3.39,
2021-03-08,5.15,2021-03-10,5.49,Sell,1 days,Fall by 0.870000%,-6.6,
2021-04-21,5.62,2021-05-03,5.41,Sell,7 days,Fall by 8.360000%,3.74,
2021-08-18,4.94,2021-08-23,5.28,Sell,2 days,Fall by -2.120000%,-6.77,
2021-09-20,5.2,2022-02-28,5.0,Buy,114 days,Rise by -3.170000%,-4.03,
2021-09-29,4.98,2021-11-04,4.86,Sell,25 days,Fall by 3.010000%,2.51,
2021-12-17,4.84,2022-02-21,5.07,Buy,45 days,Rise by -10.420000%,4.64,
2022-01-28,4.34,2022-02-02,4.6,Sell,2 days,Fall by -8.530000%,-5.99,
2022-02-09,4.9,2022-02-22,5.29,Buy,8 days,Rise by 8.160000%,7.96,
2022-02-16,4.99,2022-03-07,5.16,Buy,12 days,Rise by 6.210000%,3.41,
2022-02-28,5.0,2022-03-07,5.16,Buy,4 days,Rise by 4.100000%,3.3,
2022-03-23,5.06,2022-04-05,5.2,Sell,8 days,Fall by 11.660000%,-2.77,
2022-03-28,4.99,2022-04-05,5.2,Sell,5 days,Fall by 10.420000%,-4.21,
2022-04-07,4.95,2022-04-20,4.9,Sell,8 days,Fall by 10.300000%,1.01,
2022-06-01,4.68,2022-07-14,4.86,Buy,30 days,Rise by 14.320000%,3.85,
2022-07-11,4.88,2022-08-03,5.22,Buy,16 days,Rise by 9.630000%,6.86,
2022-10-17,4.51,2022-10-28,4.76,Sell,8 days,Fall by -0.550000%,-5.54,
2022-11-23,4.66,2022-11-30,4.89,Sell,4 days,Fall by -12.880000%,-5.04,
2022-12-01,4.93,2022-12-21,5.21,Buy,13 days,Rise by 9.020000%,5.57,
2023-03-30,5.41,2023-07-05,5.55,Buy,68 days,Rise by 0.920000%,2.59,
2023-04-03,5.13,2023-04-24,5.4,Sell,14 days,Fall by -2.340000%,-5.26,
2023-05-09,5.45,2023-07-05,5.55,Buy,40 days,Rise by 2.290000%,1.83,
2023-05-10,5.52,2024-01-15,5.6,Buy,177 days,Rise by 1.090000%,1.54,
2023-05-24,5.5,2024-01-10,5.64,Buy,164 days,Rise by 2.000000%,2.55,
2023-06-21,5.38,2023-06-30,5.6,Sell,6 days,Fall by 1.210000%,-4.09,
2023-11-28,5.29,2023-12-21,5.41,Buy,16 days,Rise by 7.940000%,2.27,
2024-02-14,5.66,2024-03-05,6.0,Buy,13 days,Rise by 6.010000%,6.01,
2024-02-23,5.9,2024-05-06,6.05,Buy,50 days,Rise by 1.360000%,2.54,
2024-06-24,6.15,2024-06-26,6.5,Sell,1 days,Fall by -0.980000%,-5.61,
2024-06-26,6.5,2024-07-22,6.53,Buy,17 days,Rise by 6.080000%,0.54,
2024-08-23,6.2,2024-09-10,6.02,Sell,11 days,Fall by 3.870000%,2.82,
2024-08-28,6.13,2024-09-13,6.38,Sell,11 days,Fall by 5.380000%,-4.08,
2024-11-26,6.14,2025-06-24,5.74,Buy,149 days,Rise by -1.950000%,-6.51,
2024-12-23,5.91,2025-02-19,6.0,Buy,41 days,Rise by 2.200000%,1.52,
2025-01-17,6.04,2025-06-24,5.74,Buy,111 days,Rise by 0.330000%,-4.97,
2025-02-12,5.95,2025-06-24,5.74,Buy,93 days,Rise by -10.080000%,-3.53,
2025-02-24,5.77,2025-03-11,5.52,Sell,10 days,Fall by 7.800000%,4.33,
2025-06-11,5.89,2025-10-15,5.89,Buy,89 days,Rise by 1.870000%,0.0,
2025-07-30,5.72,2025-08-15,5.56,Sell,11 days,Fall by 5.240000%,2.8,
2025-08-07,5.67,2025-08-18,5.61,Sell,6 days,Fall by 4.410000%,1.06,
2025-08-13,5.57,2025-08-29,5.71,Sell,11 days,Fall by 2.690000%,-2.51,
2025-08-27,5.42,2025-08-29,5.71,Sell,1 days,Fall by -3.870000%,-5.35,
2025-09-01,5.84,2025-09-01,5.84,Buy,0 days,Rise by 3.420000%,0.0,
2025-09-03,5.9,2025-09-03,5.9,Buy,0 days,Rise by 2.370000%,0.0,
2025-09-08,5.87,2025-09-08,5.87,Buy,0 days,Rise by 2.900000%,0.0,
2025-10-09,6.02,2025-10-09,6.02,Buy,0 days,Rise by -1.660000%,0.0,
2025-10-22,5.98,2025-10-22,5.98,Buy,0 days,Rise by -1.000000%,0.0,
