Entry Date,Entry Price,Exit Date,Exit Price,Signal,Holding Period,Actual Rise/Fall wrt Entry,Return
2016-05-31,118.81,2017-05-31,151.46,Buy,260 days,Rise by 10.250000%,27.48
2016-08-31,126.12,2017-05-31,151.46,Buy,194 days,Rise by 42.770000%,20.09
2016-12-31,115.05,2017-04-30,150.25,Sell,84 days,Fall by -38.890000%,-30.6
2017-08-31,171.97,2018-11-30,140.61,Buy,325 days,Rise by 8.680000%,-18.24
2018-11-30,140.61,2019-01-31,166.69,Sell,43 days,Fall by -18.630000%,-18.55
2020-03-31,166.8,2020-05-31,225.09,Sell,43 days,Fall by -54.450000%,-34.95
2020-08-31,293.2,2021-07-31,356.3,Buy,239 days,Rise by -11.890000%,21.52
2021-11-30,324.46,2022-06-30,161.25,Sell,151 days,Fall by 38.210000%,50.3
2022-07-31,159.1,2022-11-30,118.1,Sell,86 days,Fall by 24.360000%,25.77
2022-10-31,93.16,2022-11-30,118.1,Sell,21 days,Fall by -489.310000%,-26.77
2024-01-31,390.14,2024-05-31,466.83,Buy,86 days,Rise by 76.650000%,19.66
2025-01-31,689.18,2025-01-31,689.18,Buy,0 days,Rise by 12.230000%,0.0
