Entry Date,Entry Price,Exit Date,Exit Price,Signal,Holding Period,Actual Rise/Fall wrt Entry,Return,Signal Open Price
2020-08-14,43.87,2020-08-21,45.75,Sell,4 days,Fall by -3.940000%,-4.29,
2020-12-30,69.89,2021-04-21,69.3,Buy,79 days,Rise by -0.130000%,-0.84,
2021-04-29,71.39,2021-05-06,76.4,Buy,4 days,Rise by 8.000000%,7.02,
2021-06-18,73.45,2021-06-28,76.55,Sell,5 days,Fall by -13.000000%,-4.22,
2021-12-21,89.6,2021-12-31,93.9,Sell,7 days,Fall by 6.810000%,-4.8,
2021-12-31,93.9,2023-02-14,75.51,Buy,291 days,Rise by -10.540000%,-19.58,
2022-01-20,87.6,2022-01-27,85.7,Sell,4 days,Fall by 10.670000%,2.17,
2022-02-22,78.25,2022-02-28,79.39,Sell,3 days,Fall by 2.880000%,-1.46,
2022-06-03,81.55,2023-02-14,75.51,Buy,181 days,Rise by -16.540000%,-7.41,
2022-07-29,77.0,2022-08-08,78.24,Buy,5 days,Rise by -10.780000%,1.61,
2022-08-04,80.0,2023-02-14,75.51,Buy,137 days,Rise by -10.630000%,-5.61,
2022-08-29,75.5,2022-09-08,73.5,Sell,7 days,Fall by 10.330000%,2.65,
2022-10-27,76.0,2023-02-14,75.51,Buy,77 days,Rise by -10.530000%,-0.64,
2022-11-03,72.0,2022-11-21,70.05,Sell,11 days,Fall by 8.610000%,2.71,
2023-01-13,68.95,2023-01-23,70.65,Buy,5 days,Rise by 11.530000%,2.47,
2023-01-18,71.65,2023-02-10,75.0,Buy,16 days,Rise by 7.330000%,4.68,
2023-02-07,76.4,2023-06-22,72.99,Buy,96 days,Rise by -10.340000%,-4.46,
2023-02-08,76.9,2023-06-22,72.99,Buy,95 days,Rise by -10.920000%,-5.08,
2023-02-15,76.0,2023-06-22,72.99,Buy,90 days,Rise by -10.960000%,-3.96,
2023-02-24,72.39,2023-03-14,69.4,Sell,11 days,Fall by 6.520000%,4.13,
2023-04-12,70.45,2023-04-19,71.9,Buy,4 days,Rise by 1.770000%,2.06,
2023-06-15,71.55,2023-06-26,71.95,Buy,6 days,Rise by -6.360000%,0.56,
2023-07-05,72.9,2023-11-22,65.6,Buy,99 days,Rise by -10.150000%,-10.01,
2023-07-28,67.99,2023-08-16,67.0,Sell,12 days,Fall by 3.660000%,1.46,
2023-08-08,67.01,2023-08-23,66.51,Sell,10 days,Fall by 2.250000%,0.75,
2023-12-05,69.25,2024-01-12,70.92,Buy,27 days,Rise by 3.030000%,2.41,
2024-02-09,70.07,2024-06-10,68.65,Buy,85 days,Rise by -0.110000%,-2.03,
2024-03-25,69.99,2024-07-16,75.76,Buy,80 days,Rise by -0.130000%,8.24,
2024-05-06,69.51,2024-07-15,74.2,Buy,49 days,Rise by 0.470000%,6.75,
2024-06-04,69.84,2024-07-16,75.76,Buy,29 days,Rise by 10.970000%,8.48,
2024-06-14,69.0,2024-07-15,74.2,Buy,20 days,Rise by 12.320000%,7.54,
2024-07-03,68.85,2024-07-15,74.2,Buy,7 days,Rise by 12.560000%,7.77,
2024-07-08,69.0,2024-07-15,74.2,Buy,4 days,Rise by 12.320000%,7.54,
2024-09-16,72.11,2024-09-26,71.5,Sell,7 days,Fall by 2.860000%,0.85,
2024-09-18,71.54,2024-10-09,73.0,Sell,14 days,Fall by 2.080000%,-2.04,
2024-09-20,71.7,2024-10-15,73.0,Buy,16 days,Rise by 2.520000%,1.81,
2024-12-20,71.5,2025-01-24,71.12,Sell,24 days,Fall by 1.730000%,0.53,
2024-12-27,73.0,2025-06-09,70.55,Buy,115 days,Rise by -1.100000%,-3.36,
2024-12-30,73.03,2025-06-09,70.55,Buy,114 days,Rise by -1.140000%,-3.4,
2024-12-31,73.5,2025-06-09,70.55,Buy,113 days,Rise by -1.770000%,-4.01,
2025-01-08,72.6,2025-06-09,70.55,Buy,107 days,Rise by -0.550000%,-2.82,
2025-01-14,71.5,2025-01-24,71.12,Sell,7 days,Fall by 6.240000%,0.53,
2025-01-20,70.3,2025-02-26,68.39,Sell,26 days,Fall by 4.640000%,2.72,
2025-01-22,70.6,2025-02-26,68.39,Sell,24 days,Fall by 5.040000%,3.13,
2025-02-04,70.27,2025-02-26,68.39,Sell,15 days,Fall by 4.600000%,2.68,
2025-02-25,67.04,2025-02-28,69.77,Sell,2 days,Fall by 13.780000%,-4.07,
2025-03-06,67.52,2025-03-21,64.46,Sell,10 days,Fall by 14.400000%,4.53,
2025-05-13,68.8,2025-05-13,68.8,Buy,0 days,Rise by 2.540000%,0.0,
2025-06-12,68.8,2025-06-24,65.99,Sell,7 days,Fall by 6.960000%,4.08,
2025-10-29,59.16,2025-10-29,59.16,Sell,0 days,Fall by -1.840000%,0.0,
