Entry Date,Entry Price,Exit Date,Exit Price,Signal,Holding Period,Actual Rise/Fall wrt Entry,Return
2020-06-05,32.6,2020-09-24,30.34,Buy,78 days,Rise by -17.480000%,-6.93
2020-06-22,26.67,2020-06-30,24.5,Sell,5 days,Fall by 8.550000%,8.14
2020-07-31,24.82,2020-08-10,27.26,Sell,5 days,Fall by -20.150000%,-9.83
2020-09-24,30.34,2020-09-30,32.47,Sell,3 days,Fall by -39.620000%,-7.02
2020-09-25,29.82,2020-09-30,32.47,Sell,2 days,Fall by -42.050000%,-8.89
2020-10-15,37.02,2020-10-26,40.35,Buy,6 days,Rise by 50.590000%,9.0
2021-03-24,44.29,2021-04-09,49.86,Sell,11 days,Fall by 0.140000%,-12.58
2021-04-20,44.23,2021-04-27,48.73,Sell,4 days,Fall by 3.800000%,-10.17
2021-04-30,44.88,2021-06-01,46.57,Sell,21 days,Fall by 5.190000%,-3.77
2021-05-19,45.26,2021-05-27,44.66,Sell,5 days,Fall by 10.050000%,1.33
2021-05-21,43.72,2021-06-01,46.57,Sell,6 days,Fall by 8.690000%,-6.52
2021-07-07,41.21,2021-08-11,43.53,Sell,24 days,Fall by 6.280000%,-5.63
2021-07-12,42.34,2021-08-30,45.65,Buy,34 days,Rise by 0.900000%,7.82
2021-08-11,43.53,2021-09-01,46.86,Buy,14 days,Rise by 49.510000%,7.65
2021-08-24,43.29,2021-09-01,46.86,Buy,5 days,Rise by 50.330000%,8.25
2021-08-25,43.98,2021-09-02,47.89,Buy,5 days,Rise by 47.980000%,8.89
2021-09-17,54.64,2021-09-29,59.67,Buy,7 days,Rise by 19.110000%,9.21
2021-11-29,53.25,2021-12-06,52.04,Sell,4 days,Fall by 6.970000%,2.27
2022-04-25,62.86,2022-05-03,67.93,Sell,5 days,Fall by 3.600000%,-8.07
2022-05-25,62.19,2022-06-16,53.98,Sell,15 days,Fall by 13.200000%,13.2
2022-06-08,66.97,2022-11-21,51.58,Buy,117 days,Rise by -24.950000%,-22.98
2022-06-13,57.17,2022-06-22,50.26,Sell,6 days,Fall by 11.580000%,12.09
2022-06-14,57.84,2022-06-22,50.26,Sell,5 days,Fall by 12.600000%,13.11
2022-08-24,52.21,2022-11-28,53.39,Buy,67 days,Rise by -10.400000%,2.26
2022-09-16,43.79,2022-09-28,44.48,Sell,7 days,Fall by -11.530000%,-1.58
2022-11-07,51.62,2022-11-28,53.39,Buy,14 days,Rise by 6.390000%,3.43
2023-02-06,68.52,2023-03-06,70.9,Buy,19 days,Rise by 8.480000%,3.47
2023-02-27,67.5,2023-03-03,73.94,Buy,3 days,Rise by -10.240000%,9.54
2023-05-12,56.22,2023-06-06,60.66,Sell,16 days,Fall by 1.320000%,-7.9
2023-06-09,57.86,2023-06-15,56.12,Sell,3 days,Fall by 11.110000%,3.01
2023-08-04,59.89,2023-11-21,60.18,Buy,76 days,Rise by -1.550000%,0.48
2023-09-15,56.25,2023-09-22,56.97,Buy,4 days,Rise by 6.770000%,1.28
2023-09-28,61.8,2023-12-22,64.73,Buy,60 days,Rise by -12.770000%,4.74
2023-10-18,58.0,2023-11-17,60.27,Buy,21 days,Rise by 3.550000%,3.91
2023-10-27,57.32,2023-11-15,61.64,Buy,12 days,Rise by 7.540000%,7.54
2024-04-02,62.44,2024-04-08,67.76,Buy,3 days,Rise by 10.360000%,8.52
2024-07-24,66.61,2024-08-08,57.94,Sell,10 days,Fall by 13.020000%,13.02
2024-10-02,57.81,2024-10-09,59.2,Buy,4 days,Rise by 17.110000%,2.4
2024-11-08,58.71,2024-11-18,61.74,Buy,5 days,Rise by 15.310000%,5.16
2024-11-15,60.05,2024-11-21,63.57,Buy,3 days,Rise by 12.740000%,5.86
2025-02-10,71.34,2025-02-14,65.28,Sell,3 days,Fall by 11.380000%,8.49
2025-04-11,37.07,2025-04-23,42.38,Sell,7 days,Fall by -18.830000%,-14.32
2025-06-25,46.34,2025-08-14,47.01,Sell,35 days,Fall by 1.900000%,-1.45
2025-06-30,45.09,2025-08-22,49.79,Sell,38 days,Fall by -0.820000%,-10.42
2025-08-14,47.01,2025-08-27,48.92,Buy,8 days,Rise by 16.930000%,4.06
2025-10-17,47.63,2025-10-31,55.2,Sell,9 days,Fall by -15.890000%,-15.89
2025-10-20,47.58,2025-10-31,55.2,Sell,8 days,Fall by -16.020000%,-16.02
2025-10-28,48.08,2025-10-31,55.2,Sell,2 days,Fall by -14.810000%,-14.81
