Entry Date,Entry Price,Exit Date,Exit Price,Signal,Holding Period,Actual Rise/Fall wrt Entry,Return,Signal Open Price
2012-09-23,37.42,2012-11-18,37.75,Buy,39 days,Rise by 3.650000%,0.87,
2012-10-07,37.31,2013-01-20,39.38,Sell,74 days,Fall by 1.530000%,-5.55,
2013-05-19,37.09,2013-07-21,39.24,Sell,44 days,Fall by -12.480000%,-5.8,
2013-09-08,41.46,2013-10-06,42.78,Buy,19 days,Rise by 12.590000%,3.18,
2014-09-07,52.87,2016-05-22,42.45,Buy,444 days,Rise by 3.290000%,-19.71,
2014-12-14,45.38,2014-12-21,48.03,Sell,4 days,Fall by 2.580000%,-5.84,
2015-01-18,44.66,2015-02-08,47.8,Sell,14 days,Fall by 6.780000%,-7.03,
2015-04-19,48.87,2016-05-22,42.45,Buy,284 days,Rise by -14.810000%,-13.14,
2015-10-04,40.89,2015-11-01,43.31,Sell,19 days,Fall by 11.690000%,-5.92,
2016-03-20,43.91,2016-08-07,44.53,Buy,99 days,Rise by 3.320000%,1.41,
2016-06-12,45.37,2016-09-18,47.13,Buy,69 days,Rise by 4.800000%,3.88,
2016-08-21,46.02,2016-10-02,46.52,Buy,29 days,Rise by 20.710000%,1.09,
2016-09-25,46.76,2016-10-30,47.68,Sell,24 days,Fall by -12.490000%,-1.97,
2016-10-30,47.68,2016-12-11,54.69,Buy,29 days,Rise by 16.510000%,14.7,
2016-11-27,49.95,2017-01-01,54.53,Buy,24 days,Rise by 16.620000%,9.17,
2016-12-04,51.52,2017-01-08,55.51,Buy,24 days,Rise by 13.060000%,7.74,
2016-12-11,54.69,2017-02-19,58.23,Buy,49 days,Rise by 6.510000%,6.47,
2016-12-18,55.55,2017-03-05,58.25,Buy,54 days,Rise by 4.860000%,4.86,
2017-05-07,53.13,2017-07-16,55.63,Sell,49 days,Fall by -14.140000%,-4.71,
2018-02-11,60.64,2018-05-13,63.35,Sell,64 days,Fall by 3.220000%,-4.47,
2018-04-01,60.64,2018-05-13,63.35,Sell,29 days,Fall by 1.720000%,-4.47,
2018-05-27,62.49,2018-08-19,65.59,Sell,59 days,Fall by 4.620000%,-4.96,
2018-06-03,61.45,2018-08-19,65.59,Sell,54 days,Fall by 3.010000%,-6.74,
2018-07-22,63.06,2018-11-11,60.45,Sell,79 days,Fall by 5.490000%,4.14,
2018-09-16,64.72,2018-11-04,60.04,Sell,34 days,Fall by 14.400000%,7.23,
2018-10-14,60.6,2019-01-06,56.54,Sell,59 days,Fall by 8.580000%,6.7,
2019-04-21,63.31,2019-10-13,66.39,Buy,124 days,Rise by 1.340000%,4.86,
2019-05-05,63.95,2019-10-20,67.41,Buy,119 days,Rise by 0.330000%,5.41,
2019-06-30,62.21,2019-08-04,63.34,Buy,24 days,Rise by 20.220000%,1.82,
2019-07-21,63.33,2019-10-13,66.39,Buy,59 days,Rise by 18.100000%,4.83,
2019-09-22,65.33,2019-11-10,69.39,Buy,34 days,Rise by 14.480000%,6.21,
2020-03-08,62.3,2020-03-29,50.44,Sell,14 days,Fall by 15.840000%,19.04,
2020-03-22,42.96,2020-03-29,50.44,Sell,4 days,Fall by -48.840000%,-17.41,
2020-06-07,65.52,2020-09-13,72.85,Buy,69 days,Rise by 11.190000%,11.19,
2021-02-28,80.16,2021-04-04,85.34,Buy,24 days,Rise by 17.610000%,6.46,
2021-03-07,83.51,2021-04-11,86.0,Buy,24 days,Rise by 12.900000%,2.98,
2021-12-05,96.11,2022-01-16,101.31,Sell,29 days,Fall by 6.650000%,-5.41,
2022-03-13,97.75,2022-05-01,89.72,Sell,34 days,Fall by 8.210000%,8.21,
2022-09-04,87.32,2022-10-30,92.2,Sell,39 days,Fall by -4.480000%,-5.59,
2023-03-26,92.67,2023-04-16,98.1,Sell,14 days,Fall by -2.100000%,-5.86,
2023-04-23,99.22,2023-08-13,103.58,Buy,79 days,Rise by 4.390000%,4.39,
2023-04-30,101.03,2024-03-17,110.22,Buy,229 days,Rise by 2.520000%,9.1,
2023-09-03,94.88,2023-10-22,85.15,Sell,34 days,Fall by 10.260000%,10.26,
2023-10-22,85.15,2023-11-19,91.34,Sell,19 days,Fall by -24.940000%,-7.27,
2024-03-03,106.71,2024-04-07,112.82,Buy,24 days,Rise by 10.340000%,5.73,
2024-04-21,110.12,2024-05-12,116.02,Sell,14 days,Fall by 3.390000%,-5.36,
2024-06-23,106.39,2024-07-14,113.65,Sell,14 days,Fall by -6.180000%,-6.82,
2024-12-01,138.71,2025-08-03,143.4,Buy,174 days,Rise by -10.290000%,3.38,
2025-03-02,120.41,2025-05-04,122.0,Sell,44 days,Fall by -30.140000%,-1.32,
2025-05-11,124.98,2025-06-08,133.8,Buy,19 days,Rise by 21.620000%,7.06,
