Entry Date,Entry Price,Exit Date,Exit Price,Signal,Holding Period,Actual Rise/Fall wrt Entry,Return
2020-07-06,11.51,2020-07-13,13.84,Buy,4 days,Rise by 77.580000%,20.24
2020-08-18,14.3,2020-08-27,19.88,Buy,6 days,Rise by 99.160000%,39.02
2020-11-04,37.71,2020-11-10,41.55,Buy,3 days,Rise by 46.860000%,10.18
2021-02-18,54.43,2021-02-25,46.81,Sell,4 days,Fall by 27.830000%,14.0
2021-06-14,46.55,2021-07-02,50.4,Buy,13 days,Rise by 14.290000%,8.27
2021-07-30,44.68,2021-11-12,42.67,Buy,74 days,Rise by -13.560000%,-4.5
2021-08-12,42.47,2021-08-18,38.86,Sell,3 days,Fall by 10.410000%,8.5
2021-11-18,38.41,2021-12-08,35.05,Sell,13 days,Fall by 16.300000%,8.75
2021-11-22,41.49,2022-07-01,21.36,Buy,158 days,Rise by -20.170000%,-48.52
2022-01-25,23.79,2022-01-31,24.51,Sell,3 days,Fall by 14.000000%,-3.03
2022-02-16,25.61,2022-07-01,21.36,Buy,96 days,Rise by -22.370000%,-16.6
2022-02-22,21.77,2022-02-28,22.84,Sell,3 days,Fall by 17.410000%,-4.92
2022-03-08,17.98,2022-03-09,20.17,Sell,0 days,Fall by 14.460000%,-12.18
2022-03-11,16.07,2022-03-16,18.75,Sell,2 days,Fall by 15.680000%,-16.68
2022-04-21,17.15,2022-05-04,18.13,Sell,8 days,Fall by 10.320000%,-5.71
2022-05-10,13.44,2022-05-13,14.31,Sell,2 days,Fall by -18.970000%,-6.47
2022-05-27,16.57,2022-06-03,18.08,Buy,4 days,Rise by 45.320000%,9.11
2022-06-15,20.11,2022-06-24,24.08,Buy,6 days,Rise by 5.920000%,19.74
2022-08-11,20.82,2023-07-19,10.64,Buy,243 days,Rise by -14.840000%,-48.9
2022-08-12,21.11,2023-07-19,10.64,Buy,242 days,Rise by -10.990000%,-49.6
2022-09-12,21.75,2023-07-19,10.64,Buy,221 days,Rise by -18.990000%,-51.08
2022-10-07,13.76,2022-10-13,12.78,Sell,3 days,Fall by 18.530000%,7.12
2022-12-27,10.06,2023-01-04,10.63,Sell,5 days,Fall by 12.230000%,-5.67
2023-02-24,9.3,2023-03-10,8.51,Sell,9 days,Fall by 11.290000%,8.49
2023-05-22,8.79,2023-06-20,9.35,Buy,20 days,Rise by -10.350000%,6.37
2023-06-28,9.52,2023-07-12,11.16,Buy,9 days,Rise by 62.390000%,17.23
2023-08-18,10.67,2023-09-21,8.45,Sell,23 days,Fall by 19.870000%,20.81
2024-02-05,5.38,2024-02-06,6.03,Sell,0 days,Fall by 0.930000%,-12.08
2024-03-01,5.78,2024-09-23,5.32,Buy,145 days,Rise by -10.210000%,-7.96
2024-04-10,4.59,2024-05-06,5.69,Buy,17 days,Rise by -10.020000%,23.97
2024-04-23,4.01,2024-04-29,4.6,Buy,3 days,Rise by 44.390000%,14.71
2024-07-10,4.62,2024-09-11,5.6,Buy,44 days,Rise by -12.120000%,21.21
2024-07-24,4.3,2024-08-07,3.67,Sell,9 days,Fall by 14.650000%,14.65
2024-08-19,4.07,2024-09-09,5.57,Buy,14 days,Rise by 37.590000%,36.86
2024-09-05,4.85,2024-09-13,5.55,Buy,5 days,Rise by 48.660000%,14.43
2024-10-28,5.81,2025-03-18,5.19,Buy,100 days,Rise by -12.910000%,-10.67
2024-11-21,4.7,2025-03-18,5.19,Buy,82 days,Rise by 10.210000%,10.43
2025-07-11,3.9,2025-07-17,4.4,Buy,3 days,Rise by 28.460000%,12.82
2025-07-14,4.17,2025-07-23,4.92,Buy,6 days,Rise by 20.140000%,17.99
2025-08-22,6.34,2025-09-18,7.37,Buy,18 days,Rise by 24.450000%,16.25
