Entry Date,Entry Price,Exit Date,Exit Price,Signal,Holding Period,Actual Rise/Fall wrt Entry,Return,Signal Open Price
2003-04-30,6.69,2003-12-31,8.56,Buy,174 days,Rise by 45.470000%,27.89,
2003-10-31,7.99,2004-04-30,8.99,Buy,129 days,Rise by 21.860000%,12.6,
2004-12-31,11.34,2006-04-30,10.23,Buy,345 days,Rise by -12.990000%,-9.76,
2005-08-31,9.86,2006-07-31,9.88,Sell,237 days,Fall by -0.110000%,-0.11,
2006-04-30,10.23,2007-05-31,14.19,Sell,282 days,Fall by -43.400000%,-38.69,
2007-01-31,12.35,2007-06-30,14.57,Buy,107 days,Rise by 17.980000%,17.98,
2010-10-31,20.36,2012-02-29,26.98,Buy,346 days,Rise by 10.690000%,32.51,
2012-01-31,26.0,2013-05-31,30.83,Buy,347 days,Rise by -15.590000%,18.59,
2012-10-31,22.84,2013-04-30,31.8,Sell,128 days,Fall by -116.330000%,-39.2,
2013-10-31,37.88,2014-10-31,46.48,Buy,260 days,Rise by 31.060000%,22.72,
2014-10-31,46.48,2015-06-30,54.01,Buy,171 days,Rise by 42.280000%,16.19,
2015-10-31,65.52,2018-08-31,82.2,Buy,738 days,Rise by -10.040000%,25.47,
2016-10-31,50.18,2017-08-31,52.81,Sell,217 days,Fall by -3.330000%,-5.24,
2017-07-31,59.05,2018-03-31,66.44,Buy,174 days,Rise by 15.530000%,12.51,
2017-11-30,60.42,2018-04-30,68.39,Buy,106 days,Rise by 40.220000%,13.19,
2018-01-31,68.22,2018-09-30,84.72,Buy,172 days,Rise by 24.190000%,24.19,
2021-06-30,154.49,2023-06-30,110.37,Buy,521 days,Rise by 9.550000%,-28.56,
2022-02-28,136.55,2022-08-31,106.45,Sell,131 days,Fall by 15.840000%,22.04,
2024-07-31,74.86,2025-06-30,71.04,Sell,237 days,Fall by 15.200000%,5.1,
2025-04-30,56.4,2025-08-31,77.37,Sell,87 days,Fall by -14.520000%,-37.18,
2025-07-31,74.69,2025-07-31,74.69,Buy,0 days,Rise by -13.520000%,0.0,
