Entry Date,Entry Price,Exit Date,Exit Price,Signal,Holding Period,Actual Rise/Fall wrt Entry,Return,Signal Open Price
2011-09-18,0.39,2013-07-21,0.36,Buy,479 days,Rise by 1.680000%,-7.89,
2012-07-29,0.34,2012-09-02,0.35,Buy,24 days,Rise by -10.180000%,4.07,
2012-08-12,0.37,2013-07-21,0.36,Buy,244 days,Rise by -13.600000%,-2.6,
2013-02-17,0.32,2013-05-26,0.36,Buy,69 days,Rise by 16.780000%,14.2,
2014-02-23,0.47,2014-09-07,0.5,Buy,139 days,Rise by 0.490000%,7.12,
2014-07-27,0.44,2014-09-07,0.5,Sell,29 days,Fall by 5.310000%,-12.23,
2014-12-07,0.53,2015-03-15,0.57,Buy,69 days,Rise by 11.370000%,7.73,
2015-02-22,0.56,2015-10-11,0.65,Buy,164 days,Rise by -11.580000%,16.71,
2015-08-16,0.59,2015-11-01,0.71,Buy,54 days,Rise by 43.380000%,20.51,
2015-10-11,0.65,2015-11-15,0.74,Buy,24 days,Rise by 29.460000%,14.3,
2016-05-22,1.11,2016-06-26,1.14,Buy,24 days,Rise by 42.200000%,3.15,
2017-10-22,4.92,2017-11-26,5.42,Buy,24 days,Rise by 27.210000%,10.19,
2017-11-12,5.4,2018-03-11,6.13,Buy,84 days,Rise by -10.470000%,13.51,
2018-09-02,7.02,2020-03-22,5.14,Buy,404 days,Rise by -18.350000%,-26.7,
2018-10-21,5.73,2018-11-25,3.62,Sell,24 days,Fall by 35.590000%,36.73,
2020-08-23,12.68,2020-10-25,13.59,Buy,44 days,Rise by 14.810000%,7.15,
2021-06-20,18.64,2021-08-22,20.82,Buy,44 days,Rise by 22.560000%,11.68,
2021-11-07,29.75,2023-06-18,42.69,Buy,419 days,Rise by -21.440000%,43.49,
2022-02-20,23.64,2022-03-20,26.45,Sell,19 days,Fall by 10.080000%,-11.89,
2022-04-24,19.52,2022-07-03,14.52,Sell,49 days,Fall by 13.020000%,25.58,
2022-05-01,18.55,2022-07-10,15.84,Sell,49 days,Fall by 14.380000%,14.61,
2022-05-22,16.69,2022-07-24,17.32,Sell,44 days,Fall by 18.250000%,-3.74,
2022-09-04,13.65,2022-10-30,13.83,Sell,39 days,Fall by -7.090000%,-1.37,
2023-01-22,17.84,2023-02-26,23.29,Buy,24 days,Rise by 55.710000%,30.53,
2023-02-05,21.1,2023-03-26,26.78,Buy,34 days,Rise by 31.640000%,26.91,
2024-01-21,59.49,2024-02-25,78.82,Buy,24 days,Rise by 58.490000%,32.49,
2025-03-02,124.92,2025-03-30,109.67,Sell,19 days,Fall by 18.760000%,12.21,
2025-07-20,172.41,2025-10-19,183.22,Buy,64 days,Rise by 17.450000%,6.27,
2025-07-27,173.5,2025-10-26,186.26,Buy,64 days,Rise by 16.710000%,7.35,
2025-09-21,176.67,2025-10-26,186.26,Buy,24 days,Rise by 14.610000%,5.43,
2025-10-05,187.62,2025-10-05,187.62,Buy,0 days,Rise by 7.930000%,0.0,
