Entry Date,Entry Price,Exit Date,Exit Price,Signal,Holding Period,Actual Rise/Fall wrt Entry,Return,Signal Open Price
2020-02-21,0.84,2020-03-06,0.85,Sell,9 days,Fall by 3.130000%,-0.7,
2020-07-30,0.89,2020-08-13,0.87,Sell,9 days,Fall by 3.020000%,1.94,
2020-08-04,0.89,2020-08-13,0.87,Sell,6 days,Fall by 2.740000%,1.66,
2020-11-11,0.89,2020-11-17,0.9,Buy,3 days,Rise by 2.750000%,1.52,
2020-12-07,0.9,2020-12-22,0.91,Sell,10 days,Fall by -0.800000%,-1.37,
2021-07-07,0.87,2021-07-20,0.88,Buy,8 days,Rise by 1.080000%,1.04,
2021-08-04,0.88,2021-09-06,0.9,Buy,22 days,Rise by 2.140000%,1.48,
2021-09-02,0.89,2021-09-08,0.9,Buy,3 days,Rise by -0.070000%,0.65,
2022-10-25,0.78,2022-11-01,0.79,Buy,4 days,Rise by 11.970000%,1.47,
2023-01-30,0.86,2023-02-09,0.85,Sell,7 days,Fall by 3.100000%,1.7,
2023-06-26,0.81,2023-07-04,0.82,Sell,5 days,Fall by 0.890000%,-0.75,
2025-02-18,0.81,2025-02-26,0.82,Buy,5 days,Rise by 2.520000%,0.8,
2025-04-04,0.81,2025-04-10,0.79,Sell,3 days,Fall by -0.480000%,2.44,
2025-10-28,0.81,2025-10-28,0.81,Buy,0 days,Rise by -0.770000%,0.0,
