Entry Date,Entry Price,Exit Date,Exit Price,Signal,Holding Period,Actual Rise/Fall wrt Entry,Return,Signal Open Price
2012-11-04,65.17,2013-01-06,66.63,Sell,44 days,Fall by -8.070000%,-2.24,
2012-11-18,62.3,2013-01-06,66.63,Sell,34 days,Fall by -13.050000%,-6.95,
2012-12-16,64.69,2013-02-03,67.66,Sell,34 days,Fall by -8.870000%,-4.59,
2014-04-06,86.37,2014-05-25,89.88,Sell,34 days,Fall by -7.680000%,-4.06,
2014-11-30,106.01,2015-06-07,109.3,Buy,134 days,Rise by 2.380000%,3.1,
2016-07-24,113.65,2016-08-28,116.78,Buy,24 days,Rise by 4.460000%,2.75,
2017-01-15,123.16,2017-02-26,130.26,Buy,29 days,Rise by 16.480000%,5.76,
2017-01-22,123.25,2017-02-26,130.26,Buy,24 days,Rise by 16.400000%,5.69,
2017-02-05,125.68,2017-03-12,131.39,Buy,24 days,Rise by 14.150000%,4.54,
2017-11-05,153.27,2018-01-07,161.92,Buy,44 days,Rise by 11.520000%,5.64,
2018-11-25,159.21,2018-12-02,169.37,Sell,4 days,Fall by -9.260000%,-6.38,
2019-11-10,201.23,2020-01-05,214.18,Buy,39 days,Rise by 16.600000%,6.44,
2020-03-08,208.02,2020-03-29,185.3,Sell,14 days,Fall by -59.130000%,10.92,
2020-03-22,170.7,2020-03-29,185.3,Sell,4 days,Fall by -80.830000%,-8.55,
2020-04-19,215.29,2020-06-07,239.69,Buy,34 days,Rise by 35.880000%,11.33,
2020-04-26,213.84,2020-06-07,239.69,Buy,29 days,Rise by 36.800000%,12.09,
2020-08-30,292.53,2020-12-27,309.56,Buy,84 days,Rise by 15.010000%,5.82,
2021-03-07,308.68,2021-04-11,337.11,Sell,24 days,Fall by -16.680000%,-9.21,
2021-11-07,398.6,2023-08-20,358.13,Buy,464 days,Rise by -11.770000%,-10.15,
2021-12-05,383.13,2022-02-13,347.06,Sell,49 days,Fall by 10.860000%,9.41,
2023-02-05,306.18,2023-04-30,322.56,Buy,59 days,Rise by 25.250000%,5.35,
2023-03-26,310.89,2023-05-28,348.4,Buy,44 days,Rise by 23.350000%,12.07,
2023-05-28,348.4,2023-07-09,366.24,Buy,29 days,Rise by 10.070000%,5.12,
2023-10-29,345.31,2023-11-05,367.71,Sell,4 days,Fall by -20.080000%,-6.49,
2024-02-04,429.01,2024-03-24,446.38,Buy,34 days,Rise by 4.050000%,4.05,
2024-06-30,479.11,2024-11-03,487.43,Buy,89 days,Rise by 10.730000%,1.74,
2025-03-16,479.66,2025-04-13,454.4,Sell,19 days,Fall by -31.150000%,5.27,
2025-10-26,617.1,2025-10-26,617.1,Buy,0 days,Rise by 1.940000%,0.0,
