Entry Date,Entry Price,Exit Date,Exit Price,Signal,Holding Period,Actual Rise/Fall wrt Entry,Return,Signal Open Price
2020-02-12,26.65,2020-06-10,24.88,Buy,84 days,Rise by -13.170000%,-6.64,
2020-07-07,28.54,2020-07-14,30.0,Buy,4 days,Rise by 16.050000%,5.12,
2020-11-02,32.18,2020-11-13,31.82,Sell,8 days,Fall by -15.440000%,1.12,
2021-05-12,40.89,2021-05-18,39.58,Sell,3 days,Fall by 10.270000%,3.2,
2021-08-20,28.05,2021-09-07,31.3,Sell,11 days,Fall by 4.740000%,-11.59,
2021-11-08,29.72,2022-08-03,20.87,Buy,191 days,Rise by -11.570000%,-29.78,
2022-02-08,23.3,2022-08-03,20.87,Buy,125 days,Rise by -13.180000%,-10.43,
2022-02-10,23.37,2022-08-03,20.87,Buy,123 days,Rise by -13.440000%,-10.7,
2022-02-14,22.72,2022-03-08,19.31,Sell,15 days,Fall by 10.960000%,15.01,
2022-03-30,23.0,2022-08-03,20.87,Buy,89 days,Rise by -10.040000%,-9.26,
2022-07-08,20.02,2022-07-29,20.87,Buy,14 days,Rise by 10.590000%,4.25,
2022-07-19,19.95,2022-07-29,20.87,Buy,7 days,Rise by 10.980000%,4.61,
2022-07-25,20.25,2022-07-29,20.87,Buy,3 days,Rise by 9.330000%,3.06,
2022-07-26,20.4,2022-08-01,20.87,Buy,3 days,Rise by 8.530000%,2.3,
2022-08-05,21.1,2022-11-03,22.28,Buy,63 days,Rise by -10.090000%,5.59,
2022-09-01,19.62,2022-09-16,18.77,Sell,10 days,Fall by 11.420000%,4.33,
2022-09-06,19.08,2022-09-27,17.11,Sell,14 days,Fall by 10.320000%,10.32,
2023-01-27,24.05,2023-06-27,22.81,Buy,106 days,Rise by -10.100000%,-5.16,
2023-02-21,20.71,2023-03-01,20.12,Sell,5 days,Fall by 12.120000%,2.85,
2023-03-13,19.2,2023-03-20,18.46,Sell,4 days,Fall by 4.010000%,3.85,
2023-03-31,19.65,2023-06-06,21.96,Buy,46 days,Rise by -1.530000%,11.76,
2023-10-11,21.66,2024-01-16,21.82,Buy,68 days,Rise by -0.550000%,0.74,
2023-11-03,21.54,2024-01-02,21.61,Buy,41 days,Rise by -2.510000%,0.32,
2023-12-15,21.17,2023-12-29,22.02,Buy,9 days,Rise by 7.610000%,4.02,
2024-09-11,29.13,2024-09-24,30.35,Buy,8 days,Rise by 7.450000%,4.19,
2024-11-06,30.76,2025-02-10,31.38,Buy,67 days,Rise by 2.180000%,2.02,
2025-01-14,28.64,2025-01-22,34.1,Sell,5 days,Fall by 9.110000%,-19.06,
2025-02-05,32.46,2025-07-01,36.7,Buy,103 days,Rise by -13.090000%,13.06,
2025-02-21,30.35,2025-02-28,27.67,Sell,4 days,Fall by 13.440000%,8.83,
2025-02-25,29.67,2025-03-05,27.17,Sell,5 days,Fall by 12.270000%,8.43,
2025-03-11,26.03,2025-04-03,23.44,Sell,16 days,Fall by 19.520000%,9.95,
2025-04-04,20.95,2025-04-09,23.74,Sell,2 days,Fall by -22.390000%,-13.32,
2025-04-28,25.27,2025-05-15,26.85,Buy,12 days,Rise by 7.120000%,6.25,
