Entry Date,Entry Price,Exit Date,Exit Price,Signal,Holding Period,Actual Rise/Fall wrt Entry,Return
2020-11-04,22.24,2020-11-05,23.61,Sell,0 days,Fall by 5.350000%,-6.16
2020-12-17,24.15,2021-01-05,25.67,Buy,12 days,Rise by 6.290000%,6.29
2021-01-19,23.38,2021-01-29,24.99,Sell,7 days,Fall by 0.260000%,-6.89
2021-03-01,24.6,2021-03-09,24.05,Sell,5 days,Fall by 9.510000%,2.24
2021-03-04,23.56,2021-03-26,23.23,Sell,15 days,Fall by 5.520000%,1.4
2021-03-05,23.36,2021-03-31,22.7,Sell,17 days,Fall by 4.710000%,2.83
2021-06-16,25.26,2021-06-22,23.85,Sell,3 days,Fall by 9.110000%,5.58
2021-06-18,23.88,2021-07-22,23.56,Sell,23 days,Fall by 3.850000%,1.34
2021-08-18,21.76,2021-09-03,22.88,Sell,11 days,Fall by 8.320000%,-5.15
2022-01-12,21.45,2022-01-21,22.38,Buy,6 days,Rise by 13.990000%,4.34
2022-05-10,19.55,2022-05-24,20.39,Sell,9 days,Fall by 0.920000%,-4.3
2022-06-01,20.13,2022-06-27,19.49,Sell,17 days,Fall by 11.920000%,3.18
2022-06-14,19.37,2022-07-05,17.73,Sell,14 days,Fall by 12.240000%,8.47
2022-08-31,16.58,2022-09-12,18.17,Sell,7 days,Fall by -1.930000%,-9.59
2022-09-29,17.37,2022-10-05,18.99,Buy,3 days,Rise by 16.520000%,9.33
2022-10-04,19.36,2022-11-15,19.88,Buy,29 days,Rise by -11.000000%,2.69
2022-10-24,17.68,2022-11-09,19.36,Buy,11 days,Rise by 14.480000%,9.5
2023-01-18,21.57,2023-02-08,20.48,Sell,14 days,Fall by 11.500000%,5.05
2023-03-08,18.4,2023-03-13,20.0,Sell,2 days,Fall by -24.080000%,-8.7
2023-07-21,22.57,2023-08-04,21.66,Sell,9 days,Fall by 8.910000%,4.03
2023-08-03,21.63,2023-08-10,20.83,Sell,4 days,Fall by 4.160000%,3.7
2023-10-02,19.42,2023-10-13,20.78,Sell,8 days,Fall by -4.740000%,-7.0
2024-02-16,21.39,2024-03-08,22.23,Buy,14 days,Rise by 8.880000%,3.93
2024-04-03,24.73,2024-04-11,26.01,Buy,5 days,Rise by 18.360000%,5.18
2024-07-05,28.48,2024-10-04,29.36,Buy,64 days,Rise by -10.780000%,3.09
2024-09-13,28.02,2024-09-27,28.86,Buy,9 days,Rise by 13.280000%,3.0
2024-12-30,26.43,2025-01-15,27.96,Sell,11 days,Fall by -7.110000%,-5.79
2025-04-04,27.08,2025-04-11,29.19,Sell,4 days,Fall by -7.530000%,-7.79
2025-08-19,33.87,2025-08-29,36.19,Sell,7 days,Fall by -29.940000%,-6.85
