Entry Date,Entry Price,Exit Date,Exit Price,Signal,Holding Period,Actual Rise/Fall wrt Entry,Return,Signal Open Price
1980-12-31,1.41,1986-09-30,1.78,Buy,1498 days,Rise by -12.100000%,26.61,
1986-03-31,1.94,1988-06-30,3.58,Buy,587 days,Rise by 128.070000%,84.21,
1997-03-31,6.91,1998-03-31,8.51,Buy,260 days,Rise by 117.090000%,23.06,
1997-06-30,8.8,2000-03-31,28.01,Buy,718 days,Rise by -21.950000%,218.32,
1999-06-30,11.04,2000-09-30,20.19,Buy,327 days,Rise by -18.280000%,82.9,
1999-12-31,28.48,2005-06-30,6.89,Buy,1433 days,Rise by -29.100000%,-75.81,
2003-06-30,5.6,2004-03-31,8.36,Sell,196 days,Fall by -22.820000%,-49.32,
2005-03-31,8.0,2007-12-31,10.86,Buy,716 days,Rise by 15.120000%,35.68,
2006-03-31,9.21,2008-06-30,8.75,Buy,585 days,Rise by 17.860000%,-5.06,
2008-12-31,4.37,2009-09-30,5.84,Sell,194 days,Fall by -21.990000%,-33.52,
2011-09-30,3.8,2013-03-31,3.48,Sell,390 days,Fall by 25.050000%,8.42,
2013-09-30,4.3,2016-06-30,5.87,Buy,717 days,Rise by -22.070000%,36.38,
2014-12-31,4.09,2017-03-31,6.75,Buy,586 days,Rise by 86.570000%,64.78,
2018-03-31,9.67,2020-06-30,13.83,Buy,585 days,Rise by -12.620000%,43.01,
2021-03-31,21.2,2021-03-31,21.2,Buy,0 days,Rise by 19.230000%,0.0,
2025-03-31,25.39,2025-03-31,25.39,Buy,0 days,Rise by 9.850000%,0.0,
