Entry Date,Entry Price,Exit Date,Exit Price,Signal,Holding Period,Actual Rise/Fall wrt Entry,Return,Signal Open Price
2003-05-31,17.5,2003-09-30,19.12,Buy,85 days,Rise by 25.310000%,9.26,
2005-06-30,27.32,2005-12-31,30.56,Buy,131 days,Rise by 19.690000%,11.88,
2006-06-30,28.34,2006-08-31,31.94,Sell,43 days,Fall by -11.340000%,-12.69,
2008-02-29,32.95,2008-05-31,35.94,Sell,65 days,Fall by 13.630000%,-9.09,
2008-03-31,31.56,2008-05-31,35.94,Sell,44 days,Fall by 27.110000%,-13.91,
2008-07-31,31.14,2009-02-28,18.7,Sell,151 days,Fall by 30.250000%,39.97,
2009-07-31,31.56,2010-06-30,34.49,Buy,237 days,Rise by 19.950000%,9.3,
2009-09-30,34.62,2010-12-31,37.12,Buy,326 days,Rise by 9.310000%,7.22,
2010-04-30,37.75,2011-06-30,40.89,Buy,303 days,Rise by 13.640000%,8.32,
2010-06-30,34.49,2011-02-28,40.65,Sell,172 days,Fall by -6.550000%,-17.86,
2011-03-31,42.9,2012-07-31,39.46,Buy,347 days,Rise by -13.070000%,-8.02,
2015-07-31,52.77,2016-04-30,55.85,Sell,195 days,Fall by 0.640000%,-5.84,
2016-01-31,53.15,2016-10-31,60.86,Sell,194 days,Fall by -35.670000%,-14.51,
2016-11-30,63.57,2017-04-30,64.23,Buy,107 days,Rise by 17.700000%,1.04,
2017-01-31,67.41,2018-01-31,74.82,Buy,260 days,Rise by 10.990000%,10.99,
2020-01-31,73.14,2020-06-30,60.59,Sell,106 days,Fall by 17.160000%,17.16,
2020-03-31,59.83,2020-11-30,69.28,Sell,173 days,Fall by 1.750000%,-15.79,
2021-01-31,72.46,2021-06-30,86.87,Buy,106 days,Rise by 41.150000%,19.89,
2021-04-30,84.5,2022-02-28,102.28,Buy,215 days,Rise by 21.040000%,21.04,
2022-01-31,101.81,2025-01-31,82.91,Buy,783 days,Rise by -17.090000%,-18.56,
2022-07-31,83.18,2023-05-31,76.84,Sell,216 days,Fall by 7.620000%,7.62,
2023-10-31,77.46,2024-08-31,80.75,Sell,218 days,Fall by 2.920000%,-4.25,
2024-02-29,81.49,2024-09-30,85.52,Sell,151 days,Fall by 6.090000%,-4.95,
2025-02-28,86.64,2025-08-31,103.12,Buy,130 days,Rise by 32.920000%,19.02,
2025-05-31,94.77,2025-10-31,115.16,Buy,108 days,Rise by 21.520000%,21.52,
