Entry Date,Entry Price,Exit Date,Exit Price,Signal,Holding Period,Actual Rise/Fall wrt Entry,Return
2012-03-25,42.4,2013-01-27,41.79,Buy,219 days,Rise by -2.370000%,-1.43
2012-07-29,39.74,2012-09-16,40.9,Buy,34 days,Rise by 4.150000%,2.92
2013-01-13,40.91,2013-07-21,43.82,Sell,134 days,Fall by 1.580000%,-7.13
2013-06-23,40.65,2013-07-21,43.82,Sell,19 days,Fall by -34.980000%,-7.81
2013-07-28,44.18,2013-09-29,46.36,Buy,44 days,Rise by 12.800000%,4.95
2013-09-29,46.36,2013-11-24,48.86,Buy,39 days,Rise by 7.480000%,5.39
2013-11-10,48.3,2014-01-19,49.06,Buy,49 days,Rise by 3.170000%,1.55
2014-06-01,53.76,2014-06-29,54.82,Buy,19 days,Rise by 7.460000%,1.97
2014-06-08,54.87,2014-08-10,55.59,Buy,44 days,Rise by 5.290000%,1.31
2014-10-12,53.24,2014-11-16,57.06,Sell,24 days,Fall by 2.500000%,-7.18
2015-04-26,56.13,2016-05-01,55.85,Buy,264 days,Rise by -10.420000%,-0.5
2015-07-12,52.36,2015-10-25,54.39,Sell,74 days,Fall by 5.560000%,-3.88
2015-08-23,50.28,2015-10-25,54.39,Sell,44 days,Fall by 1.650000%,-8.17
2016-01-17,49.45,2016-01-31,53.15,Sell,9 days,Fall by -11.450000%,-7.48
2016-03-20,55.38,2016-06-12,56.76,Buy,59 days,Rise by 4.140000%,2.49
2016-04-24,56.19,2016-09-04,58.77,Buy,94 days,Rise by 4.590000%,4.59
2016-10-30,60.52,2016-12-11,65.75,Buy,29 days,Rise by 15.040000%,8.64
2016-11-20,63.27,2017-01-01,66.22,Buy,29 days,Rise by 10.040000%,4.66
2016-12-18,66.44,2017-02-19,69.44,Buy,44 days,Rise by 4.790000%,4.52
2017-05-07,64.09,2017-09-03,67.5,Sell,84 days,Fall by 0.830000%,-5.32
2017-06-25,65.27,2017-08-27,64.82,Sell,44 days,Fall by 2.620000%,0.69
2017-07-23,65.35,2017-10-01,70.25,Buy,49 days,Rise by 13.220000%,7.5
2018-10-21,74.04,2018-11-25,71.45,Sell,24 days,Fall by 10.660000%,3.5
2018-12-16,69.58,2019-01-20,72.34,Sell,24 days,Fall by -4.230000%,-3.97
2019-03-10,74.83,2019-07-07,77.65,Sell,84 days,Fall by 1.240000%,-3.77
2019-06-23,76.5,2021-03-28,82.88,Buy,459 days,Rise by 0.380000%,8.34
2019-06-30,76.52,2021-03-28,82.88,Buy,454 days,Rise by 0.350000%,8.31
2019-08-25,71.58,2019-09-22,76.58,Sell,19 days,Fall by -1.980000%,-6.99
2019-10-13,73.76,2020-03-29,56.77,Sell,119 days,Fall by 1.030000%,23.03
2020-03-08,65.45,2020-03-29,56.77,Sell,14 days,Fall by 16.170000%,13.26
2020-11-22,68.86,2020-12-20,71.78,Buy,19 days,Rise by 9.530000%,4.24
2021-01-17,75.42,2021-03-21,82.42,Buy,44 days,Rise by 16.830000%,9.28
2021-02-28,77.14,2021-03-28,82.88,Buy,19 days,Rise by 14.220000%,7.44
2021-05-16,87.73,2021-11-21,91.83,Buy,134 days,Rise by 22.890000%,4.67
2021-05-23,88.11,2021-11-21,91.83,Buy,129 days,Rise by 22.360000%,4.22
2021-10-10,86.29,2021-11-14,93.39,Buy,24 days,Rise by 24.940000%,8.23
2022-04-17,93.99,2022-07-10,83.22,Sell,59 days,Fall by 10.910000%,11.46
2022-05-08,92.97,2022-07-10,83.22,Sell,44 days,Fall by 10.490000%,10.49
2022-06-19,86.44,2022-07-24,82.03,Sell,24 days,Fall by 4.860000%,5.1
2023-03-19,77.9,2023-04-23,83.55,Sell,24 days,Fall by -0.130000%,-7.25
2023-10-29,76.16,2023-11-05,80.98,Sell,4 days,Fall by -4.880000%,-6.33
2023-12-24,85.12,2024-10-20,77.84,Buy,214 days,Rise by -3.960000%,-8.55
2024-01-07,86.08,2024-10-20,77.84,Buy,204 days,Rise by -5.030000%,-9.57
2024-05-19,77.95,2024-09-22,87.55,Buy,89 days,Rise by 12.320000%,12.32
2024-06-23,73.96,2024-07-21,79.42,Sell,19 days,Fall by -3.790000%,-7.38
2024-07-21,79.42,2024-09-29,85.68,Buy,49 days,Rise by 10.240000%,7.88
2024-09-15,84.54,2025-05-25,92.91,Buy,179 days,Rise by -6.280000%,9.9
2024-09-22,87.55,2025-06-08,96.35,Buy,184 days,Rise by -10.330000%,10.05
2025-06-01,94.77,2025-07-06,101.69,Buy,24 days,Rise by 21.520000%,7.3
2025-09-28,110.35,2025-09-28,110.35,Buy,0 days,Rise by 4.360000%,0.0
