Entry Date,Entry Price,Exit Date,Exit Price,Signal,Holding Period,Actual Rise/Fall wrt Entry,Return,Signal Open Price
2020-06-04,157.23,2020-06-09,158.49,Sell,2 days,Fall by -3.780000%,-0.8,
2020-07-08,164.55,2020-07-14,167.12,Buy,3 days,Rise by 4.270000%,1.56,
2020-08-28,161.12,2020-09-01,163.86,Sell,1 days,Fall by 1.150000%,-1.7,
2020-09-03,165.89,2021-06-16,140.93,Buy,203 days,Rise by -0.460000%,-15.05,
2020-11-20,161.51,2021-06-16,140.93,Buy,147 days,Rise by -4.790000%,-12.74,
2020-12-11,158.77,2021-06-16,140.93,Buy,132 days,Rise by -3.150000%,-11.24,
2021-02-16,144.87,2021-02-24,140.84,Sell,5 days,Fall by 7.560000%,2.78,
2021-02-17,145.79,2021-02-23,141.77,Sell,3 days,Fall by 8.140000%,2.76,
2021-09-24,146.91,2021-09-30,144.32,Sell,3 days,Fall by 3.670000%,1.76,
2021-10-27,147.74,2021-12-01,152.34,Buy,24 days,Rise by 4.470000%,3.11,
2022-01-18,140.1,2022-01-21,143.63,Sell,2 days,Fall by 3.650000%,-2.52,
2022-04-11,123.14,2022-04-20,121.65,Sell,6 days,Fall by 7.690000%,1.21,
2022-06-29,113.87,2022-07-06,114.77,Buy,4 days,Rise by 5.420000%,0.79,
2022-06-30,114.87,2022-07-26,117.48,Buy,17 days,Rise by 4.500000%,2.27,
2022-08-11,114.39,2022-08-24,111.22,Sell,8 days,Fall by 11.750000%,2.77,
2022-12-02,107.09,2024-01-04,97.22,Buy,283 days,Rise by 1.440000%,-9.22,
2023-02-16,101.59,2023-02-23,102.3,Sell,4 days,Fall by -2.690000%,-0.7,
2023-04-14,105.08,2023-04-24,105.41,Sell,5 days,Fall by 4.570000%,-0.31,
2023-05-22,100.74,2023-05-30,102.1,Sell,5 days,Fall by 1.650000%,-1.35,
2023-06-21,103.56,2024-01-04,97.22,Buy,140 days,Rise by -0.590000%,-6.12,
2023-11-28,91.48,2023-12-07,95.32,Buy,6 days,Rise by 9.870000%,4.2,
2023-12-20,99.56,2024-08-09,96.26,Buy,166 days,Rise by -1.330000%,-3.31,
2024-03-06,95.99,2024-08-09,96.26,Buy,111 days,Rise by -1.340000%,0.28,
2024-07-05,92.56,2024-07-16,94.17,Buy,6 days,Rise by 6.740000%,1.74,
2024-07-31,94.81,2024-08-06,96.59,Buy,3 days,Rise by 4.130000%,1.88,
2024-10-21,92.23,2024-11-04,92.25,Sell,9 days,Fall by 2.630000%,-0.02,
2024-12-13,90.15,2024-12-24,87.87,Sell,6 days,Fall by 5.390000%,2.53,
2025-02-24,89.87,2025-02-28,92.43,Buy,3 days,Rise by 1.520000%,2.85,
2025-04-22,86.48,2025-04-24,88.24,Sell,1 days,Fall by 2.900000%,-2.04,
2025-05-30,86.28,2025-06-26,87.95,Buy,18 days,Rise by 2.280000%,1.94,
2025-07-17,85.11,2025-07-22,86.52,Sell,2 days,Fall by -1.220000%,-1.66,
2025-08-25,86.8,2025-09-10,89.74,Buy,11 days,Rise by 4.090000%,3.39,
2025-08-28,87.22,2025-09-10,89.74,Buy,8 days,Rise by 3.590000%,2.89,
2025-09-04,87.23,2025-09-10,89.74,Buy,3 days,Rise by 3.510000%,2.88,
2025-10-06,88.67,2025-10-10,90.62,Sell,3 days,Fall by -1.830000%,-2.2,
