Entry Date,Entry Price,Exit Date,Exit Price,Signal,Holding Period,Actual Rise/Fall wrt Entry,Return
2011-11-06,12.98,2012-01-29,14.11,Buy,59 days,Rise by 24.420000%,8.71
2012-06-03,13.06,2012-08-05,14.18,Sell,44 days,Fall by 3.140000%,-8.58
2012-07-22,12.65,2012-08-05,14.18,Sell,9 days,Fall by -32.250000%,-12.09
2013-08-18,15.97,2013-10-13,18.09,Sell,39 days,Fall by -5.820000%,-13.27
2013-09-29,17.07,2014-02-23,17.74,Sell,104 days,Fall by 1.000000%,-3.93
2014-03-09,18.77,2014-04-27,19.91,Buy,34 days,Rise by 21.520000%,6.07
2014-03-16,18.9,2014-04-27,19.91,Buy,29 days,Rise by 20.690000%,5.34
2014-04-13,19.89,2014-06-08,21.09,Buy,39 days,Rise by 14.680000%,6.03
2014-05-25,20.66,2014-11-23,23.06,Buy,129 days,Rise by 10.410000%,11.62
2014-07-27,20.35,2014-11-02,22.02,Sell,69 days,Fall by 4.470000%,-8.21
2014-10-26,21.18,2014-11-30,23.47,Buy,24 days,Rise by 17.280000%,10.81
2015-08-16,20.38,2015-10-11,21.95,Sell,39 days,Fall by -2.110000%,-7.7
2016-01-17,21.1,2016-02-21,23.78,Sell,24 days,Fall by -8.150000%,-12.7
2016-02-07,22.75,2016-03-20,26.04,Buy,29 days,Rise by 14.810000%,14.46
2016-03-13,25.35,2016-07-31,27.78,Buy,99 days,Rise by 15.350000%,9.59
2016-05-29,24.8,2016-07-31,27.78,Buy,44 days,Rise by 17.900000%,12.02
2016-10-02,30.59,2017-04-02,32.84,Buy,129 days,Rise by 20.070000%,7.36
2016-12-25,29.05,2017-02-19,32.34,Sell,39 days,Fall by -19.210000%,-11.33
2018-04-29,38.17,2018-07-29,41.45,Sell,64 days,Fall by 4.220000%,-8.59
2018-05-27,39.3,2018-07-15,37.77,Sell,34 days,Fall by 11.020000%,3.89
2018-09-09,44.88,2019-05-19,40.25,Buy,179 days,Rise by -18.290000%,-10.32
2018-10-28,36.67,2019-02-24,39.39,Sell,84 days,Fall by 4.640000%,-7.42
2018-11-18,36.87,2019-02-24,39.39,Sell,69 days,Fall by 5.150000%,-6.83
2018-11-25,35.96,2019-02-24,39.39,Sell,64 days,Fall by -5.230000%,-9.54
2019-05-26,38.2,2019-07-21,43.83,Sell,39 days,Fall by -16.570000%,-14.74
2019-10-06,47.42,2019-11-03,52.1,Buy,19 days,Rise by 24.120000%,9.87
2020-06-14,56.0,2020-08-02,78.89,Buy,34 days,Rise by 43.640000%,40.88
2021-01-17,125.23,2021-12-26,120.68,Buy,244 days,Rise by -10.200000%,-3.63
2021-08-08,118.21,2022-01-23,124.53,Buy,119 days,Rise by 5.120000%,5.35
2022-02-20,119.31,2022-03-27,106.73,Sell,24 days,Fall by 16.780000%,10.54
2022-03-06,105.06,2022-05-08,91.63,Sell,44 days,Fall by 11.550000%,12.78
2022-03-13,101.41,2022-05-15,90.96,Sell,44 days,Fall by 10.300000%,10.3
2022-04-10,99.29,2022-05-22,90.78,Sell,29 days,Fall by 10.690000%,8.57
2022-06-19,85.0,2022-07-24,86.32,Sell,24 days,Fall by 13.090000%,-1.55
2022-07-24,86.32,2023-02-19,90.1,Buy,149 days,Rise by -14.420000%,4.38
2022-10-23,63.75,2022-11-13,73.83,Sell,14 days,Fall by -36.860000%,-15.81
2022-11-20,82.27,2023-02-12,95.37,Buy,59 days,Rise by 15.920000%,15.92
2023-04-23,85.37,2023-05-28,103.21,Sell,24 days,Fall by -0.320000%,-20.9
2023-05-28,103.21,2024-02-18,126.69,Buy,189 days,Rise by 1.870000%,22.75
2023-09-24,85.64,2023-11-12,97.44,Sell,34 days,Fall by -49.110000%,-13.78
2024-01-28,117.26,2024-03-10,146.37,Buy,29 days,Rise by 59.770000%,24.83
2025-03-09,177.1,2025-04-27,165.1,Sell,34 days,Fall by -69.640000%,6.78
2025-09-21,264.87,2025-10-19,295.08,Buy,19 days,Rise by 13.430000%,11.41
2025-10-05,292.19,2025-10-05,292.19,Buy,0 days,Rise by 2.820000%,0.0
