Entry Date,Entry Price,Exit Date,Exit Price,Signal,Holding Period,Actual Rise/Fall wrt Entry,Return
2020-05-15,0.69,2020-05-28,0.72,Sell,8 days,Fall by 4.040000%,-4.83
2020-08-21,0.63,2020-09-21,0.66,Sell,20 days,Fall by 0.870000%,-3.52
2020-10-28,0.63,2020-11-11,0.67,Sell,9 days,Fall by -24.570000%,-5.27
2020-11-10,0.66,2020-12-04,0.74,Buy,17 days,Rise by 23.720000%,13.54
2021-05-19,0.84,2021-06-02,0.84,Sell,9 days,Fall by 4.590000%,0.65
2021-08-05,0.8,2021-11-30,0.76,Buy,82 days,Rise by 0.000000%,-5.55
2021-08-27,0.77,2021-09-27,0.74,Sell,20 days,Fall by 2.150000%,3.6
2021-11-10,0.72,2021-11-29,0.77,Buy,12 days,Rise by 10.070000%,6.98
2021-12-30,0.81,2022-09-19,0.73,Buy,186 days,Rise by -2.740000%,-10.27
2022-01-28,0.75,2022-02-08,0.76,Buy,6 days,Rise by 4.440000%,1.48
2022-02-08,0.76,2022-03-11,0.8,Sell,22 days,Fall by 0.720000%,-5.11
2022-02-11,0.77,2022-02-17,0.76,Sell,3 days,Fall by 1.450000%,0.73
2022-03-01,0.78,2022-09-19,0.73,Buy,143 days,Rise by 2.130000%,-7.09
2022-04-28,0.78,2022-09-19,0.73,Buy,101 days,Rise by -2.150000%,-6.43
2022-05-10,0.76,2022-06-10,0.74,Sell,22 days,Fall by 5.150000%,1.48
2022-08-10,0.72,2022-11-03,0.74,Buy,60 days,Rise by -0.780000%,3.1
2022-08-29,0.71,2022-11-02,0.72,Buy,46 days,Rise by 4.680000%,1.56
2022-10-10,0.68,2022-10-17,0.72,Sell,4 days,Fall by -13.830000%,-5.69
2023-01-04,0.81,2023-09-07,0.69,Buy,175 days,Rise by -10.350000%,-13.8
2024-01-04,0.68,2024-02-19,0.74,Buy,31 days,Rise by 0.000000%,9.01
2024-12-20,1.5,2025-02-12,1.61,Buy,37 days,Rise by 7.410000%,7.41
2025-07-11,1.55,2025-07-15,1.61,Sell,1 days,Fall by -7.740000%,-3.87
2025-07-15,1.61,2025-07-21,1.66,Buy,3 days,Rise by 8.070000%,3.11
2025-08-27,1.67,2025-09-12,1.75,Sell,11 days,Fall by -10.780000%,-4.79
