Entry Date,Entry Price,Exit Date,Exit Price,Signal,Holding Period,Actual Rise/Fall wrt Entry,Return
2011-12-11,72.45,2012-02-05,76.7,Buy,39 days,Rise by 11.410000%,5.87
2012-02-05,76.7,2012-04-08,80.18,Buy,44 days,Rise by 5.240000%,4.54
2012-04-01,80.72,2013-03-10,84.44,Buy,244 days,Rise by -1.590000%,4.61
2012-09-09,72.6,2013-01-13,77.92,Sell,89 days,Fall by 3.550000%,-7.33
2012-09-30,71.57,2013-01-13,77.92,Sell,74 days,Fall by 2.170000%,-8.87
2013-01-13,77.92,2013-02-10,82.38,Buy,19 days,Rise by 10.240000%,5.72
2013-01-27,82.45,2013-05-26,86.83,Buy,84 days,Rise by 4.180000%,5.31
2013-05-05,86.09,2013-10-06,91.0,Buy,109 days,Rise by 2.310000%,5.7
2013-05-19,88.7,2013-11-10,99.62,Buy,124 days,Rise by -0.700000%,12.31
2013-11-03,98.22,2013-12-01,102.38,Buy,19 days,Rise by 6.620000%,4.24
2013-11-10,99.62,2013-12-15,101.38,Buy,24 days,Rise by 5.120000%,1.77
2014-08-10,95.94,2014-11-09,108.33,Sell,64 days,Fall by 0.170000%,-12.91
2015-03-08,100.62,2015-04-19,95.38,Sell,29 days,Fall by 5.830000%,5.21
2015-04-05,96.47,2015-08-16,102.73,Sell,94 days,Fall by 1.780000%,-6.49
2015-09-20,98.32,2015-11-01,103.02,Buy,29 days,Rise by 7.340000%,4.78
2015-10-25,106.8,2016-08-14,109.91,Buy,209 days,Rise by -14.430000%,2.91
2016-01-24,89.9,2016-03-06,100.4,Sell,29 days,Fall by -11.970000%,-11.68
2016-03-27,105.43,2016-07-31,108.1,Buy,89 days,Rise by 5.310000%,2.53
2016-10-23,107.16,2016-12-11,119.6,Sell,34 days,Fall by 3.190000%,-11.61
2018-01-14,134.09,2018-10-14,115.64,Buy,194 days,Rise by -21.420000%,-13.76
2018-02-18,106.4,2018-04-29,113.99,Sell,49 days,Fall by 0.350000%,-7.13
2018-07-01,106.23,2018-07-29,118.66,Sell,19 days,Fall by 0.870000%,-11.7
2018-11-04,105.99,2019-01-13,97.91,Sell,49 days,Fall by 11.780000%,7.62
2018-12-23,93.5,2019-02-03,106.09,Sell,29 days,Fall by 0.620000%,-13.47
2019-04-07,114.33,2019-09-29,118.95,Buy,124 days,Rise by -16.160000%,4.04
2019-11-17,123.73,2020-08-30,162.36,Buy,204 days,Rise by -16.330000%,31.22
2020-08-09,156.9,2020-10-11,174.69,Buy,44 days,Rise by 11.340000%,11.34
2021-05-09,217.5,2022-03-06,210.39,Buy,214 days,Rise by -12.020000%,-3.27
2022-01-30,198.25,2022-02-06,224.79,Sell,4 days,Fall by 10.190000%,-13.39
2022-04-10,190.97,2022-05-22,171.04,Sell,29 days,Fall by 10.420000%,10.44
2022-04-17,188.02,2022-05-29,182.53,Sell,29 days,Fall by 12.600000%,2.92
2022-07-31,194.89,2023-05-21,170.93,Buy,209 days,Rise by -15.680000%,-12.29
2022-09-25,164.33,2022-11-13,178.19,Sell,34 days,Fall by -5.790000%,-8.43
2022-12-18,178.2,2023-04-02,193.99,Sell,74 days,Fall by 5.440000%,-8.86
2023-07-23,187.3,2023-07-23,187.3,Buy,0 days,Rise by -14.020000%,0.0
2023-09-03,168.0,2023-10-08,154.27,Sell,24 days,Fall by 19.740000%,8.17
2023-09-17,160.49,2023-10-15,155.08,Sell,19 days,Fall by 10.990000%,3.37
2023-09-24,153.78,2023-11-19,147.98,Sell,39 days,Fall by 10.190000%,3.77
2024-07-21,145.18,2024-07-21,145.18,Buy,0 days,Rise by -12.150000%,0.0
2024-11-24,134.82,2024-11-24,134.82,Buy,0 days,Rise by -1.330000%,0.0
2025-01-26,133.03,2025-01-26,133.03,Buy,0 days,Rise by -12.230000%,0.0
2025-07-06,104.13,2025-07-06,104.13,Buy,0 days,Rise by -14.700000%,0.0
2025-10-26,87.22,2025-10-26,87.22,Buy,0 days,Rise by 10.550000%,0.0
