Entry Date,Entry Price,Exit Date,Exit Price,Signal,Holding Period,Actual Rise/Fall wrt Entry,Return,Signal Open Price
2014-03-31,58.61,2016-10-31,42.0,Buy,674 days,Rise by -17.610000%,-28.34,
2014-04-30,60.13,2016-10-31,42.0,Buy,652 days,Rise by -12.020000%,-30.15,
2014-10-31,54.22,2015-03-31,44.92,Sell,106 days,Fall by 17.150000%,17.15,
2015-01-31,46.04,2015-10-31,41.97,Sell,194 days,Fall by 12.120000%,8.84,
2015-08-31,42.49,2016-02-29,39.56,Sell,129 days,Fall by 7.200000%,6.9,
2015-09-30,41.82,2016-03-31,40.42,Sell,130 days,Fall by 4.350000%,3.35,
2015-12-31,40.47,2017-06-30,38.49,Sell,390 days,Fall by 1.160000%,4.89,
2018-11-30,38.26,2019-08-31,35.51,Sell,195 days,Fall by 7.190000%,7.19,
2019-08-31,35.51,2020-05-31,26.64,Sell,194 days,Fall by 12.190000%,24.98,
2020-03-31,25.9,2020-07-31,28.95,Sell,87 days,Fall by -98.260000%,-11.78,
2021-01-31,33.4,2021-05-31,40.49,Buy,84 days,Rise by 30.750000%,21.23,
2021-02-28,36.35,2021-08-31,39.97,Buy,130 days,Rise by 20.140000%,9.96,
2022-01-31,47.64,2022-06-30,54.81,Buy,107 days,Rise by 18.430000%,15.05,
2022-02-28,50.06,2022-06-30,54.81,Buy,87 days,Rise by 12.700000%,9.49,
2022-03-31,55.18,2023-11-30,58.39,Buy,434 days,Rise by 2.250000%,5.82,
2023-08-31,58.96,2024-07-31,61.37,Buy,238 days,Rise by 5.550000%,4.09,
2024-04-30,61.63,2025-02-28,68.72,Buy,217 days,Rise by 17.020000%,11.5,
2025-01-31,69.03,2025-09-30,77.9,Buy,171 days,Rise by 13.150000%,12.85,
