Entry Date,Entry Price,Exit Date,Exit Price,Signal,Holding Period,Actual Rise/Fall wrt Entry,Return
2020-06-08,272.09,2020-07-06,285.34,Buy,19 days,Rise by 7.440000%,4.87
2020-06-12,264.2,2020-06-16,273.12,Sell,1 days,Fall by -6.310000%,-3.38
2020-08-04,303.17,2020-08-20,310.36,Buy,11 days,Rise by 11.610000%,2.37
2020-08-21,313.59,2020-08-28,327.15,Buy,4 days,Rise by 5.720000%,4.32
2020-09-11,299.45,2020-09-15,309.16,Sell,1 days,Fall by 0.490000%,-3.24
2020-10-23,318.6,2020-10-29,304.88,Sell,3 days,Fall by -8.270000%,4.31
2020-10-27,313.12,2020-11-02,298.61,Sell,3 days,Fall by -10.170000%,4.63
2020-11-10,317.5,2020-11-16,328.47,Sell,3 days,Fall by -8.650000%,-3.46
2020-12-07,342.55,2020-12-21,349.99,Buy,9 days,Rise by 3.740000%,2.17
2020-12-17,350.0,2020-12-28,355.36,Buy,6 days,Rise by 4.640000%,1.53
2021-01-12,353.79,2021-01-21,364.86,Sell,6 days,Fall by 4.060000%,-3.13
2021-02-12,380.61,2021-06-22,391.32,Buy,91 days,Rise by -10.820000%,2.81
2021-03-04,342.85,2021-03-09,352.4,Sell,2 days,Fall by -2.030000%,-2.79
2021-04-01,365.97,2021-04-08,378.8,Buy,4 days,Rise by 6.030000%,3.51
2021-04-30,376.94,2021-05-07,372.5,Sell,4 days,Fall by -5.430000%,1.18
2021-05-05,366.72,2021-05-14,364.12,Sell,6 days,Fall by -8.370000%,0.71
2021-06-01,370.61,2021-06-11,382.4,Sell,7 days,Fall by -7.230000%,-3.18
2021-06-07,376.22,2021-06-14,386.62,Buy,4 days,Rise by 10.260000%,2.76
2021-06-29,400.08,2021-07-14,409.72,Buy,10 days,Rise by 3.690000%,2.41
2021-07-22,410.7,2021-08-09,415.46,Buy,11 days,Rise by 1.570000%,1.16
2021-08-18,408.01,2021-08-23,422.13,Sell,2 days,Fall by 2.700000%,-3.46
2021-08-30,429.3,2021-11-04,446.58,Buy,47 days,Rise by 6.560000%,4.03
2021-09-20,410.84,2021-10-04,396.99,Sell,9 days,Fall by 3.370000%,3.37
2021-09-21,411.05,2021-10-04,396.99,Sell,8 days,Fall by -6.070000%,3.42
2022-01-19,416.52,2022-01-26,396.45,Sell,4 days,Fall by 7.760000%,4.82
2022-02-11,405.96,2022-02-24,398.09,Sell,8 days,Fall by 9.640000%,1.94
2022-03-21,405.36,2022-03-29,428.92,Buy,5 days,Rise by -10.130000%,5.81
2022-05-19,337.22,2022-05-26,351.8,Sell,4 days,Fall by 6.300000%,-4.32
2022-07-08,342.54,2022-07-25,350.86,Buy,10 days,Rise by 14.160000%,2.43
2022-07-21,358.73,2022-08-03,378.29,Buy,8 days,Rise by 9.000000%,5.45
2022-07-28,364.26,2022-08-04,379.49,Buy,4 days,Rise by 7.350000%,4.18
2022-08-25,376.93,2022-12-19,321.37,Buy,81 days,Rise by -11.060000%,-14.74
2022-09-14,342.89,2022-09-20,333.28,Sell,3 days,Fall by 10.360000%,2.8
2022-09-30,307.37,2022-10-04,327.79,Sell,1 days,Fall by 2.120000%,-6.64
2022-10-24,324.17,2022-11-16,338.43,Buy,16 days,Rise by 6.210000%,4.4
2022-11-02,315.53,2022-11-08,318.06,Sell,3 days,Fall by 1.400000%,-0.8
2022-11-04,310.53,2022-11-10,335.82,Sell,3 days,Fall by -0.180000%,-8.14
2022-12-19,321.37,2022-12-29,319.58,Sell,7 days,Fall by -8.270000%,0.56
2023-01-13,335.65,2023-01-26,350.41,Buy,8 days,Rise by 10.140000%,4.4
2023-01-23,346.23,2023-02-06,360.96,Buy,9 days,Rise by 7.380000%,4.25
2023-04-26,373.3,2023-05-05,386.18,Sell,6 days,Fall by -11.710000%,-3.45
2023-05-03,377.76,2023-05-15,388.8,Sell,7 days,Fall by -10.390000%,-2.92
2023-05-18,401.97,2023-05-31,416.88,Buy,8 days,Rise by 10.300000%,3.71
2023-05-26,418.53,2023-06-14,437.68,Buy,12 days,Rise by 5.940000%,4.58
2023-08-10,426.45,2023-08-23,432.89,Sell,8 days,Fall by 4.000000%,-1.51
2023-08-16,421.62,2023-08-23,432.89,Sell,4 days,Fall by 2.900000%,-2.67
2023-09-21,414.04,2023-10-06,424.2,Sell,10 days,Fall by 3.500000%,-2.45
2023-10-19,417.24,2023-10-26,399.56,Sell,4 days,Fall by -9.860000%,4.24
2023-12-18,483.33,2024-01-23,505.05,Buy,25 days,Rise by 7.880000%,4.49
2024-01-09,474.9,2024-01-23,505.05,Buy,9 days,Rise by 9.800000%,6.35
