Entry Date,Entry Price,Exit Date,Exit Price,Signal,Holding Period,Actual Rise/Fall wrt Entry,Return
2006-06-30,46.23,2006-10-31,51.42,Sell,86 days,Fall by -9.560000%,-11.23
2007-06-30,57.62,2010-08-31,49.35,Buy,825 days,Rise by -12.100000%,-14.35
2007-10-31,64.7,2010-08-31,49.35,Buy,738 days,Rise by -21.420000%,-23.72
2008-02-29,50.65,2008-05-31,57.96,Sell,65 days,Fall by 24.840000%,-14.43
2008-10-31,38.07,2009-03-31,35.23,Sell,106 days,Fall by -29.630000%,7.46
2008-11-30,33.64,2009-04-30,39.79,Sell,107 days,Fall by -46.700000%,-18.28
2010-06-30,49.46,2010-10-31,59.16,Sell,87 days,Fall by -14.760000%,-19.61
2011-01-31,63.94,2012-05-31,66.75,Buy,347 days,Rise by -11.230000%,4.39
2011-07-31,63.26,2012-01-31,66.23,Sell,130 days,Fall by -38.220000%,-4.69
2012-03-31,74.18,2013-11-30,86.63,Buy,434 days,Rise by -1.050000%,16.78
2013-01-31,70.64,2013-10-31,83.65,Sell,194 days,Fall by -53.790000%,-18.42
2013-11-30,86.63,2014-06-30,96.79,Buy,149 days,Rise by 23.610000%,11.73
2014-03-31,91.53,2014-09-30,100.08,Buy,130 days,Rise by 16.990000%,9.34
2015-09-30,100.0,2016-04-30,104.41,Sell,152 days,Fall by -71.000000%,-4.41
2016-09-30,120.37,2017-04-30,138.8,Buy,150 days,Rise by 47.330000%,15.31
2016-12-31,121.5,2017-04-30,138.8,Buy,84 days,Rise by 45.960000%,14.24
2017-02-28,133.0,2017-08-31,151.22,Buy,131 days,Rise by 33.340000%,13.7
2017-04-30,138.8,2017-08-31,151.22,Buy,87 days,Rise by 27.770000%,8.95
2018-12-31,166.83,2019-02-28,193.36,Sell,42 days,Fall by -27.020000%,-15.9
2019-12-31,244.85,2020-09-30,311.45,Buy,195 days,Rise by 34.020000%,27.2
2020-01-31,254.18,2020-09-30,311.45,Buy,172 days,Rise by 29.100000%,22.53
2020-03-31,211.9,2020-05-31,261.03,Sell,43 days,Fall by -54.110000%,-23.19
2022-02-28,403.91,2022-08-31,349.28,Sell,131 days,Fall by 13.530000%,13.53
2023-03-31,385.47,2023-09-30,414.9,Buy,130 days,Rise by 49.580000%,7.63
2024-01-31,493.91,2024-09-30,586.52,Buy,172 days,Rise by 16.740000%,18.75
2024-02-29,517.79,2024-12-31,621.8,Buy,217 days,Rise by 20.170000%,20.09
2025-08-31,697.02,2025-08-31,697.02,Buy,0 days,Rise by 13.800000%,0.0
2025-10-31,793.21,2025-10-31,793.21,Buy,0 days,Rise by 0.000000%,0.0
