Entry Date,Entry Price,Exit Date,Exit Price,Signal,Holding Period,Actual Rise/Fall wrt Entry,Return
2020-02-14,39.3,2020-04-16,44.11,Buy,43 days,Rise by -11.740000%,12.25
2020-05-07,40.63,2020-05-18,42.55,Sell,6 days,Fall by 3.400000%,-4.73
2020-05-26,41.29,2020-06-10,40.39,Sell,10 days,Fall by 4.940000%,2.18
2020-10-29,46.64,2020-11-06,48.59,Sell,5 days,Fall by -2.360000%,-4.18
2020-12-23,47.74,2021-01-12,49.66,Sell,13 days,Fall by -0.120000%,-4.01
2021-01-08,48.88,2021-01-21,48.28,Sell,8 days,Fall by 5.020000%,1.21
2021-01-15,48.21,2021-02-03,47.07,Sell,12 days,Fall by 3.710000%,2.38
2021-03-03,42.53,2021-03-12,44.71,Sell,6 days,Fall by -8.070000%,-5.12
2021-06-25,46.18,2021-07-06,46.65,Buy,6 days,Rise by 9.330000%,1.02
2021-10-04,45.24,2021-10-18,47.23,Sell,9 days,Fall by -4.580000%,-4.38
2021-10-20,48.67,2021-10-27,49.18,Buy,4 days,Rise by 3.620000%,1.05
2021-12-01,45.71,2021-12-10,47.01,Sell,6 days,Fall by 1.010000%,-2.84
2022-01-14,48.35,2022-04-01,50.34,Buy,54 days,Rise by 0.500000%,4.1
2022-03-04,47.61,2022-03-31,49.64,Buy,18 days,Rise by 11.940000%,4.27
2022-03-15,48.59,2022-04-01,50.34,Buy,12 days,Rise by 9.670000%,3.59
2022-03-18,48.48,2022-04-01,50.34,Buy,9 days,Rise by 9.920000%,3.83
2022-03-29,49.08,2022-04-05,50.49,Buy,4 days,Rise by 8.590000%,2.88
2022-04-07,52.18,2022-08-23,44.67,Buy,97 days,Rise by -16.090000%,-14.4
2022-05-06,49.85,2022-05-20,39.73,Sell,9 days,Fall by 20.300000%,20.3
2022-09-15,44.49,2022-10-18,44.71,Sell,22 days,Fall by 3.680000%,-0.5
2022-11-16,49.5,2022-11-23,50.81,Buy,4 days,Rise by -1.160000%,2.64
2023-01-19,46.28,2023-02-01,48.22,Sell,8 days,Fall by -1.000000%,-4.21
2023-02-13,48.64,2023-04-05,49.89,Buy,36 days,Rise by 3.350000%,2.58
2023-03-08,46.03,2023-03-27,48.06,Sell,12 days,Fall by -8.960000%,-4.4
2023-04-06,50.27,2023-05-11,51.04,Buy,24 days,Rise by 1.300000%,1.54
2023-06-13,51.77,2023-07-26,53.25,Buy,30 days,Rise by 1.870000%,2.86
2023-07-12,51.68,2023-08-07,53.5,Sell,17 days,Fall by -2.130000%,-3.52
2023-10-06,52.14,2023-10-24,54.42,Sell,11 days,Fall by 3.550000%,-4.37
2023-10-20,52.92,2023-11-01,54.96,Sell,7 days,Fall by 4.980000%,-3.85
2023-10-31,54.47,2023-11-07,55.22,Buy,4 days,Rise by 3.900000%,1.37
2023-11-17,51.78,2023-12-12,50.45,Sell,16 days,Fall by 2.890000%,2.57
2023-11-30,51.9,2023-12-12,50.45,Sell,7 days,Fall by -14.000000%,2.78
2023-12-01,51.45,2023-12-13,51.35,Sell,7 days,Fall by -14.990000%,0.19
2024-01-05,52.24,2024-01-18,54.41,Sell,8 days,Fall by -13.250000%,-4.17
2024-04-16,59.84,2024-05-16,64.01,Sell,21 days,Fall by 1.650000%,-6.97
2024-05-22,65.25,2024-06-07,65.88,Buy,11 days,Rise by 5.590000%,0.97
2024-09-10,78.81,2024-09-26,79.92,Buy,11 days,Rise by 3.290000%,1.41
2024-09-12,79.66,2024-10-03,80.43,Buy,14 days,Rise by 4.530000%,0.97
2024-11-22,90.44,2024-12-03,93.51,Buy,6 days,Rise by 16.150000%,3.39
2025-01-27,97.4,2025-02-07,101.15,Buy,8 days,Rise by 7.850000%,3.85
2025-03-10,87.82,2025-03-21,85.98,Sell,8 days,Fall by 6.870000%,2.1
2025-04-10,90.61,2025-04-23,94.96,Buy,8 days,Rise by 9.620000%,4.8
2025-06-06,97.47,2025-06-16,94.29,Sell,5 days,Fall by 3.150000%,3.26
2025-07-07,99.35,2025-08-11,103.93,Buy,24 days,Rise by 4.610000%,4.61
2025-08-04,99.59,2025-08-12,103.62,Buy,5 days,Rise by 4.700000%,4.05
2025-09-03,99.44,2025-09-09,102.29,Buy,3 days,Rise by 4.860000%,2.87
2025-10-14,107.21,2025-10-14,107.21,Buy,0 days,Rise by -5.620000%,0.0
