Entry Date,Entry Price,Exit Date,Exit Price,Signal,Holding Period,Actual Rise/Fall wrt Entry,Return
2004-11-30,27.44,2005-05-31,30.03,Buy,129 days,Rise by 22.450000%,9.44
2004-12-31,27.85,2005-05-31,30.03,Buy,106 days,Rise by 20.650000%,7.83
2005-02-28,29.05,2005-09-30,33.6,Buy,153 days,Rise by 15.660000%,15.66
2007-05-31,41.84,2010-04-30,30.44,Buy,760 days,Rise by 2.130000%,-27.25
2008-08-31,37.66,2009-01-31,28.98,Sell,109 days,Fall by 23.050000%,23.05
2008-09-30,33.23,2009-02-28,25.35,Sell,108 days,Fall by 23.710000%,23.71
2008-10-31,28.91,2009-05-31,26.77,Sell,150 days,Fall by 11.620000%,7.4
2010-06-30,28.26,2010-10-31,31.72,Sell,87 days,Fall by -23.570000%,-12.24
2012-07-31,37.92,2013-08-31,37.3,Buy,283 days,Rise by 9.260000%,-1.64
2013-04-30,41.43,2015-01-31,48.32,Buy,458 days,Rise by 6.830000%,16.63
2014-02-28,40.45,2014-07-31,41.25,Buy,108 days,Rise by 19.460000%,1.98
2014-04-30,43.21,2015-02-28,45.23,Buy,217 days,Rise by 11.830000%,4.67
2014-11-30,46.0,2016-07-31,52.12,Buy,434 days,Rise by 7.870000%,13.3
2015-01-31,48.32,2016-09-30,48.99,Buy,433 days,Rise by -14.200000%,1.39
2016-02-29,46.3,2016-07-31,52.12,Buy,109 days,Rise by 11.810000%,12.57
2019-09-30,64.74,2023-01-31,69.09,Buy,870 days,Rise by -14.410000%,6.72
2020-03-31,55.41,2020-10-31,62.38,Sell,153 days,Fall by -5.320000%,-12.58
2020-10-31,62.38,2021-07-31,65.97,Buy,194 days,Rise by 6.960000%,5.76
2022-02-28,67.93,2022-12-31,70.5,Sell,219 days,Fall by 3.560000%,-3.78
2023-09-30,58.93,2024-04-30,66.74,Sell,150 days,Fall by -51.200000%,-13.25
2024-05-31,72.72,2024-12-31,75.69,Buy,151 days,Rise by 14.040000%,4.08
2025-10-31,89.1,2025-10-31,89.1,Buy,0 days,Rise by 0.000000%,0.0
