Entry Date,Entry Price,Exit Date,Exit Price,Signal,Holding Period,Actual Rise/Fall wrt Entry,Return,Signal Open Price
2012-07-22,37.67,2013-04-07,39.57,Buy,184 days,Rise by -1.490000%,5.04,
2012-11-11,34.67,2013-01-27,36.23,Sell,54 days,Fall by -5.390000%,-4.5,
2013-02-03,36.68,2013-03-24,38.17,Buy,34 days,Rise by 11.720000%,4.06,
2013-10-27,39.2,2014-03-16,40.89,Buy,99 days,Rise by 9.970000%,4.31,
2014-11-09,46.25,2015-01-18,48.62,Buy,49 days,Rise by 6.250000%,5.12,
2014-12-21,46.86,2016-04-03,49.81,Buy,334 days,Rise by -3.650000%,6.3,
2014-12-28,48.55,2016-05-01,48.42,Buy,349 days,Rise by -10.630000%,-0.27,
2015-03-08,43.39,2015-07-12,42.97,Sell,89 days,Fall by 3.690000%,0.97,
2015-06-14,42.54,2015-08-09,44.39,Sell,39 days,Fall by 3.710000%,-4.35,
2015-09-06,40.96,2015-10-11,43.79,Sell,24 days,Fall by -2.030000%,-6.91,
2015-11-08,42.25,2016-01-31,45.42,Sell,59 days,Fall by -13.610000%,-7.5,
2015-12-13,41.79,2016-01-31,45.42,Sell,34 days,Fall by -12.750000%,-8.69,
2016-02-07,46.57,2016-04-03,49.81,Buy,39 days,Rise by 6.960000%,6.96,
2017-01-08,48.83,2017-03-19,51.23,Buy,49 days,Rise by 6.270000%,4.92,
2017-02-12,49.29,2017-03-19,51.23,Buy,24 days,Rise by 10.120000%,3.94,
2017-05-28,53.4,2017-09-03,54.8,Buy,69 days,Rise by 3.670000%,2.62,
2017-07-09,51.49,2017-08-27,55.14,Sell,34 days,Fall by -3.030000%,-7.09,
2017-07-23,53.29,2017-09-03,54.8,Buy,29 days,Rise by 3.880000%,2.83,
2017-11-19,55.81,2018-10-07,53.63,Buy,229 days,Rise by -10.430000%,-3.91,
2018-01-21,49.99,2018-04-29,51.71,Sell,69 days,Fall by 2.600000%,-3.44,
2018-02-11,48.56,2018-04-29,51.71,Sell,54 days,Fall by -0.270000%,-6.49,
2018-04-15,49.79,2018-07-01,51.96,Sell,54 days,Fall by 2.210000%,-4.36,
2018-05-13,50.38,2018-07-01,51.96,Sell,34 days,Fall by -4.510000%,-3.14,
2018-05-20,48.99,2018-07-01,51.96,Sell,29 days,Fall by -7.470000%,-6.06,
2018-07-01,51.96,2018-08-26,53.73,Buy,39 days,Rise by 4.930000%,3.41,
2018-12-09,56.46,2019-03-31,58.17,Buy,79 days,Rise by 3.600000%,3.03,
2019-10-06,64.77,2020-02-16,70.39,Buy,94 days,Rise by 8.680000%,8.68,
2020-02-02,68.98,2020-12-13,62.24,Buy,224 days,Rise by -30.680000%,-9.77,
2020-06-21,57.49,2020-07-19,60.21,Sell,19 days,Fall by -1.790000%,-4.73,
2020-12-27,61.21,2021-03-14,62.41,Sell,54 days,Fall by 4.660000%,-1.96,
2021-02-28,58.36,2021-03-14,62.41,Sell,9 days,Fall by -9.630000%,-6.94,
2021-08-15,68.68,2022-04-03,75.5,Buy,164 days,Rise by 4.220000%,9.93,
2021-09-26,65.14,2021-12-12,69.15,Sell,54 days,Fall by -1.660000%,-6.16,
2021-12-12,69.15,2022-04-03,75.5,Buy,79 days,Rise by 11.290000%,9.18,
2022-01-16,69.4,2022-03-06,70.89,Sell,34 days,Fall by 6.530000%,-2.15,
2022-04-10,76.96,2024-06-16,69.94,Buy,569 days,Rise by -15.710000%,-9.12,
2022-10-02,65.51,2022-10-30,67.41,Sell,19 days,Fall by 1.660000%,-2.9,
2022-10-09,63.76,2022-10-30,67.41,Sell,14 days,Fall by -1.040000%,-5.72,
2022-10-16,62.15,2022-10-30,67.41,Sell,9 days,Fall by -3.650000%,-8.46,
2023-05-14,69.03,2024-06-09,69.94,Buy,279 days,Rise by -0.830000%,1.32,
2023-12-10,63.41,2024-05-19,72.34,Buy,114 days,Rise by 14.680000%,14.08,
2024-02-25,61.96,2024-04-07,65.16,Buy,29 days,Rise by 17.370000%,5.16,
2024-04-28,66.19,2024-05-26,71.5,Buy,19 days,Rise by 23.810000%,8.02,
2024-05-05,68.41,2024-06-09,69.94,Buy,24 days,Rise by 19.790000%,2.24,
2024-05-12,71.27,2024-09-01,76.29,Buy,79 days,Rise by 14.990000%,7.04,
2024-09-22,80.08,2025-07-20,83.75,Buy,214 days,Rise by 3.560000%,4.58,
2024-12-22,76.43,2025-02-23,80.27,Sell,44 days,Fall by 2.490000%,-5.02,
2025-04-06,74.53,2025-05-04,79.75,Sell,19 days,Fall by -12.000000%,-7.0,
2025-05-04,79.75,2025-06-22,80.78,Buy,34 days,Rise by 8.060000%,1.29,
2025-10-19,91.57,2025-10-19,91.57,Buy,0 days,Rise by -2.700000%,0.0,
