Entry Date,Entry Price,Exit Date,Exit Price,Signal,Holding Period,Actual Rise/Fall wrt Entry,Return
2013-03-10,44.54,2013-04-21,47.6,Buy,29 days,Rise by 10.280000%,6.87
2013-03-24,44.93,2013-04-28,47.54,Buy,24 days,Rise by 9.330000%,5.81
2013-12-29,55.38,2014-03-09,59.45,Buy,49 days,Rise by 7.350000%,7.35
2014-01-19,57.02,2014-03-16,58.44,Buy,39 days,Rise by 4.260000%,2.49
2014-02-16,58.21,2014-03-16,58.44,Buy,19 days,Rise by 7.060000%,0.4
2014-03-09,59.45,2014-07-06,62.32,Buy,84 days,Rise by 4.830000%,4.83
2014-11-30,69.61,2015-03-15,71.81,Buy,74 days,Rise by 7.600000%,3.16
2015-08-16,75.38,2015-09-20,70.91,Sell,24 days,Fall by 11.290000%,5.93
2016-04-17,70.02,2016-07-31,75.2,Buy,74 days,Rise by 3.240000%,7.4
2016-06-26,69.31,2016-07-10,73.69,Sell,9 days,Fall by -3.170000%,-6.32
2016-11-06,66.48,2017-01-08,70.95,Sell,44 days,Fall by -10.830000%,-6.72
2017-02-26,74.78,2017-06-18,77.69,Buy,79 days,Rise by 8.300000%,3.89
2017-03-12,75.98,2017-07-02,79.24,Buy,79 days,Rise by 6.590000%,4.29
2017-05-07,75.97,2017-07-02,79.24,Buy,39 days,Rise by 6.610000%,4.3
2017-06-11,77.52,2017-07-16,80.13,Buy,24 days,Rise by 8.200000%,3.37
2017-12-03,83.3,2018-02-04,86.89,Buy,44 days,Rise by 9.890000%,4.31
2018-01-21,88.44,2018-09-02,92.78,Buy,159 days,Rise by 7.590000%,4.91
2018-01-28,91.54,2018-09-23,94.27,Buy,169 days,Rise by -12.970000%,2.98
2019-12-01,99.49,2020-01-12,102.8,Buy,29 days,Rise by 5.030000%,3.33
2020-03-22,79.09,2020-03-29,84.99,Sell,4 days,Fall by -23.290000%,-7.46
2020-06-07,103.21,2020-08-16,106.8,Buy,49 days,Rise by 4.640000%,3.48
2020-12-06,112.54,2021-02-07,115.67,Buy,44 days,Rise by 4.490000%,2.78
2021-01-10,117.39,2021-05-09,124.07,Buy,84 days,Rise by 16.580000%,5.69
2021-03-07,113.02,2021-04-18,121.48,Sell,29 days,Fall by -12.320000%,-7.49
2021-06-06,122.09,2021-07-25,131.48,Sell,34 days,Fall by -3.970000%,-7.69
2021-08-01,132.15,2021-09-12,133.19,Buy,29 days,Rise by 1.260000%,0.79
2021-08-15,133.69,2022-01-09,134.35,Buy,104 days,Rise by 0.100000%,0.49
2022-05-01,130.29,2022-06-26,129.2,Sell,39 days,Fall by 7.980000%,0.84
2022-06-19,119.89,2022-06-26,129.2,Sell,4 days,Fall by -1.020000%,-7.77
2022-09-04,124.99,2022-10-30,132.86,Sell,39 days,Fall by 0.670000%,-6.3
2023-01-08,135.67,2023-02-12,132.49,Sell,24 days,Fall by 8.490000%,2.34
2023-02-26,128.51,2023-04-09,133.52,Sell,29 days,Fall by 0.760000%,-3.9
2023-10-29,123.14,2023-11-26,131.13,Sell,19 days,Fall by -12.810000%,-6.49
2024-01-07,139.12,2024-02-25,147.86,Buy,34 days,Rise by 6.280000%,6.28
2024-01-14,140.52,2024-03-03,146.34,Buy,34 days,Rise by 11.870000%,4.14
2024-02-11,144.01,2024-03-17,145.36,Buy,24 days,Rise by 9.160000%,0.94
2024-02-18,145.62,2024-09-08,153.95,Buy,144 days,Rise by 7.950000%,5.72
2024-11-03,147.74,2024-12-29,138.95,Sell,39 days,Fall by 6.590000%,5.95
2025-04-06,135.28,2025-08-24,138.17,Sell,99 days,Fall by 3.650000%,-2.14
2025-08-10,130.16,2025-08-24,138.17,Sell,9 days,Fall by -10.830000%,-6.15
