Entry Date,Entry Price,Exit Date,Exit Price,Signal,Holding Period,Actual Rise/Fall wrt Entry,Return
2003-05-31,13422.0,2003-12-31,22236.0,Buy,151 days,Rise by 65.670000%,65.67
2006-01-31,38383.0,2007-02-28,43892.0,Buy,280 days,Rise by 70.170000%,14.35
2008-09-30,49541.0,2009-02-28,38183.0,Sell,108 days,Fall by 22.930000%,22.93
2008-11-30,36596.0,2009-04-30,47290.0,Sell,107 days,Fall by -66.510000%,-29.22
2010-06-30,60936.0,2010-09-30,69430.0,Sell,65 days,Fall by 14.130000%,-13.94
2011-06-30,62404.0,2011-11-30,56875.0,Sell,108 days,Fall by 12.680000%,8.86
2012-02-29,65812.0,2013-05-31,53506.0,Buy,326 days,Rise by -14.760000%,-18.7
2013-03-31,56352.0,2013-09-30,52338.0,Sell,129 days,Fall by 11.260000%,7.12
2013-04-30,55910.0,2013-09-30,52338.0,Sell,108 days,Fall by 14.790000%,6.39
2013-05-31,53506.0,2013-10-31,54256.0,Sell,108 days,Fall by 10.970000%,-1.4
2013-06-30,47457.0,2013-10-31,54256.0,Sell,87 days,Fall by 0.760000%,-14.33
2014-01-31,47639.0,2014-06-30,53168.0,Sell,105 days,Fall by 1.530000%,-11.61
2014-08-31,61288.0,2017-06-30,62900.0,Buy,738 days,Rise by -23.460000%,2.63
2015-01-31,46908.0,2015-04-30,56229.0,Sell,62 days,Fall by 3.940000%,-19.87
2015-09-30,45059.0,2016-03-31,50055.0,Sell,130 days,Fall by -89.450000%,-11.09
2016-01-31,40406.0,2016-03-31,50055.0,Sell,42 days,Fall by -96.060000%,-23.88
2016-08-31,57901.0,2017-04-30,65403.0,Buy,172 days,Rise by 15.130000%,12.96
2018-01-31,84913.0,2019-04-30,96353.0,Buy,323 days,Rise by -14.310000%,13.47
2018-02-28,85481.0,2019-04-30,96353.0,Buy,303 days,Rise by -10.300000%,12.72
2020-03-31,73020.0,2020-05-31,87403.0,Sell,43 days,Fall by -39.570000%,-19.7
2020-12-31,119306.0,2024-03-31,128106.0,Buy,846 days,Rise by 6.280000%,7.38
2021-08-31,118781.0,2022-01-31,112388.0,Sell,108 days,Fall by 17.040000%,5.38
2023-12-31,134185.0,2023-12-31,134185.0,Buy,0 days,Rise by 1.360000%,0.0
